cell_id,total_counts,mito_counts,mito_fraction,state_domain
GSM4916549_ND1_untreated_070218_plate1_E10_S75_rep1_NA,5797830.0,836747.0,0.1443207199935148,D2
GSM4916550_ND1_untreated_070218_plate1_E11_S83_rep1_NA,29.0,16.0,0.5517241379310345,D1
GSM4916551_ND1_untreated_070218_plate1_E12_S91_rep1_NA,16.0,5.0,0.3125,D1
GSM4916552_ND1_untreated_070218_plate1_E1_S5_rep1_NA,1502158.0,172198.0,0.11463374691610337,D2
GSM4916553_ND1_untreated_070218_plate1_E2_S13_rep1_NA,1245650.0,233017.0,0.18706458475494722,D2
GSM4916554_ND1_untreated_070218_plate1_E3_S20_rep1_NA,1502842.0,160148.0,0.10656343115244317,D2
GSM4916555_ND1_untreated_070218_plate1_E4_S27_rep1_NA,580924.0,286315.0,0.49286137257197155,D2
GSM4916556_ND1_untreated_070218_plate1_E5_S35_rep1_NA,749500.0,709236.0,0.946278852568379,D1
GSM4916557_ND1_untreated_070218_plate1_E6_S43_rep1_NA,1545891.0,212089.0,0.13719531325300424,D2
GSM4916558_ND1_untreated_070218_plate1_E7_S51_rep1_NA,3378244.0,478191.0,0.14155016629941472,D2
GSM4916559_ND1_untreated_070218_plate1_E8_S59_rep1_NA,1107853.0,130240.0,0.11756072330895886,D2
GSM4916560_ND1_untreated_070218_plate1_E9_S67_rep1_NA,2012513.0,244516.0,0.1214978487095487,D2
GSM4916561_ND1_untreated_070218_plate1_F10_S76_rep1_NA,7683400.0,508432.0,0.0661727880886066,D2
GSM4916562_ND1_untreated_070218_plate1_F11_S84_rep1_NA,3068773.0,458541.0,0.14942160922296957,D2
GSM4916563_ND1_untreated_070218_plate1_F12_S92_rep1_NA,3104575.0,429775.0,0.1384327967596209,D2
GSM4916564_ND1_untreated_070218_plate1_F1_S6_rep1_NA,399030.0,249843.0,0.6261258551988572,D2
GSM4916565_ND1_untreated_070218_plate1_F3_S21_rep1_NA,1685544.0,185545.0,0.11008018776133996,D2
GSM4916566_ND1_untreated_070218_plate1_F4_S28_rep1_NA,1051838.0,537282.0,0.5108029943774611,D2
GSM4916567_ND1_untreated_070218_plate1_F5_S36_rep1_NA,1871268.0,221159.0,0.11818670548526454,D2
GSM4916568_ND1_untreated_070218_plate1_F6_S44_rep1_NA,314091.0,90196.0,0.2871651846121029,D2
GSM4916569_ND1_untreated_070218_plate1_F7_S52_rep1_NA,1410968.0,179509.0,0.12722400508020026,D2
GSM4916570_ND1_untreated_070218_plate1_F8_S60_rep1_NA,9606214.0,773172.0,0.08048665166110186,D2
GSM4916571_ND1_untreated_070218_plate1_F9_S68_rep1_NA,8370646.0,1192564.0,0.14246976876097736,D2
GSM4916572_ND1_untreated_070218_plate1_G10_S77_rep1_NA,339884.0,25958.0,0.07637311553353497,D2
GSM4916573_ND1_untreated_070218_plate1_G11_S85_rep1_NA,1847923.0,202892.0,0.10979461806579603,D2
GSM4916574_ND1_untreated_070218_plate1_G12_S93_rep1_NA,644015.0,297082.0,0.4612967089275871,D1
GSM4916575_ND1_untreated_070218_plate1_G1_S7_rep1_NA,1431547.0,159729.0,0.11157789440374644,D2
GSM4916576_ND1_untreated_070218_plate1_G2_S14_rep1_NA,1157881.0,436865.0,0.3772969761141257,D2
GSM4916577_ND1_untreated_070218_plate1_G3_S22_rep1_NA,403891.0,53975.0,0.13363754082165732,D2
