path,exists,kind,size_bytes,candidate_header_idx,separator_votes,n_members
data/raw/annotations/manual_illumina/infinium-methylationepic-v-1-0-b5-manifest-file.csv,True,plain_text,549266495,2.0,"{""comma"": 1865, ""tab"": 0, ""semicolon"": 354, ""pipe"": 0}",
data/raw/annotations/manual_illumina/Infinium_MethylationEPIC_v1_0_B5_Manifest.csv.zip.zip,True,zip,172843499,,,1.0
data/raw/annotations/manual_illumina/infinium-methylationepic-v-1-0-b5-manifest-file-bpm.zip,True,zip,172849702,,,1.0
data/raw/annotations/manual_illumina/infinium-methylationepic-v1-0-missing-legacy-cpg-b3-vs-b2-annotations.zip,True,zip,187138,,,1.0
