gene_id,gene_symbol,median_donor,median_treated,median_untreated,treated_minus_untreated,dist_treated_to_donor,dist_untreated_to_donor,reversion_gain,direction,p_treatment,abs_reversion_gain
ENSG00000135046,ANXA1,0.023145516265638336,0.0,1.324817384962445,-1.324817384962445,0.023145516265638336,1.3016718686968065,1.278526352431168,toward_donor,4.415128971316041e-08,1.278526352431168
ENSG00000174059,CD34,0.0,0.0,1.2767877514590298,-1.2767877514590298,0.0,1.2767877514590298,1.2767877514590298,toward_donor,4.3581745996771055e-71,1.2767877514590298
ENSG00000168685,IL7R,1.9668601404808488,1.1551856529869458,0.0,1.1551856529869458,0.811674487493903,1.9668601404808488,1.1551856529869458,toward_donor,3.6125074938782554e-33,1.1551856529869458
ENSG00000182718,ANXA2,0.0,0.0,1.0125022330029987,-1.0125022330029987,0.0,1.0125022330029987,1.0125022330029987,toward_donor,1.2094670992219282e-13,1.0125022330029987
ENSG00000197043,ANXA6,0.008305797802982554,0.06080197754621802,1.0499407247574268,-0.9891387472112088,0.05249617974323547,1.0416349269544443,0.9891387472112088,toward_donor,9.163822810602764e-08,0.9891387472112088
ENSG00000087074,PPP1R15A,0.03503899825538893,0.0,1.023262814624219,-1.023262814624219,0.03503899825538893,0.9882238163688302,0.9531848181134412,toward_donor,4.733103027682236e-18,0.9531848181134412
ENSG00000137642,SORL1,0.9610030449842928,1.197734886588651,2.1488823265638204,-0.9511474399751694,0.23673184160435823,1.1878792815795276,0.9511474399751694,toward_donor,1.7823827728859495e-22,0.9511474399751694
ENSG00000107738,VSIR,0.0,0.0,0.9287137035931464,-0.9287137035931464,0.0,0.9287137035931464,0.9287137035931464,toward_donor,2.761116697087358e-13,0.9287137035931464
ENSG00000092820,EZR,0.16150986003150192,0.2031919048752145,1.0968582718537425,-0.8936663669785281,0.04168204484371257,0.9353484118222406,0.8936663669785281,toward_donor,8.967372145723514e-12,0.8936663669785281
ENSG00000165678,GHITM,0.0,0.3051645954420798,1.1922922500164614,-0.8871276545743816,0.3051645954420798,1.1922922500164614,0.8871276545743816,toward_donor,9.000781047117202e-05,0.8871276545743816
ENSG00000105639,JAK3,0.01305240381246392,0.0,0.9028738997186371,-0.9028738997186371,0.01305240381246392,0.8898214959061732,0.8767690920937092,toward_donor,9.392812983229048e-31,0.8767690920937092
ENSG00000163961,RNF168,0.0,0.07348682912622537,0.9412699192569486,-0.8677830901307232,0.07348682912622537,0.9412699192569486,0.8677830901307232,toward_donor,1.5580469338693922e-16,0.8677830901307232
ENSG00000078596,ITM2A,0.0,0.7510452763759224,1.6100490487349255,-0.859003772359003,0.7510452763759224,1.6100490487349255,0.859003772359003,toward_donor,3.926054872321518e-09,0.859003772359003
ENSG00000154127,UBASH3B,0.0,0.0,0.8150144599596687,-0.8150144599596687,0.0,0.8150144599596687,0.8150144599596687,toward_donor,1.0657845529276806e-46,0.8150144599596687
ENSG00000105339,DENND3,0.0,0.0,0.8144763148453806,-0.8144763148453806,0.0,0.8144763148453806,0.8144763148453806,toward_donor,2.9314793972641224e-24,0.8144763148453806
ENSG00000076641,PAG1,0.0,0.023136469955291446,0.8331591163362427,-0.8100226463809513,0.023136469955291446,0.8331591163362427,0.8100226463809513,toward_donor,1.2234394268374882e-19,0.8100226463809513
ENSG00000215301,DDX3X,0.04743815702350906,0.3197384108233019,1.0956868246454188,-0.7759484138221169,0.27230025379979284,1.0482486676219098,0.775948413822117,toward_donor,3.6161533141843046e-10,0.775948413822117
ENSG00000149781,FERMT3,0.0,0.2851497166778916,1.0559196348559166,-0.770769918178025,0.2851497166778916,1.0559196348559166,0.770769918178025,toward_donor,5.304267415266137e-06,0.770769918178025
ENSG00000148400,NOTCH1,0.0,0.08676572306944008,0.8556402421036767,-0.7688745190342366,0.08676572306944008,0.8556402421036767,0.7688745190342366,toward_donor,1.2568811436009941e-14,0.7688745190342366
ENSG00000163527,STT3B,0.0,0.24994280625462234,1.0158669562567395,-0.7659241500021172,0.24994280625462234,1.0158669562567395,0.7659241500021172,toward_donor,3.215582667215611e-20,0.7659241500021172
ENSG00000143851,PTPN7,0.0,0.533585018073027,1.2993734437751248,-0.7657884257020977,0.533585018073027,1.2993734437751248,0.7657884257020977,toward_donor,1.6244567093295963e-08,0.7657884257020977
ENSG00000101367,MAPRE1,0.0,0.050349456133617444,0.8061282949609899,-0.7557788388273725,0.050349456133617444,0.8061282949609899,0.7557788388273725,toward_donor,2.925530568020328e-07,0.7557788388273725
ENSG00000115234,SNX17,0.0,0.051660377019056514,0.7895953795399466,-0.7379350025208902,0.051660377019056514,0.7895953795399466,0.7379350025208902,toward_donor,0.20429518576119876,0.7379350025208902
ENSG00000123146,ADGRE5,0.0,0.6944122887935306,1.4290728281335916,-0.734660539340061,0.6944122887935306,1.4290728281335916,0.734660539340061,toward_donor,1.4758820106055147e-15,0.734660539340061
ENSG00000142347,MYO1F,0.0,0.32989892123556286,1.0549002865141865,-0.7250013652786237,0.32989892123556286,1.0549002865141865,0.7250013652786237,toward_donor,2.887085262860994e-06,0.7250013652786237
ENSG00000108175,ZMIZ1,0.0,0.4439394726963712,1.1672785603978353,-0.723339087701464,0.4439394726963712,1.1672785603978353,0.723339087701464,toward_donor,4.4342255418660877e-13,0.723339087701464
ENSG00000213722,DDAH2,0.0,0.010001123468760665,0.7133138065834108,-0.7033126831146501,0.010001123468760665,0.7133138065834108,0.7033126831146501,toward_donor,6.155621196163493e-11,0.7033126831146501
ENSG00000010256,UQCRC1,0.0,0.5330843411147818,1.2306236469064558,-0.697539305791674,0.5330843411147818,1.2306236469064558,0.697539305791674,toward_donor,0.09993220867680323,0.697539305791674
ENSG00000165025,SYK,0.0,0.0,0.6759929552950524,-0.6759929552950524,0.0,0.6759929552950524,0.6759929552950524,toward_donor,2.7567635002726874e-24,0.6759929552950524
ENSG00000147459,DOCK5,0.0,0.0,0.6486776171801998,-0.6486776171801998,0.0,0.6486776171801998,0.6486776171801998,toward_donor,5.910098092097186e-24,0.6486776171801998
ENSG00000160654,CD3G,0.9862405136044099,1.3406355310028215,0.0,1.3406355310028215,0.3543950173984116,0.9862405136044099,0.6318454962059983,toward_donor,1.9216913026048058e-29,0.6318454962059983
ENSG00000211459,MT-RNR1,2.1483480575876808,2.3121403130350435,2.941053962424082,-0.6289136493890384,0.16379225544736276,0.7927059048364011,0.6289136493890384,toward_donor,3.244843129054322e-37,0.6289136493890384
ENSG00000123505,AMD1,0.0,0.37266047348560083,0.9977400993214814,-0.6250796258358806,0.37266047348560083,0.9977400993214814,0.6250796258358806,toward_donor,0.028705650682384308,0.6250796258358806
ENSG00000126432,PRDX5,0.0,0.0,0.6246226050231838,-0.6246226050231838,0.0,0.6246226050231838,0.6246226050231838,toward_donor,9.463862339827738e-16,0.6246226050231838
ENSG00000119801,YPEL5,0.0,0.07552280109156372,0.6935163998897391,-0.6179935987981754,0.07552280109156372,0.6935163998897391,0.6179935987981754,toward_donor,0.00024072706743582322,0.6179935987981754
ENSG00000138964,PARVG,0.0,0.2535118144291715,0.8690436894696474,-0.6155318750404759,0.2535118144291715,0.8690436894696474,0.6155318750404759,toward_donor,8.012597348832723e-07,0.6155318750404759
ENSG00000100906,NFKBIA,0.038037176372384185,0.0,0.6807465101933265,-0.6807465101933265,0.038037176372384185,0.6427093338209424,0.6046721574485583,toward_donor,3.759679339687234e-12,0.6046721574485583
ENSG00000105355,PLIN3,0.0,0.10380927317617797,0.7014779979069952,-0.5976687247308172,0.10380927317617797,0.7014779979069952,0.5976687247308172,toward_donor,0.0815138525519368,0.5976687247308172
ENSG00000138279,ANXA7,0.0,0.08543553710682965,0.6751210088446455,-0.5896854717378159,0.08543553710682965,0.6751210088446455,0.5896854717378159,toward_donor,3.1042711957977055e-05,0.5896854717378159
ENSG00000177105,RHOG,0.0,0.39557149396357055,0.9817323568490077,-0.5861608628854371,0.39557149396357055,0.9817323568490077,0.5861608628854371,toward_donor,0.0002609355545013057,0.5861608628854371
ENSG00000132334,PTPRE,0.0,0.0,0.5852221055493179,-0.5852221055493179,0.0,0.5852221055493179,0.5852221055493179,toward_donor,3.9226097759159575e-51,0.5852221055493179
