label,source,status,n_rows,candidate_tf_fields,top_tf_like_values,all_columns
OLIG2_tfbs_interval,ucsc,ok,25,['name'],"{'SUZ12': 5, 'USF1': 3, 'MAX': 3, 'RAD21': 2, 'MYC': 2, 'EZH2': 1, 'MXI1': 1, 'ATF3': 1, 'CTCF': 1, 'NRF1': 1, 'JUND': 1, 'POLR2A': 1, 'ZNF263': 1, 'RBBP5': 1, 'EGR1': 1}","['bin', 'chrom', 'chromStart', 'chromEnd', 'name', 'score', 'sourceCount', 'sourceIds', 'sourceScores']"
PAX6_best_probe_window,ucsc,ok,15,['name'],"{'CTBP2': 4, 'CHD1': 3, 'SUZ12': 2, 'EZH2': 1, 'SP1': 1, 'SPI1': 1, 'EBF1': 1, 'RBBP5': 1, 'EGR1': 1}","['bin', 'chrom', 'chromStart', 'chromEnd', 'name', 'score', 'sourceCount', 'sourceIds', 'sourceScores']"
PTCH1_tfbs_interval,ucsc,ok,93,['name'],"{'EP300': 4, 'GATA2': 3, 'RAD21': 3, 'REST': 3, 'POLR2A': 2, 'YY1': 2, 'CTCF': 2, 'RBBP5': 1, 'ZNF274': 1, 'HDAC8': 1, 'IKZF1': 1, 'UBTF': 1, 'SIN3A': 1, 'WRNIP1': 1, 'GATA1': 1, 'MAX': 1, 'CEBPB': 1, 'MXI1': 1, 'STAT3': 1, 'TBP': 1}","['bin', 'chrom', 'chromStart', 'chromEnd', 'name', 'score', 'sourceCount', 'sourceIds', 'sourceScores']"
SIM2_core_cluster,ucsc,ok,18,['name'],"{'SUZ12': 4, 'CTBP2': 3, 'CTCF': 2, 'RAD21': 2, 'CHD1': 2, 'EZH2': 1, 'TCF12': 1, 'MAX': 1, 'USF1': 1, 'RBBP5': 1}","['bin', 'chrom', 'chromStart', 'chromEnd', 'name', 'score', 'sourceCount', 'sourceIds', 'sourceScores']"
