direction,relation_to_cpg_island,n,fraction_within_direction
negative_loading,Island,1,1.0
positive_loading,Island,8,0.25806451612903225
positive_loading,S_Shelf,8,0.25806451612903225
positive_loading,N_Shelf,7,0.22580645161290322
positive_loading,S_Shore,7,0.22580645161290322
positive_loading,N_Shore,1,0.03225806451612903
