direction,hmm_island,n,fraction_within_direction
higher_in_a,10:132351201-132351293,1,0.019230769230769232
higher_in_a,10:133098868-133098975,1,0.019230769230769232
higher_in_a,10:1703335-1703457,1,0.019230769230769232
higher_in_a,10:1840229-1840433,1,0.019230769230769232
higher_in_a,10:395078-395398,1,0.019230769230769232
higher_in_a,11:49871589-49871936,1,0.019230769230769232
higher_in_a,11:50085984-50086328,1,0.019230769230769232
higher_in_a,11:64355587-64355697,1,0.019230769230769232
higher_in_a,12:107128073-107128158,1,0.019230769230769232
higher_in_a,12:129759911-129760156,1,0.019230769230769232
higher_in_a,13:109650508-109650594,1,0.019230769230769232
higher_in_a,14:105392433-105393336,1,0.019230769230769232
higher_in_a,14:61620680-61620750,1,0.019230769230769232
higher_in_a,14:69723451-69723840,1,0.019230769230769232
higher_in_a,16:68526403-68527120,1,0.019230769230769232
higher_in_a,17:17049497-17051315,1,0.019230769230769232
higher_in_a,17:46376856-46377278,1,0.019230769230769232
higher_in_a,17:74638520-74639220,1,0.019230769230769232
higher_in_a,19:1205985-1206594,1,0.019230769230769232
higher_in_a,1:147336314-147336514,1,0.019230769230769232
higher_in_a,1:245635916-245636504,1,0.019230769230769232
higher_in_a,1:6094242-6094472,1,0.019230769230769232
higher_in_a,2:127351731-127351798,1,0.019230769230769232
higher_in_a,2:1405623-1405932,1,0.019230769230769232
higher_in_a,2:235601098-235601341,1,0.019230769230769232
higher_in_a,4:1192470-1192730,1,0.019230769230769232
higher_in_a,4:189337134-189337500,1,0.019230769230769232
higher_in_a,5:1031278-1031406,1,0.019230769230769232
higher_in_a,5:112566977-112567149,1,0.019230769230769232
higher_in_a,5:1297425-1298007,1,0.019230769230769232
higher_in_a,5:2919239-2919768,1,0.019230769230769232
higher_in_a,5:2919802-2920005,1,0.019230769230769232
higher_in_a,5:3373907-3373981,1,0.019230769230769232
higher_in_a,6:149813536-149814769,1,0.019230769230769232
higher_in_a,6:168160402-168160614,1,0.019230769230769232
higher_in_a,6:168643990-168644138,1,0.019230769230769232
higher_in_a,6:75973618-75974550,1,0.019230769230769232
higher_in_a,6:85880852-85880975,1,0.019230769230769232
higher_in_a,7:119700110-119701572,1,0.019230769230769232
higher_in_a,7:1370055-1370522,1,0.019230769230769232
higher_in_a,7:150416955-150417031,1,0.019230769230769232
higher_in_a,7:157087339-157087423,1,0.019230769230769232
higher_in_a,7:158492476-158492551,1,0.019230769230769232
higher_in_a,7:1927128-1927342,1,0.019230769230769232
higher_in_a,7:2389949-2389997,1,0.019230769230769232
higher_in_a,7:3101060-3101197,1,0.019230769230769232
higher_in_a,7:35263447-35264738,1,0.019230769230769232
higher_in_a,7:50436164-50436217,1,0.019230769230769232
higher_in_a,7:53070804-53071684,1,0.019230769230769232
higher_in_a,8:1947838-1947874,1,0.019230769230769232
higher_in_a,8:1992805-1993238,1,0.019230769230769232
higher_in_a,8:2165606-2165694,1,0.019230769230769232
lower_in_a,21:36998579-36999842,6,0.15789473684210525
lower_in_a,15:74419573-74421330,2,0.05263157894736842
lower_in_a,15:74421363-74421637,2,0.05263157894736842
lower_in_a,1:208045620-208046259,2,0.05263157894736842
lower_in_a,3:148623510-148623623,2,0.05263157894736842
lower_in_a,11:31784148-31784497,1,0.02631578947368421
lower_in_a,11:32417712-32417858,1,0.02631578947368421
lower_in_a,14:23114755-23116767,1,0.02631578947368421
lower_in_a,15:94688846-94688989,1,0.02631578947368421
lower_in_a,17:41329958-41330929,1,0.02631578947368421
lower_in_a,19:1082845-1084699,1,0.02631578947368421
lower_in_a,1:224477656-224478578,1,0.02631578947368421
lower_in_a,1:91072778-91072881,1,0.02631578947368421
lower_in_a,21:36988500-36988972,1,0.02631578947368421
lower_in_a,21:37001812-37002971,1,0.02631578947368421
lower_in_a,21:37003057-37003703,1,0.02631578947368421
lower_in_a,21:37004483-37004670,1,0.02631578947368421
lower_in_a,2:119325874-119326113,1,0.02631578947368421
lower_in_a,2:119326161-119326310,1,0.02631578947368421
lower_in_a,2:228444333-228444721,1,0.02631578947368421
lower_in_a,3:12304004-12305333,1,0.02631578947368421
lower_in_a,3:138971127-138971310,1,0.02631578947368421
lower_in_a,3:170969861-170970250,1,0.02631578947368421
lower_in_a,4:13150426-13151027,1,0.02631578947368421
lower_in_a,4:174674335-174674997,1,0.02631578947368421
lower_in_a,4:174688938-174689680,1,0.02631578947368421
lower_in_a,5:134391415-134392082,1,0.02631578947368421
lower_in_a,5:179449746-179450258,1,0.02631578947368421
lower_in_a,7:39615791-39616006,1,0.02631578947368421
