direction,refgene_group,n,fraction_within_direction
higher_in_a,Body;Body,3,0.375
higher_in_a,Body,2,0.25
higher_in_a,Body;Body;Body,1,0.125
higher_in_a,TSS1500,1,0.125
higher_in_a,TSS200,1,0.125
lower_in_a,Body,48,0.44036697247706424
lower_in_a,3'UTR,9,0.08256880733944955
lower_in_a,TSS1500,8,0.07339449541284404
lower_in_a,5'UTR,7,0.06422018348623854
lower_in_a,Body;Body,7,0.06422018348623854
lower_in_a,TSS200,4,0.03669724770642202
lower_in_a,1stExon,3,0.027522935779816515
lower_in_a,1stExon;5'UTR,3,0.027522935779816515
lower_in_a,5'UTR;5'UTR,3,0.027522935779816515
lower_in_a,Body;Body;Body,3,0.027522935779816515
lower_in_a,TSS1500;TSS1500;TSS1500,3,0.027522935779816515
lower_in_a,Body;Body;Body;Body,2,0.01834862385321101
lower_in_a,Body;Body;Body;Body;Body;Body,2,0.01834862385321101
lower_in_a,3'UTR;3'UTR,1,0.009174311926605505
lower_in_a,3'UTR;3'UTR;3'UTR;3'UTR,1,0.009174311926605505
lower_in_a,5'UTR;1stExon,1,0.009174311926605505
lower_in_a,5'UTR;5'UTR;5'UTR,1,0.009174311926605505
lower_in_a,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,1,0.009174311926605505
lower_in_a,Body;Body;TSS1500,1,0.009174311926605505
lower_in_a,TSS1500;TSS1500,1,0.009174311926605505
