direction,regulatory_feature_group,n,fraction_within_direction
higher_in_a,Unclassified_Cell_type_specific,4,1.0
lower_in_a,Unclassified_Cell_type_specific,5,0.5
lower_in_a,Unclassified,3,0.3
lower_in_a,Promoter_Associated,2,0.2
