direction,gene_token,n,weighted_sum
higher_in_a,PTCH1,7,3.477585863416062
higher_in_a,PRKAR1B,6,2.681929706198334
higher_in_a,TP73,5,1.9681678863724799
higher_in_a,PHACTR2,4,1.933623524143402
higher_in_a,APOD,4,1.903417386023804
higher_in_a,HGF,5,1.8355706826471847
higher_in_a,TPO,4,1.83357823356746
higher_in_a,STMN1,4,1.731329725996876
higher_in_a,PTPRN2,3,1.371731100909435
higher_in_a,C6orf191,3,1.3234168170543685
higher_in_a,FHIT,2,1.190038967981428
higher_in_a,RASSF8,3,1.1110955058733785
higher_in_a,MAD1L1,3,1.047212342240154
higher_in_a,CPVL,2,1.0161704378457208
higher_in_a,SYT16,2,1.0152138690891275
higher_in_a,BOLL,2,0.9589461289762518
higher_in_a,KIF25,2,0.92843937704407
higher_in_a,C7orf58,2,0.9227643009807858
higher_in_a,PPBPL2,2,0.9064905256326994
higher_in_a,PKIA,2,0.8757039503482899
higher_in_a,SSPN,2,0.86369653304508
higher_in_a,WWP2,2,0.857935090149493
higher_in_a,TTC24,2,0.8572746239610434
higher_in_a,CRMP1,2,0.847195769231309
higher_in_a,LIPE,2,0.845596487191042
higher_in_a,PNMAL1,2,0.845037429956937
higher_in_a,POLR3B,2,0.787705365066225
higher_in_a,MCC,2,0.742666166217681
higher_in_a,COL4A1,2,0.7372288754841558
higher_in_a,KIRREL3,2,0.724866294636987
higher_in_a,MCF2L,2,0.7116154211140402
higher_in_a,CDC42BPG,1,0.5926309687666931
higher_in_a,MEGF6,1,0.5795744427104661
higher_in_a,IL12RB2,1,0.5630040131997015
higher_in_a,UBE2E2,1,0.5459117560417435
higher_in_a,TSGA13,1,0.5368469306929831
higher_in_a,ASB5,1,0.5308779896493014
higher_in_a,ZACN,1,0.5256686231798291
higher_in_a,DPYSL3,1,0.523086739694812
higher_in_a,ZW10,1,0.4851921953568175
higher_in_a,NEK7,1,0.484619134559337
higher_in_a,C9orf130,1,0.4818820114075784
higher_in_a,TBC1D16,1,0.4807378992763795
higher_in_a,THSD4,1,0.4707213366782755
higher_in_a,C6orf134,1,0.4702470086688839
higher_in_a,LOC728606,1,0.4653362384096759
higher_in_a,TOM1L1,1,0.4651293574366715
higher_in_a,DTL,1,0.461701196550139
higher_in_a,PLEKHA6,1,0.452567533519112
higher_in_a,SASH1,1,0.4513526273392916
higher_in_a,SH3PXD2B,1,0.4485851105449809
higher_in_a,CRISPLD2,1,0.447307508416205
higher_in_a,SLC1A6,1,0.445409643676167
higher_in_a,PLD5,1,0.4452926949143529
higher_in_a,CIT,1,0.444115704441002
higher_in_a,DIP2C,1,0.4427168537658689
higher_in_a,ZPLD1,1,0.442664613941722
higher_in_a,ODZ2,1,0.442623511891756
higher_in_a,BTNL3,1,0.441316571789782
higher_in_a,MYADML2,1,0.435675860530533
higher_in_a,NTM,1,0.4354535505998784
higher_in_a,MECOM,1,0.4353403173630445
higher_in_a,CHD5,1,0.433902286556329
higher_in_a,KIAA0513,1,0.4324598800506885
higher_in_a,SULT1E1,1,0.431528740858813
higher_in_a,TRIO,1,0.429885237820419
higher_in_a,PLAC1L,1,0.423978129094785
higher_in_a,NOTCH4,1,0.4130728265203505
higher_in_a,UNC5D,1,0.4097600524955185
higher_in_a,P2RX7,1,0.409478934034938
higher_in_a,SPRR2C,1,0.408048553109918
higher_in_a,LOC154822,1,0.40382509169762
higher_in_a,SH3BP4,1,0.403604669191932
higher_in_a,OBP2A,1,0.3999908386402529
higher_in_a,OR51B6,1,0.3918255630505786
higher_in_a,ZRANB3,1,0.3878846085681885
higher_in_a,SPRED2,1,0.3833646906762905
higher_in_a,C7orf10,1,0.3801638716391625
higher_in_a,LOC146336,1,0.3801375300034075
higher_in_a,INSL5,1,0.3763422057783855
higher_in_a,MYOM2,1,0.371087556121885
higher_in_a,HEATR7B2,1,0.36578391412472
higher_in_a,LOC402644,1,0.363242395157624
higher_in_a,SNTG2,1,0.353154958251174
higher_in_a,GABRA4,1,0.3396577133710041
higher_in_a,LOC152225,1,0.3299286087070835
higher_in_a,TIGD6,1,0.327418661598882
higher_in_a,OR51B4,1,0.3225705684864919
higher_in_a,MGC26647,1,0.3032319664757175
higher_in_a,ZNF804B,1,0.3032319664757175
higher_in_a,TAF8,1,0.2955395988502456
higher_in_a,NXN,1,0.2940854899825065
higher_in_a,ADCY9,1,0.286908932602058
higher_in_a,WSCD2,1,0.280817491809989
lower_in_a,SIM2,18,8.56986469891091
lower_in_a,TBX5,4,1.590485256826502
lower_in_a,PAX6,3,1.1196957192877877
lower_in_a,MNX1,2,0.789607370649742
lower_in_a,ISL2,2,0.7596865679105934
lower_in_a,JPH4,2,0.681776064475628
lower_in_a,AMH,1,0.3148133806356035
lower_in_a,HOXD3,1,0.3125083546133395
