direction,regulatory_feature_name,n,fraction_within_direction
higher_in_a,1:156551641-156552343,2,0.2222222222222222
higher_in_a,13:113636766-113636979,1,0.1111111111111111
higher_in_a,17:43034671-43034793,1,0.1111111111111111
higher_in_a,19:46969722-46970016,1,0.1111111111111111
higher_in_a,1:204226882-204228330,1,0.1111111111111111
higher_in_a,6:30593987-30595136,1,0.1111111111111111
higher_in_a,8:126963359-126963692,1,0.1111111111111111
higher_in_a,8:79429493-79429836,1,0.1111111111111111
lower_in_a,14:24045445-24045742,1,0.2
lower_in_a,21:38080446-38080862,1,0.2
lower_in_a,21:38081703-38082098,1,0.2
lower_in_a,2:177025621-177025878,1,0.2
lower_in_a,7:156798906-156799194,1,0.2
