gene,log1p_mean_diff_sector_vs_rest
GAS6,1.2059103033610266
SLCO4A1-AS1,1.201708581360819
CD81,1.2008726002952175
GPCPD1,1.2006824870784136
HNMT,1.200617341907566
MAEA,1.1997704489380543
FAM171A1,1.1994487453741232
NAB1,1.1986510648140833
PLCD3,1.1982904344517742
GOSR1,1.1970994074072288
NCOA6,1.1969740740241879
NCDN,1.1969512414460381
NDRG1,1.1969142308167724
SCARB2,1.1967215666324713
PLAT,1.1966348648041754
SLC30A9,1.195318252435849
IFT52,1.1950326403008122
RETREG2,1.1934828032444904
BAG5,1.1920184123057351
NCKIPSD,1.1901778332508117
ACD,1.1859969171892712
SLC35C2,1.1858010512255595
ZCCHC7,1.1857198452123416
LRP5,1.1855748013810592
HECTD1,1.1854128940703959
ITGA1,1.1841452087570348
UTRN,1.1821880824515258
C1ORF198,1.182092626676971
YTHDF1,1.179416865609678
TTLL1,1.1782443065034511
SH3BP2,1.177635169540321
ZSCAN26,1.1749811744658316
ZFAND3,1.1740902114791922
ERVK3-1,1.172442370328025
SUPT5H,1.1715287786160404
MAPK8,1.1706499002864454
STK17A,1.1696037928140752
OPHN1,1.1683610751105085
LSS,1.168182983371596
ATP8B3,1.1672996147425068
GNPTG,1.166613533751033
PLOD2,1.1665416384892158
FGFRL1,1.1645199599403075
NKIRAS1,1.1641635412496807
STOM,1.1641133958079357
BIN1,1.1638144780321555
NSUN4,1.1599727354211047
DEDD,1.1598497705130362
AAMDC,1.158364209916669
SRCAP,1.1570127430720656
THOC6,1.1566505007930223
CERS5,1.1563978143273115
NIPAL3,1.1541714422021019
PREP,1.1531263570218373
DGCR2,1.1514233862220644
ENSG00000259865,1.1453736826736316
SEPTIN11,1.145032840901676
ATMIN,1.144578984009517
SLC25A23,1.1434880178330948
ENSG00000213865,1.1429480101061371
COP1,1.1429421247466345
ZNF33B,1.139473182571603
TUBGCP4,1.1389256862627786
ECM1,1.1338766948198913
TNFRSF21,1.1326097187099515
EHMT1,1.1313684241338795
DENND10,1.1308493458242717
TMEM203,1.1295432916564792
DVL3,1.1288152824950153
CD82,1.1278110820879208
CARHSP1,1.12724066042379
COA3,1.1272171391059098
EDF1,1.1250144008235257
BMP1,1.124566097491087
TP53,1.123510341188883
SEC16A,1.1231645735433284
SNF8,1.1221375623148941
MEN1,1.1193422306951208
DALRD3,1.119194366962687
NPAS2,1.1190832591474371
DAAM1,1.1189154095098943
CCND3,1.1187504692999428
ZNF3,1.1181618649909049
CC2D1B,1.116818400872092
PDK2,1.1166953609099053
LRRC47,1.1166411929182263
TMED1,1.11566187807807
NTN4,1.1152123007783135
ACOT13,1.1149523404876884
IDS,1.1131701953279882
GATD3,1.1120389694680677
TMEM160,1.112027301266099
MOV10,1.1119059504156734
MYO5A,1.1116816473135052
FILIP1L,1.1114105357591106
ZFP36,1.1096858680047705
MRPL55,1.107486589878934
TRNAU1AP,1.1064272351544027
WARS2-AS1,1.105624877588434
ACAD8,1.105303944265756
RRP8,1.1017847534467442
H2BC4,1.1014769914120706
SH3PXD2A,1.101398116042229
SH2B1,1.1013444005142476
CDC27,1.1001084252999886
NUAK1,1.1000258723046366
SIN3A,1.0991881837198862
MRPS11,1.0988600541511353
SYT17,1.0985172066732412
TANC2,1.0972877967701804
TRAPPC13,1.0970591564921106
FAH,1.0969966540789367
CAMK2G,1.0966912288486217
KDELR3,1.0961764739076183
GBA2,1.0959936992680752
LRP1,1.0951341303143816
ARL4D,1.0944725443268526
TRUB2,1.094432927377723
RTL8B,1.0937595057741587
ATP9A,1.0935620910096187
UBE2Q1,1.0924969581387924
CEP192,1.0924854354598594
IGFBP4,1.0921929318280714
ENSG00000124593,1.0915249027072627
DHX40,1.0888790540901045
MCL1,1.0881654146606339
COG8,1.0865710138358509
ARL6IP5,1.0858267451229526
ZMIZ1,1.0858088713665122
JAGN1,1.085668048955652
UBE4B,1.0843523239694965
EFR3A,1.0843511387054723
SNAPIN,1.0823675900653642
ADD1,1.0816753394786742
MAN1A1,1.0808143940646207
SLC5A6,1.0800174344350568
PRPF19,1.079183469512547
RNF13,1.0784241763502966
MDN1,1.07800854726658
MTMR6,1.077954710549565
SPTAN1,1.0769217836821547
ATXN1,1.0767209016641195
PGP,1.0753942005675041
TSPAN6,1.074406387488584
ZYG11B,1.0727538189152481
VAMP3,1.0719930536550737
TNS2,1.07197458986304
CST3,1.0705469067039743
NUBP2,1.0695787387892928
KLF4,1.0694225141775968
ARL16,1.0684201190728029
NME3,1.067447503589196
GAS2L1,1.067420528337224
TBRG1,1.0672899235702529
SPRY2,1.0665518713058564
GABPB2,1.06630975899472
FOXJ3,1.065492720563726
ANKRD28,1.0651413640772263
TBC1D8,1.0650923942054331
MAP3K7,1.0643102331332877
BMP4,1.0642048725252167
SCMH1,1.0641382839639797
SYNE2,1.0632618736416093
CMTM3,1.0616135010228278
MVP,1.0601575729036186
VPS13D,1.0582763569343854
MAPK1,1.0574348027663336
FBXW5,1.0550385807671203
OSBPL9,1.0525322931491852
BCAM,1.0524300266477522
UHMK1,1.05135651948097
NMNAT2,1.0513157200141643
SLC38A10,1.0509082362956133
SIDT2,1.0507096975394057
CTDSP2,1.0501118637505793
ASH1L,1.0499193229866908
MTCL1,1.0490787708921907
PNRC1,1.04882340847589
CAVIN3,1.0486351510036585
PRPF6,1.0482931504979742
OGFR,1.0479259702279302
ATG10,1.0474207454550302
ZER1,1.04473724434578
CHPF,1.0419640828173007
CSRNP2,1.041723209182815
SLC35D1,1.0415081477076324
DCAF6,1.0412539727894705
LTBP1,1.039665696274179
PPP2R5C,1.0380315290443454
FAM222B,1.0378452479810487
PTPRJ,1.0362059798894625
PIGM,1.0356668455062708
TOR1A,1.035588366723759
NEK7,1.0354580196688783
CARD19,1.0351176498800472
MAP2K4,1.0343906385575399
FBLIM1,1.033891978614559
ZNG1A,1.0329920133559765
AP5Z1,1.032940069854854
EMC10,1.0318079515412508
MTERF2,1.0315082380639267
CDCA7,1.0309471079111692
ARHGAP19,1.0309302025683018
DUSP3,1.0294322161732512
KPNA1,1.0291112562450362
STAT1,1.0287749067096552
CENPS,1.0281373889055576
HES1,1.0276594844074085
RAB11A,1.0260846537525103
EPOR,1.0259029776299688
B4GALT3,1.0253820261584843
CCDC14,1.0252278095551053
CAPRIN2,1.0241129279509913
CGRRF1,1.0236645268887727
CTDNEP1,1.0235377765893903
PREPL,1.0228069390017083
SLC44A1,1.0225949809507597
KCNQ5,1.022310094161416
AACS,1.0215846376483357
EPDR1,1.0215178465312582
TRIM47,1.0211786650336674
TAGLN2,1.021004328233337
YWHAH,1.0204881926532723
HRH1,1.0188347863507372
ENSG00000108292,1.0185797053396057
PIGQ,1.0185166671858283
MPC1,1.0184831507633705
FOXRED2,1.0184052038386544
STX10,1.0179004009098422
SRD5A1,1.016757511317041
FANCA,1.0164713521782578
SEC24C,1.0151291558994093
PSMF1,1.0150382973923784
SNX14,1.0141122295048612
APOO,1.014025113285373
KAZALD1,1.0139904186070985
NIBAN2,1.0136236904088078
CFP,1.0129842221059913
C21ORF58,1.0126467886197963
PDGFC,1.011990453817707
RGL3,1.0114409882281978
STT3A,1.0092744166328638
EXOSC6,1.0086728674569414
ELP3,1.00819455788012
MON2,1.0074511839922113
BMF,1.007254841867148
ZBED5-AS1,1.006969157871226
TFDP1,1.0066012276135914
MED23,1.006058542667659
CEP295,1.0058098976073149
SERPINI1,1.005102039337549
ARFRP1,1.0049953451148972
SP1,1.0049209128863454
SEC63,1.0047553008617252
LUZP1,1.0046800409728074
NUP188,1.0041321176080062
ZBTB44,1.0037333427926913
FYN,1.0035164726050299
MIR210HG,1.0033872133177435
CTC1,1.002825021315309
ACTR1B,1.0022849142334969
G6PC3,1.0021893326345115
GPATCH2,1.0020918949309476
SEC22C,1.001938357911758
LMAN2L,1.0018235899714711
RNPEP,1.0015939460714038
PTBP2,1.000845051950039
HSD3B7,1.0007223797762665
SLC4A11,1.0005200736698636
GLMP,1.0001618219843946
WDR82,0.9996827602149965
TCFL5,0.9990069811537836
ZNF302,0.9980350557163622
GINM1,0.9974130836582025
HMG20B,0.995901535969304
TAF3,0.9939000827905036
DDX19A,0.99354021566137
EHD2,0.9931699815614858
RANBP9,0.9922778021683452
MFSD14B,0.9920326730211655
CAMK2D,0.9918447294191408
SASH1,0.9914694531356205
PRR14,0.9914116208140029
SNX30,0.990994699728182
GPN2,0.9904355366547362
USP30,0.9902504446517034
TOR4A,0.989070951579903
TNK2,0.9887282881069099
MTIF3,0.9871632172690172
EXOC7,0.9853709988854047
OBSL1,0.9849863504853242
CSTPP1,0.9842827402559204
MIA3,0.9825830155399642
CHIC1,0.9823459060888831
DNAJC16,0.9818488852265024
TOP2B,0.9813446530870644
SERTAD2,0.9797638739471481
NOX5,0.978970630490493
TMEM109,0.978543685343829
RNF111,0.9783438934375275
PIP5K1C,0.978123340532453
FLOT2,0.9776959619061438
F13A1,0.9771443254058567
HEXIM1,0.9767374477934752
ME1,0.97671647529388
