gene,log1p_mean_diff_sector_vs_rest
MEI1,1.5140713608797016
ATP6V1B1-AS1,1.5112620997989636
HERC5,1.5109565925363344
GARRE1,1.5083502966849507
TAB1,1.502883469390221
NBL1,1.4985878021253773
ABTB1,1.4963323969098818
LINC03033,1.4943218563117369
C1QTNF3,1.4934184170992224
SERPINH1,1.4924077435172332
UBE2H,1.4914654374685914
HLTF,1.48865121715481
ARSK,1.4879175721111249
EPCAM-DT,1.4869751508468978
CD302,1.4834431358522444
LPIN1,1.4770555451313578
TMEM39A,1.4752081390264764
ENO3,1.4737984801477226
ATF1,1.471449659366911
TGFBR3,1.4713263282447242
ZNF415,1.4702266960621169
MIEN1,1.469914384429849
ATP9B,1.4696115620464791
DSG1-AS1,1.4678718334008145
STAG2,1.466414123311662
LIG4,1.4604198681683218
USP33,1.4596610354864352
CCDC28A,1.4566719875166343
PCTP,1.4556032497838451
SMIM30,1.4536038514008243
CDKN2AIPNL,1.4468101985950907
CXCL2,1.4453867775096576
SFTA1P,1.4377820878235443
RPTOR,1.4374065449895643
CFP,1.4368477379488858
NDFIP2,1.4368224526020033
BIRC6,1.4363120818937163
IK,1.435420040336898
MCRS1,1.432787353648795
TNPO1,1.4271077144403388
BFSP1,1.425121052317275
TMF1,1.4219098189902635
PPIC,1.4198481377231413
LETMD1,1.4160937825312179
THEMIS2,1.4160477584811941
TSC22D3,1.4138054377624059
ZNHIT1,1.4117506830633664
UAP1,1.411159432747258
CD55,1.4083799325805906
PRRC1,1.4003664803943416
HSCB,1.398706838208815
ABCA1,1.398252198054043
DAGLB,1.3980834276625462
GRAMD1A,1.395455984555729
SBDS,1.3942144802628977
ZNF766,1.3939706023333467
SUPT3H,1.3907363875000165
ACOX1,1.386978675471663
SLC25A37,1.383449992855308
ZNF638,1.3830960288799172
VCF1,1.3816040675176349
PPP2R5D,1.376773037082255
PHF10,1.3762162657979848
FAF1,1.3762025801427682
DNAJB12,1.3727778474544632
MIR100HG,1.3685055399634134
LINC00887,1.3683563030767076
AFDN,1.3670694341096046
SEC23A,1.3649233585006693
RBBP4,1.3648967284369449
DTD1,1.3646863388673331
LYSMD3,1.3625125639283504
STPG1,1.3624938177320969
TAOK1,1.3592344254100786
MAP3K14-AS1,1.3580485883036537
DTNA,1.3564987195561204
DNASE2,1.3554487953426864
FHIP2A,1.3548908133898776
MKNK2,1.3540451869163999
CD2AP,1.3519654430416956
NR1H2,1.3519453416770286
FLII,1.348573089085583
ARHGAP26,1.3483370776236343
ALDH2,1.3479830116009142
CXCL3,1.3452942062779396
MKRN1,1.3450955109270821
SLC67A1,1.3439672951935782
CUL9,1.3426781469038587
NAA60,1.341259950619366
RBMS2,1.338892914079292
JUNB,1.336970579280865
ENSG00000175898,1.336681097215408
PNP,1.335821103837501
YES1,1.3350154961079168
CAPZB,1.333092492466072
SIX1,1.3310903830854752
POLD4,1.33079324274801
EARS2,1.3295573298385401
LTBP4,1.3275485303793761
PARD6B,1.3263668945669143
SS18,1.3247473524607063
ALDH7A1P1,1.3226046948323003
PAIP1,1.321698105713283
TP53I13,1.3212499016438815
SNX15,1.3209559863251208
RCHY1,1.31883273755649
CARD11,1.3176379031428493
PPP3CA-DT,1.3172268189527037
BMS1P10,1.3109778887272323
GSE1,1.310319333702549
ALDH7A1,1.310299137062891
CBFA2T2,1.3084517315993365
TAF7,1.305301181436544
PTPN18,1.3030579089520433
GART,1.3027243652585243
DMAP1,1.301124898549489
ZFP64,1.300407046313306
YAF2,1.2989255203395602
BCL7A,1.298288637368805
ANG,1.2952728541660612
AUP1,1.29493727387589
ALG6,1.2941817362602128
REPIN1,1.2931846312597766
ASL,1.2923953537992843
SINHCAF,1.2905848144361112
PRKCH,1.2904339820815698
ARMC10P1,1.2899499689334202
FAM117A,1.28937665786769
IER2,1.2891106589991246
TTC9C,1.2883033682160492
C11ORF54,1.2876706819129666
EIF2B4,1.2876097467692085
SLC1A1,1.2873240690912504
TNFRSF10B,1.2863847915920443
GJA1,1.2847622033179942
C10ORF55,1.28332869589343
GNAI1,1.2827507852243563
UBE2W,1.2794631195532782
NOA1,1.2774437794606288
NIPSNAP1,1.2771873903475441
RNF10,1.2770058776975555
HSD3B7,1.273498787962277
CWC22,1.2723840085098868
EIF4BP6,1.2709351512381952
MICAL2,1.2690445397541952
PDLIM3,1.2664871516903546
DLEU1,1.2645559860888989
B4GAT1,1.2637726242059997
FSCN1,1.2619045575138745
IL1A,1.2618992687116046
INPPL1,1.2611064154272058
PGAP2,1.2586808306584136
SP100,1.2541700123000714
ADGRG1,1.2537302569062092
NR3C1,1.2518063928128087
NRBF2,1.2516122235900302
MTF1,1.2515693967432382
ASB9,1.2489331909164996
TMEM87B,1.2485253958708142
DDX31,1.2431789675476672
GATAD1,1.2393394994846871
DNPH1,1.2390301439659748
GOLGA8B,1.2389134678661022
BABAM1,1.2338224592085973
EEA1,1.2336725349167343
FOXN3,1.2303910773406126
LIMA1,1.230106783550414
PPP1R13L,1.229655032142952
IMPACT,1.2251217768706484
