gene,G1,PKH26_High,PKH26_Low
SLCO4A1,-6.03463589782362,0.0,0.6744907594765952
MARCKSL1,-0.8368229989324104,0.6744907594765952,0.0
LGALS3BP,-3.1177182637728653,0.6744907594765952,0.0
ABR,-1.1732789845756306,0.6744907594765952,0.0
GALNT10,-1.6596286720177096,0.6744907594765952,0.0
COL6A1,-5.329856730139304,0.6744907594765952,0.0
GSN,-9.633953164316022,0.6744907594765952,0.0
FN1,-8.551579343866528,0.0,0.6744907594765952
ABCC3,-0.6744907594765952,1.0090229245084312,0.0
DDX17,-0.7422135251328248,0.6744907594765952,0.0
TMEM131,-0.6744907594765952,0.8603160251114681,0.0
MAGI1,-1.4684624962989865,0.6744907594765953,0.0
ESYT2,-2.7060174743500602,0.6744907594765952,0.0
GALNT5,-1.138128781176495,0.6744907594765952,0.0
NET1,-6.8852833367502475,0.0,0.6744907594765952
ARL4C,-1.0225766318345455,0.6744907594765952,0.0
