top_n,n_genes_used,corr_H,corr_S,corr_M,corr_R
12,12,0.5941855364203972,-0.48994883075870654,0.725196420643335,-0.6689767618330226
16,16,0.6214977453891478,-0.472218189693564,0.7353454479134526,-0.6954097594486558
20,16,0.6214977453891478,-0.472218189693564,0.7353454479134526,-0.6954097594486558
