gene,G1,PKH26_High,PKH26_Low
SLCO4A1,1.9352019396572093,5.72134939135563,6.1445267815785325
MARCKSL1,1.7941467493135432,4.961414247353327,3.5478807250572597
LGALS3BP,1.374252016953924,5.183891854274899,4.506300811309363
ABR,0.9004349687569875,4.433626247274718,3.1439066398969766
GALNT10,1.1399517333270208,4.81624665874258,3.753907293050382
COL6A1,2.2767887349751446,6.436577741784138,5.969293119880206
GSN,2.3685786293423177,5.962509418573858,5.7273552939110495
FN1,4.780750945154816,8.296640821362393,8.573950443068727
ABCC3,0.36659190305900335,2.9206235601585426,1.3898510357359772
DDX17,1.5070887286312822,4.1823589149646,2.9086668400637814
TMEM131,2.3204379333378378,4.710290789513831,3.3706897853532647
MAGI1,1.593273002973689,4.243754888676982,3.409520387644921
ESYT2,2.3941413510204277,4.691020318708134,4.232739039035635
GALNT5,1.0823029333885708,3.2731807815160336,2.4579369696946554
NET1,1.217733378723182,3.866573635848238,4.126057260468937
ARL4C,2.211905167279,4.504961788076885,3.5935981559645067
