cell_id,population_label,k,knn_same_label_purity,knn_label_entropy,centroid_margin,S_refined_raw,S_refined
G1-2015-05-07-A-B1_S96_L000,G1,8,0.875,0.37677016125643675,5.106370735950033,0.38676718227610596,0.4935151236849309
G1-2015-05-07-A-B2_S97_L000,G1,8,1.0,-0.0,11.271598804416474,1.2314216255498576,1.166480112098787
G1-2015-05-07-A-B3_S98_L000,G1,8,0.75,0.5623351446188083,-0.4437052769845593,-0.26430722655597694,-0.025218052332041666
G1-2015-05-07-A-B4_S99_L000,G1,8,1.0,-0.0,22.71822367889343,1.6004534415067329,1.4605003398113339
G1-2015-05-07-A-C1_S108_L000,G1,8,1.0,-0.0,21.2061505233797,1.5517051765327423,1.4216609353250842
G1-2015-05-07-A-C2_S109_L000,G1,8,1.0,-0.0,28.578398667315454,1.789381710015336,1.6110259317151172
G1-2015-05-07-A-C3_S110_L000,G1,8,1.0,-0.0,31.285086221339995,1.8766435740357719,1.6805504334532222
G1-2015-05-07-A-C4_S111_L000,G1,8,1.0,-0.0,35.004250554064285,1.996547037510633,1.7760816101974015
G1-2015-05-07-A-D1_S120_L000,G1,8,1.0,-0.0,19.081400903212415,1.4832046168147106,1.3670842042795253
G1-2015-05-07-A-D2_S121_L000,G1,8,0.375,1.0821955300387673,-6.354603367392649,-1.8378298429885462,-1.2788971607165909
G1-2015-05-07-A-D3_S122_L000,G1,8,1.0,-0.0,33.447286326871534,1.946351513289168,1.7360891249330133
G1-2015-05-07-A-D4_S123_L000,G1,8,1.0,-0.0,32.1339579166625,1.9040106509404888,1.7023547165405428
G1-2015-05-07-A-E1_S132_L000,G1,8,1.0,-0.0,36.20833226544012,2.0353658566282458,1.807009886684615
G1-2015-05-07-A-E2_S133_L000,G1,8,1.0,-0.0,25.169520896764332,1.6794816855245807,1.5234648358171894
G1-2015-05-07-A-E3_S134_L000,G1,8,0.875,0.37677016125643675,17.987091504412824,0.8020333265015636,0.8243718168128438
G1-2015-05-07-A-E4_S135_L000,G1,8,0.875,0.37677016125643675,19.456594691878323,0.8494091631146761,0.8621177608392189
G1-2015-05-07-A-F1_S144_L000,G1,8,0.625,0.9002560512685369,11.647073584581733,-0.4850974870850408,-0.201129179423192
G1-2015-05-07-A-F2_S145_L000,G1,8,0.625,0.6615632381579821,5.608065339174811,-0.4628913361646711,-0.18343678199860447
G1-2015-05-07-A-F3_S146_L000,G1,8,1.0,-0.0,25.544069512648857,1.6915568917447301,1.5330855642449497
G1-2015-05-07-A-G1_S154_L000,G1,8,1.0,-0.0,20.878356864080693,1.5411373200093763,1.413241163784853
G1-2015-05-07-A-G2_S155_L000,G1,8,1.0,-0.0,32.21435193098312,1.9066025021998896,1.704419732792624
G1-2015-05-07-A-G3_S156_L000,G1,8,0.75,0.7356219397587946,4.294682433874968,-0.26901017176506836,-0.02896504909900411
G1-2015-05-07-A-G4_S157_L000,G1,8,0.875,0.37677016125643675,17.711538294668244,0.7931496684364229,0.8172939035969864
G1-2015-05-07-A-H2_S163_L000,G1,8,0.25,1.0397207708399179,2.2818962551903184,-1.8243187320977876,-1.268132398089147
G1-2015-05-07-A-H3_S164_L000,G1,8,1.0,-0.0,19.991986984762633,1.512561325796133,1.3904736950670011
G1-2015-05-07-A-H4_S165_L000,G1,8,0.75,0.5623351446188083,9.714135989834158,0.06317503568309925,0.23569822954920697
G1-2015-05-07-B-A1_S170_L000,G1,8,0.875,0.37677016125643675,8.230971352651373,0.4875022943607462,0.5737742214458568
G1-2015-05-07-B-A2_S171_L000,G1,8,1.0,-0.0,25.723948797603434,1.6973560840750235,1.5377059784633837
G1-2015-05-07-B-A3_S172_L000,G1,8,1.0,-0.0,17.336641130351342,1.4269546851144854,1.3222679661878805
G1-2015-05-07-B-A4_S173_L000,G1,8,0.625,0.9002560512685369,3.177192694700537,-0.7581609935777452,-0.41868818351825793
High-2015-09-08-2-A1_S62_L000,PKH26_High,8,1.0,-0.0,15.827596537120804,1.3783040590385423,1.2835063539401215
High-2015-09-08-2-A2_S63_L000,PKH26_High,8,0.375,1.0821955300387673,7.196138241901629,-1.4009626582526826,-0.9308301822553404
High-2015-09-08-2-A3_S64_L000,PKH26_High,8,0.75,0.7356219397587946,11.678865451576584,-0.030948865636622247,0.16070650877450882
High-2015-09-08-2-A4_S65_L000,PKH26_High,8,0.625,0.6615632381579821,0.13353543476816299,-0.6393866554651315,-0.32405661944097885
High-2015-09-08-2-A5_S66_L000,PKH26_High,8,0.125,0.37677016125643675,-4.279115304468327,-1.7369398953374018,-1.1985147001816356
High-2015-09-08-2-A6_S67_L000,PKH26_High,8,0.125,0.37677016125643675,-7.7785296876568,-1.8497587619269003,-1.288401337080152
High-2015-09-08-2-C1_S72_L000,PKH26_High,8,0.5,0.9743147528693494,-5.052035145602119,-1.3942839005923424,-0.9255089883549217
High-2015-09-08-2-C3_S73_L000,PKH26_High,8,0.625,0.6615632381579821,-0.24220642963268801,-0.6515003312491651,-0.33370799788167604
High-2015-09-08-2-C5_S74_L000,PKH26_High,8,0.75,0.5623351446188083,3.439514498392221,-0.1391147212383409,0.07452708434662632
High-2015-09-08-2-D1_S82_L000,PKH26_High,8,0.25,0.5623351446188083,-9.40369033841565,-1.7672547430400325,-1.2226675727503256
High-2015-09-08-2-D2_S83_L000,PKH26_High,8,0.75,0.5623351446188083,9.894347923359973,0.06898495238915099,0.24032718824339144
High-2015-09-08-2-D3_S84_L000,PKH26_High,8,0.5,0.6931471805599453,-3.4833030156145455,-1.088212332771657,-0.6816513365867869
High-2015-09-08-2-D4_S85_L000,PKH26_High,8,0.625,0.6615632381579821,2.238141677157877,-0.5715355052771822,-0.2699972951057829
High-2015-09-08-2-E1_S90_L000,PKH26_High,8,0.875,0.37677016125643675,11.767071010029575,0.6015038705700294,0.6646031634158892
High-2015-09-08-2-E2_S91_L000,PKH26_High,8,0.75,0.5623351446188083,9.649739964183958,0.06109894927800642,0.23404414073848057
High-2015-09-08-2-G1_S51_L000,PKH26_High,8,0.375,0.6615632381579821,12.196504592523006,-0.8575259801822557,-0.4978556556029045
High-2015-09-08-2-G2_S52_L000,PKH26_High,8,0.75,0.5623351446188083,12.085485568305756,0.13962581928160792,0.2966091749758282
High-2015-09-08-2-G3_S53_L000,PKH26_High,8,0.375,0.6615632381579821,3.4358185470872655,-1.139964857652933,-0.7228843373535018
High-2015-09-08-2-G4_S54_L000,PKH26_High,8,0.25,0.5623351446188083,-2.564094154206714,-1.5467505657870264,-1.046984377957514
High-2015-09-08-2-G5_S55_L000,PKH26_High,8,0.625,0.6615632381579821,-0.8621853423145112,-0.6714880522159008,-0.34963289653805973
High-2015-09-08-2-G6_S56_L000,PKH26_High,8,0.125,0.37677016125643675,-10.143080663396802,-1.925990362950674,-1.3491376522777587
High-2015-09-08-4-C1_S12_L000,PKH26_High,8,0.75,0.7356219397587946,8.980133676867744,-0.11795424045430893,0.09138636072770426
High-2015-09-08-4-C2_S13_L000,PKH26_High,8,0.875,0.37677016125643675,10.807906275815693,0.5705810171044644,0.6399658719295377
High-2015-09-08-4-C3_S14_L000,PKH26_High,8,0.75,0.5623351446188083,0.9408704066576732,-0.219669397984909,0.010346427351175483
High-2015-09-08-4-C4_S15_L000,PKH26_High,8,1.0,-0.0,18.210315135404688,1.4551213725157695,1.3447093262157688
High-2015-09-08-4-C5_S16_L000,PKH26_High,8,0.375,0.6615632381579821,6.572057824384494,-1.0388545226443213,-0.6423262866980591
High-2015-09-08-4-C6_S17_L000,PKH26_High,8,0.25,0.5623351446188083,2.6495800305016353,-1.378665066935705,-0.9130649311496601
High-2015-09-08-4-D1_S22_L000,PKH26_High,8,0.875,0.37677016125643675,12.887762266584076,0.6376342351157792,0.6933894564988684
High-2015-09-08-4-D2_S23_L000,PKH26_High,8,0.5,0.6931471805599453,1.9972759045689301,-0.9115219970972563,-0.5408761229513737
High-2015-09-08-4-D3_S24_L000,PKH26_High,8,0.625,0.6615632381579821,8.342751179492716,-0.3747268254210461,-0.1131931108457759
High-2015-09-08-4-D4_S25_L000,PKH26_High,8,0.875,0.37677016125643675,10.283877673575283,0.5536866723680245,0.6265055715660514
High-2015-09-08-4-D5_S26_L000,PKH26_High,8,0.625,0.6615632381579821,12.197502445106196,-0.2504521265285128,-0.014179221833125635
High-2015-09-08-4-E1_S1_L000,PKH26_High,8,0.625,0.6615632381579821,0.2532761296947257,-0.6355262925566539,-0.3209809367157358
High-2015-09-08-4-E2_S2_L000,PKH26_High,8,0.875,0.37677016125643675,6.591748206729797,0.4346547955624926,0.531668817632878
High-2015-09-08-4-E4_S3_L000,PKH26_High,8,0.875,0.37677016125643675,12.947016336288225,0.6395445481718587,0.6949114680313818
