cell_id,population_label,group_order,pc1,pc2,pc3,pc4,pc5,knn_same_label_purity,knn_label_entropy,own_centroid_dist,nearest_other_centroid_dist,centroid_margin,S_refined_raw,S_refined
G1-2015-05-07-A-B1_S96_L000,G1,0,-1.3100244894363653,-11.076359998634263,-27.846523581971663,10.069212595490573,-3.229790225281852,0.7,0.8018185525433372,30.03679666959994,35.143167405549974,5.106370735950033,-0.3768725631797206,-0.18726904389212964
G1-2015-05-07-A-B2_S97_L000,G1,0,-14.99915126865976,-23.921401413054912,-11.696362565803028,6.607170564606283,-0.530517885537932,0.9,0.3250829733914482,26.40827078496017,37.67986958937664,11.271598804416474,0.8531594841969409,0.9700999118992096
G1-2015-05-07-A-B3_S98_L000,G1,0,-29.78665039959149,-19.542363788370565,-17.496308345475896,10.903976317362355,20.604280024277728,0.6,0.6730116670092565,46.963391228587795,46.519685951603236,-0.4437052769845593,-0.510937081016597,-0.3134138149559856
G1-2015-05-07-A-B4_S99_L000,G1,0,34.783275767501856,-31.608198663967578,1.658623250925946,-7.507152657033408,8.449489370617206,1.0,-0.0,29.867666435921585,52.585890114815015,22.71822367889343,1.8701986266654593,1.927058336541994
G1-2015-05-07-A-C1_S108_L000,G1,0,0.9398469610965412,-32.63408333655274,2.7835021850686403,-5.206898740549244,1.3270709559997709,1.0,-0.0,17.954393840676243,39.160544364055944,21.2061505233797,1.8214503616914688,1.8811898336441095
G1-2015-05-07-A-C2_S109_L000,G1,0,46.65851979806447,-35.872653687543504,1.1812260414721478,16.014459791360945,-1.9569948926926797,1.0,-0.0,39.49376318038931,68.07216184770476,28.578398667315454,2.0591268951740624,2.1048258291122988
G1-2015-05-07-A-C3_S110_L000,G1,0,37.58058211950039,-32.19197580833326,-5.23394923129135,16.48073625182698,2.8216577596704404,1.0,-0.0,29.693562369854305,60.9786485911943,31.285086221339995,2.146388759194499,2.1869327731200854
G1-2015-05-07-A-C4_S111_L000,G1,0,16.29742758796493,-37.23230970792617,0.2180944594176599,5.834380484402342,-2.751887760213497,1.0,-0.0,14.169221004868248,49.17347155893253,35.004250554064285,2.26629222266936,2.2997530420013965
G1-2015-05-07-A-D1_S120_L000,G1,0,-2.560811299625964,-37.65946788375686,11.90381040036667,-1.1133372964513857,12.751159468801209,0.9,0.3250829733914482,28.054950167579545,47.13635107079196,19.081400903212415,1.1049424754617938,1.2070090382164593
G1-2015-05-07-A-D2_S121_L000,G1,0,-40.06973540493164,-15.971691771802757,-18.19481202591397,5.716526574332504,17.72999209406322,0.4,1.0549201679861442,55.59803653117441,49.24343316378176,-6.354603367392649,-1.588013899083665,-1.3268632408404264
G1-2015-05-07-A-D3_S122_L000,G1,0,25.61337337810557,-29.184363154673644,-13.30874988546278,5.938798706229314,4.134306985663263,1.0,-0.0,17.143719248122633,50.59100557499417,33.447286326871534,2.2160966984478945,2.2525227754587505
G1-2015-05-07-A-D4_S123_L000,G1,0,24.704973892403043,-36.68220250889137,-1.499490304817815,-0.1312755210774267,0.6270276448736732,1.0,-0.0,18.829400155236655,50.96335807189916,32.1339579166625,2.1737558360992155,2.2126831633540838
G1-2015-05-07-A-E1_S132_L000,G1,0,22.289883611606125,-33.655154775906134,-9.83196463234336,13.0180172228299,-5.10171849164704,1.0,-0.0,17.276863085035668,53.48519535047579,36.20833226544012,2.3051110417869722,2.3362786725677083
G1-2015-05-07-A-E2_S133_L000,G1,0,49.79584514071727,-30.49109931617534,3.1183704903988634,19.083210276154905,-5.936081558295105,1.0,-0.0,43.28695002467715,68.45647092144148,25.169520896764332,1.9492268706833076,2.0014180546095277
G1-2015-05-07-A-E3_S134_L000,G1,0,23.20867557135457,-17.395394811180132,-23.664495598186,5.472003524994188,-22.170982131033394,0.9,0.3250829733914482,33.387902896808,51.374994401220825,17.987091504412824,1.069662645023903,1.1738133335992662
G1-2015-05-07-A-E4_S135_L000,G1,0,6.292102511637584,-24.42277997222335,-12.191941803158253,-6.253805876505932,-8.876434685983336,0.9,0.3250829733914482,17.56138194395178,37.0179766358301,19.456594691878323,1.1170384816370156,1.2183904831683363
G1-2015-05-07-A-F1_S144_L000,G1,0,1.2103486476359182,-30.325118938140765,13.596055583554683,-6.211593602769345,22.58497479813403,0.6,0.8979457248567797,32.75247464569166,44.399548230273396,11.647073584581733,-0.464505354756149,-0.2697250032276615
G1-2015-05-07-A-F2_S145_L000,G1,0,8.07364653153304,-7.167362114643494,-31.05806092509184,7.648923154903933,0.740949318914619,0.6,0.8979457248567797,31.915827656328627,37.52389299550344,5.608065339174811,-0.6591990923267962,-0.4529173747043467
G1-2015-05-07-A-F3_S146_L000,G1,0,16.092065593761124,-27.607730450084247,-27.606821268595542,-5.862210838430384,2.3252377577729995,1.0,-0.0,25.109424882122998,50.653494394771855,25.544069512648857,1.9613020769034568,2.0127799283458954
G1-2015-05-07-A-G1_S154_L000,G1,0,41.55995728409776,-31.772540138561716,11.09380785274356,-0.2077814034027,-2.3930656778772965,1.0,-0.0,36.45254675795944,57.33090362204013,20.878356864080693,1.8108825051681032,1.871246264209894
G1-2015-05-07-A-G2_S155_L000,G1,0,17.365110936251522,-29.320374952753628,-11.426158057980995,6.133682616754016,-9.883532782122376,1.0,-0.0,14.521739753933831,46.73609168491695,32.21435193098312,2.176347687358616,2.2151219032162333
G1-2015-05-07-A-G3_S156_L000,G1,0,-19.139309538838475,-19.945001226540864,-12.364020367190168,-0.8535537250676352,6.015446922595192,0.7,0.8018185525433372,32.09355022652392,36.388232660398884,4.294682433874968,-0.4030408714269498,-0.21189148170219685
G1-2015-05-07-A-G4_S157_L000,G1,0,56.283739120802025,-15.793498624841458,4.540343804634931,30.087637067080347,-9.828884032158216,0.8,0.5004024235381879,55.19909600846282,72.91063430313106,17.711538294668244,0.6413892475541891,0.7708398209335856
G1-2015-05-07-A-H2_S163_L000,G1,0,-51.69531683795687,-37.59344217482646,13.098321711446472,12.166908475168109,-1.08060606369477,0.2,1.0296530140645737,66.39205515113551,68.67395140632583,2.2818962551903184,-1.5745286411127402,-1.3141746129549394
G1-2015-05-07-A-H3_S164_L000,G1,0,53.43168210234307,-23.727438293568724,8.722664407492822,28.338100700849388,-15.312696056119607,1.0,-0.0,53.489582702212275,73.48156968697491,19.991986984762633,1.78230651095486,1.8443583724238084
G1-2015-05-07-A-H4_S165_L000,G1,0,-5.292041769627454,-16.457853158661376,-16.809016967513188,-0.2742473037709902,1.7994482268509375,0.7,0.8018185525433372,22.51166498692125,32.22580097675541,9.714135989834158,-0.22832117813911068,-0.04749320491908234
G1-2015-05-07-B-A1_S170_L000,G1,0,-19.28655410195389,-25.258243109705024,-0.3739561968960425,6.670980700453392,14.69455427009683,0.9,0.3250829733914482,33.183982253494314,41.41495360614569,8.230971352651373,0.7551316128830857,0.8778629532744867
G1-2015-05-07-B-A2_S171_L000,G1,0,37.40927342870834,-34.53081084312353,3.224539848247533,-0.7461892959912411,12.373799391319132,1.0,-0.0,32.07616921285027,57.8001180104537,25.723948797603434,1.9671012692337502,2.0182365383472844
G1-2015-05-07-B-A3_S172_L000,G1,0,-3.473729704379369,-34.32505254475138,4.273614519674846,-7.587172756129058,11.842906908987114,1.0,-0.0,25.373961359261006,42.71060248961235,17.336641130351342,1.6966998702732123,1.7638088708512019
G1-2015-05-07-B-A4_S173_L000,G1,0,-15.512373474197984,-16.948950489172802,-19.19360951432988,4.283679774573149,-9.048188656553313,0.6,0.8979457248567797,32.54233834608322,35.71953104078376,3.177192694700537,-0.7375688612488535,-0.5266575165294116
High-2015-09-08-2-A1_S62_L000,PKH26_High,2,-19.50775926475663,12.408773905492271,-17.923783667717633,10.082372858680143,11.658611511931198,0.9,0.3250829733914482,23.61018594990398,39.43778248702478,15.827596537120804,1.0000419176856254,1.108305391206395
