gene,n_lists_present,present_in_lists,rank_positive_H,rank_negative_R,rank_malignant_reservoir,rank_unstable_committed_malignant,rank_PKH26_High_vs_G1,mean_rank_across_present_lists,priority_score
ZBTB4,1,malignant_reservoir,,,3,,,3.0,997.0
FTH1P7,1,positive_H,4,,,,,4.0,996.0
XRCC4,1,unstable_committed_malignant,,,,4,,4.0,996.0
SLC25A11,1,unstable_committed_malignant,,,,5,,5.0,995.0
ETHE1,1,malignant_reservoir,,,6,,,6.0,994.0
FBN1,1,unstable_committed_malignant,,,,6,,6.0,994.0
FTH1,1,positive_H,6,,,,,6.0,994.0
FTH1P10,1,positive_H,7,,,,,7.0,993.0
CHST14,1,unstable_committed_malignant,,,,8,,8.0,992.0
FHL1,1,malignant_reservoir,,,8,,,8.0,992.0
SRP14,1,positive_H,8,,,,,8.0,992.0
ATP5F1E,1,positive_H,9,,,,,9.0,991.0
ITGA10,1,negative_R,,9,,,,9.0,991.0
TNKS1BP1,1,malignant_reservoir,,,9,,,9.0,991.0
TRIM16L,1,unstable_committed_malignant,,,,9,,9.0,991.0
ADIRF,1,negative_R,,10,,,,10.0,990.0
CD63,1,positive_H,10,,,,,10.0,990.0
IGFBP1,1,malignant_reservoir,,,10,,,10.0,990.0
SLC25A24,1,unstable_committed_malignant,,,,10,,10.0,990.0
CD59,1,positive_H,11,,,,,11.0,989.0
IGFBP4,1,negative_R,,11,,,,11.0,989.0
PGLS,1,malignant_reservoir,,,11,,,11.0,989.0
GNA12,1,unstable_committed_malignant,,,,12,,12.0,988.0
IGFBP3,1,PKH26_High_vs_G1,,,,,12,12.0,988.0
S100A11,1,positive_H,12,,,,,12.0,988.0
ACSL5,1,unstable_committed_malignant,,,,13,,13.0,987.0
ADGRE5,1,malignant_reservoir,,,13,,,13.0,987.0
CALM1,1,positive_H,13,,,,,13.0,987.0
ADIPOR2,1,malignant_reservoir,,,14,,,14.0,986.0
FTH1P11,1,positive_H,14,,,,,14.0,986.0
PYGB,1,PKH26_High_vs_G1,,,,,14,14.0,986.0
TIMP2,1,negative_R,,14,,,,14.0,986.0
CARD19,1,negative_R,,15,,,,15.0,985.0
FAM98A,1,malignant_reservoir,,,15,,,15.0,985.0
POLR1A,1,unstable_committed_malignant,,,,15,,15.0,985.0
TMSB10,1,positive_H,15,,,,,15.0,985.0
NFYC,1,unstable_committed_malignant,,,,16,,16.0,984.0
NIBAN2,1,negative_R,,16,,,,16.0,984.0
UBB,1,positive_H,16,,,,,16.0,984.0
ATG13,1,unstable_committed_malignant,,,,17,,17.0,983.0
ELOB,1,positive_H,17,,,,,17.0,983.0
UBE2Z,1,unstable_committed_malignant,,,,18,,18.0,982.0
CSTB,1,positive_H,19,,,,,19.0,981.0
KRCC1,1,malignant_reservoir,,,19,,,19.0,981.0
TTK,1,unstable_committed_malignant,,,,19,,19.0,981.0
FTH1P20,1,positive_H,20,,,,,20.0,980.0
TIMP1,1,negative_R,,20,,,,20.0,980.0
SOX4,1,malignant_reservoir,,,21,,,21.0,979.0
DIP2B,1,unstable_committed_malignant,,,,22,,22.0,978.0
S100PBP,1,malignant_reservoir,,,22,,,22.0,978.0
TPT1,1,positive_H,22,,,,,22.0,978.0
NDUFS5,1,positive_H,23,,,,,23.0,977.0
PPME1,1,unstable_committed_malignant,,,,23,,23.0,977.0
ANKRD28,1,negative_R,,24,,,,24.0,976.0
LINC00667,1,malignant_reservoir,,,24,,,24.0,976.0
MOB3C,1,unstable_committed_malignant,,,,24,,24.0,976.0
S100A16,1,positive_H,24,,,,,24.0,976.0
B2M,1,positive_H,25,,,,,25.0,975.0
CST3,1,negative_R,,25,,,,25.0,975.0
GLT8D1,1,malignant_reservoir,,,25,,,25.0,975.0
ITGB5,1,PKH26_High_vs_G1,,,,,25,25.0,975.0
USB1,1,unstable_committed_malignant,,,,25,,25.0,975.0
FTH1P2,1,positive_H,26,,,,,26.0,974.0
NAPRT,1,malignant_reservoir,,,26,,,26.0,974.0
TULP3,1,unstable_committed_malignant,,,,26,,26.0,974.0
ALDH3A2,1,PKH26_High_vs_G1,,,,,27,27.0,973.0
CAT,1,unstable_committed_malignant,,,,27,,27.0,973.0
MT-ND1,1,positive_H,27,,,,,27.0,973.0
TSC2,1,malignant_reservoir,,,27,,,27.0,973.0
EXO1,1,unstable_committed_malignant,,,,28,,28.0,972.0
SELENOH,1,positive_H,28,,,,,28.0,972.0
BMP4,1,unstable_committed_malignant,,,,29,,29.0,971.0
SLCO4A1-AS1,1,negative_R,,29,,,,29.0,971.0
UROS,1,malignant_reservoir,,,29,,,29.0,971.0
YWHAB,1,positive_H,29,,,,,29.0,971.0
CFL1,1,positive_H,30,,,,,30.0,970.0
TMEM9,1,malignant_reservoir,,,30,,,30.0,970.0
USF3,1,unstable_committed_malignant,,,,30,,30.0,970.0
EGLN2,1,unstable_committed_malignant,,,,31,,31.0,969.0
RNASEK,1,positive_H,31,,,,,31.0,969.0
ZEB1,1,malignant_reservoir,,,31,,,31.0,969.0
DYNLL1,1,positive_H,32,,,,,32.0,968.0
ROR1,1,malignant_reservoir,,,32,,,32.0,968.0
SVIL,1,PKH26_High_vs_G1,,,,,32,32.0,968.0
TCIRG1,1,unstable_committed_malignant,,,,32,,32.0,968.0
OAZ1,1,positive_H,33,,,,,33.0,967.0
PLXNA1,1,PKH26_High_vs_G1,,,,,33,33.0,967.0
HMGA2-AS1,1,PKH26_High_vs_G1,,,,,34,34.0,966.0
MEA1,1,positive_H,34,,,,,34.0,966.0
NOL3,1,malignant_reservoir,,,34,,,34.0,966.0
DPYSL2,1,PKH26_High_vs_G1,,,,,35,35.0,965.0
GAPDH,1,positive_H,35,,,,,35.0,965.0
KIAA1586,1,unstable_committed_malignant,,,,35,,35.0,965.0
ALMS1,1,unstable_committed_malignant,,,,36,,36.0,964.0
PRDX2,1,positive_H,36,,,,,36.0,964.0
FRMD8,1,malignant_reservoir,,,37,,,37.0,963.0
SERF2,1,positive_H,37,,,,,37.0,963.0
TP53BP1,1,unstable_committed_malignant,,,,37,,37.0,963.0
MSRB1,1,malignant_reservoir,,,38,,,38.0,962.0
PPP3CB,1,unstable_committed_malignant,,,,38,,38.0,962.0
ALDOA,1,positive_H,39,,,,,39.0,961.0
MIR3681HG,1,PKH26_High_vs_G1,,,,,39,39.0,961.0
PDE10A,1,malignant_reservoir,,,39,,,39.0,961.0
PGM1,1,unstable_committed_malignant,,,,39,,39.0,961.0
FOXP1,1,negative_R,,40,,,,40.0,960.0
GSTP1,1,positive_H,40,,,,,40.0,960.0
RTL8B,1,PKH26_High_vs_G1,,,,,40,40.0,960.0
ZNF76,1,unstable_committed_malignant,,,,40,,40.0,960.0
MGAT4B,1,PKH26_High_vs_G1,,,,,41,41.0,959.0
RPL36AL,1,positive_H,41,,,,,41.0,959.0
EIF4EBP2,1,unstable_committed_malignant,,,,42,,42.0,958.0
GALNT1,1,PKH26_High_vs_G1,,,,,42,42.0,958.0
SMPD1,1,malignant_reservoir,,,42,,,42.0,958.0
SUMO2,1,positive_H,42,,,,,42.0,958.0
LAMTOR5,1,positive_H,43,,,,,43.0,957.0
PTOV1,1,malignant_reservoir,,,43,,,43.0,957.0
SLC25A14,1,unstable_committed_malignant,,,,43,,43.0,957.0
TBCC,1,PKH26_High_vs_G1,,,,,43,43.0,957.0
FAM220A,1,unstable_committed_malignant,,,,44,,44.0,956.0
OCIAD2,1,positive_H,44,,,,,44.0,956.0
EMP3,1,positive_H,45,,,,,45.0,955.0
LAMA5,1,negative_R,,45,,,,45.0,955.0
SNX21,1,malignant_reservoir,,,45,,,45.0,955.0
SORL1,1,PKH26_High_vs_G1,,,,,45,45.0,955.0
TMEM104,1,unstable_committed_malignant,,,,45,,45.0,955.0
ASH2L,1,unstable_committed_malignant,,,,46,,46.0,954.0
CYB5R1,1,malignant_reservoir,,,46,,,46.0,954.0
PFN1,1,positive_H,46,,,,,46.0,954.0
SEC16A,1,negative_R,,46,,,,46.0,954.0
ATP6V0E1,1,positive_H,47,,,,,47.0,953.0
CD81,1,negative_R,,47,,,,47.0,953.0
ERAL1,1,unstable_committed_malignant,,,,47,,47.0,953.0
PHF20L1,1,PKH26_High_vs_G1,,,,,47,47.0,953.0
ZSCAN18,1,malignant_reservoir,,,47,,,47.0,953.0
BCAR1,1,malignant_reservoir,,,48,,,48.0,952.0
LGALS3,1,positive_H,48,,,,,48.0,952.0
PPIC,1,unstable_committed_malignant,,,,48,,48.0,952.0
TGFBR2,1,PKH26_High_vs_G1,,,,,48,48.0,952.0
ADAR,1,malignant_reservoir,,,49,,,49.0,951.0
COX4I1,1,positive_H,49,,,,,49.0,951.0
GAS8,1,unstable_committed_malignant,,,,49,,49.0,951.0
LRP5,1,negative_R,,49,,,,49.0,951.0
DNAAF5,1,malignant_reservoir,,,50,,,50.0,950.0
FMNL3,1,unstable_committed_malignant,,,,50,,50.0,950.0
NDUFB7,1,positive_H,50,,,,,50.0,950.0
