gene,log1p_mean_diff_PKH26_High_vs_G1
KIAA0232,1.502050252590341
C18ORF32,1.4959478989847736
GTF3C4,1.4944118407387583
RABL6,1.4937208863086617
CASP2,1.4936549819524605
NIPAL2,1.4932614268328743
YTHDF1,1.4920644665676686
GAA,1.4918791205604691
PHACTR2,1.4907922781933167
SNHG33,1.4907312091001623
HECTD3,1.4903293593746658
SPRY2,1.490165299913044
OBSL1,1.4899395402274713
WIPF2,1.48849664622979
ATG9A,1.4873743810732756
SH3TC2,1.486654425088054
FRMD8,1.4854333299343154
PPP3CB,1.4832323429352468
UBE2Z,1.4821806289361552
PBRM1,1.4800283069474278
TBXAS1,1.4794630153429587
SLC4A11,1.473639145957613
AGR2,1.4702785585217488
ARHGAP35,1.4678739265653347
CTDSPL,1.467496274616494
AMIGO2,1.4674435657014167
VEGFA,1.4649283484530062
OSBPL10,1.4617175558599347
QDPR,1.4589544015501261
LAMTOR1,1.4546625804946345
AK4,1.4537419507286202
CDC42EP2,1.4525557106530027
BMP1,1.4516979681674904
MARVELD1,1.451122286672674
TMEM203,1.4488263270676345
MXD4,1.4474496932950456
PBXIP1,1.4411106261442366
EI24,1.4400627167428741
STING1,1.4394609356284243
LAMA5,1.4383810811597124
ATXN7,1.4350242283588588
TNIP1,1.4323927705194763
TCF25,1.4292581817736796
RAB31,1.4291089890760937
ZFAND5,1.4280699466303886
RNASET2,1.4255062093755857
DAG1,1.4242441497195233
MINPP1,1.4178357702163449
NIBAN1,1.417406326115766
PTPRJ,1.416453337873973
ANKRD36C,1.4129851469969763
CERS2,1.4126991812629983
HMGCR,1.4121678555723118
TMEM9B,1.407951326650672
SAMD4B,1.4071836773274564
SEC31A,1.4063710806420717
KCNN4,1.4049775398483608
DYNC2I1,1.4010476043782993
ZFTA,1.4009906862165336
SH3PXD2A,1.400863399690075
MAN1A1,1.4006910699301853
DST,1.3943982874590661
SEL1L,1.3940946135886154
ZNF75A,1.3934828682092608
ARHGAP5,1.3933806052549698
MTDH,1.390108491400508
NTN4,1.388521510704856
ENTPD6,1.3885073863073558
FGD5-AS1,1.386680120089978
WLS,1.3860794071248135
MAPK8,1.383253016929073
GNA11,1.3803770562714677
LAMC2,1.3801173958898922
GLT8D1,1.378971650336669
NAB1,1.3784315534676432
PCYT1A,1.3755853668522204
IMP3,1.375296304541901
SPPL3,1.3752331356469623
FAM32A,1.3739496764456018
COMMD3,1.3729054314734306
PHTF1,1.369929515785004
FOXA2,1.368613525579573
JUN,1.366837072564209
SREK1,1.366669054942443
IRF2BPL,1.3664119248338735
CYTH2,1.3649605061663082
NT5DC2,1.3633577226813596
THBS1,1.3632874794709973
PCNX3,1.3631195697217655
FNDC3B,1.3627303782255134
ZSCAN26,1.3598411791275617
RAB22A,1.359121263248129
TP53I3,1.358588358700564
TCTN1,1.357921082327228
CTNNBIP1,1.3577753730941853
ANTXR1,1.3546709867608777
OGFR,1.354028505899847
TP53INP1,1.3525066576383595
TMEM181,1.3518086212283766
SLC5A3,1.351204377108428
ZBTB4,1.3509888226001485
RBMS1,1.349384376301848
ZNF268,1.3469886423544684
ITGA10,1.3432812761343693
SMG5,1.3429539713023346
MANSC1,1.342227713397801
PSD3,1.3418067151625412
ING2,1.3393248249271013
SEMA4B,1.3382524453904123
CTDNEP1,1.3377334941359296
NOL3,1.335461916676806
DBNL,1.3346452014297732
ZBTB1,1.3330911635800984
PRKAR2A,1.3329626972740285
TCEAL1,1.3329530126188103
ZHX3,1.3290602649352006
CTSD,1.3277902203744816
GABPB1,1.325168743229863
LGALS3,1.3237505562726595
CERK,1.323696185896215
HTT,1.3234151190080354
PTDSS2,1.322339753624532
NCOA6,1.3193084162432698
QRICH1,1.3174454013957853
SESN3,1.3172712936244102
PIP4P1,1.3161300379100602
ITGA3,1.3136410822646454
SLIT2,1.3123709904438052
WAC,1.3121418611165887
SERPINE2,1.3107015353418352
CARD19,1.3080723445746725
ADGRE5,1.306653916039455
NEK9,1.3061041487794047
SART1,1.305378918747442
EXO5,1.3045422591046478
CTBP1,1.3020016374526793
TCIRG1,1.300846137572415
MAPK7,1.3000171427936587
RETREG3,1.2993729630064168
MAU2,1.2970102916457509
NCDN,1.2950763103629144
F2RL1,1.2944024359791189
UROS,1.294024800146694
CYP1B1,1.2934978035092153
PPP4R1,1.2933466786595647
ADD1,1.2925148587622908
CAPN2,1.29118418037773
NT5DC1,1.2897360891600829
LIPH,1.2893431565134024
FBN1,1.2891124590489798
ZBED5-AS1,1.287341415143176
SOS2,1.2870753289858183
SRF,1.2860639445302886
PARP8,1.2853450619188802
PHF12,1.284369476502972
ORMDL2,1.2822003346667075
FCHSD2,1.281148990679056
SH3D19,1.2790963093079153
NSRP1,1.278186694299591
CTDSP1,1.2775426754669956
FZD1,1.2743399868385703
PC,1.2727825643244461
ZBED5,1.2723221846533
POMGNT1,1.270705940587187
PIEZO1,1.2704359017513347
MAML1,1.2695271202290193
TOP2B,1.2690279652074232
TATDN2,1.267807368055613
PLXNB2,1.2656693816057794
HDGF,1.2646937954181188
CBY1,1.2634913346315024
SEPTIN8,1.2631608905876632
FHIP1B,1.2607588052121987
ASH1L,1.2587672717274987
PML,1.2581456786157965
SEC16A,1.2577623911850249
ATP13A1,1.2547501410035409
CUTALP,1.2547340720520417
EMP1,1.2546244634165387
PCMTD2,1.2542214452413356
UBN1,1.2529953658674489
JAGN1,1.2494023474631315
PHF23,1.2493895232929637
COA3,1.2487487912139676
CDKN1B,1.2467562996486061
C5ORF15,1.2456674000478802
H2BC5,1.244790550828003
IFT25,1.244266961101978
CREB3L1,1.2436117233018638
ACSS2,1.2432137339930245
FOXJ3,1.2409562922192796
BTBD7,1.2408804015871744
ATG13,1.240035432361926
PKIG,1.2394965403616616
TRIR,1.2393268441321759
