index,oxidative_stress_score,H,S,M,R
oxidative_stress_score,1.0,0.6103,0.2188,0.1537,0.066
H,0.6103,1.0,0.1383,0.712,-0.3559
S,0.2188,0.1383,1.0,-0.0068,0.5094
M,0.1537,0.712,-0.0068,1.0,-0.7226
R,0.066,-0.3559,0.5094,-0.7226,1.0
