rank,term_name,p_value,z_score,combined_score,overlapping_genes,adjusted_p_value,old_p_value,old_adjusted_p_value
58,Positive Regulation Of Fibroblast Proliferation (GO:0048146),0.0221743989287616,49.27654320987654,187.6853284304674,FN1,0.0531420939844459,0,0
59,"Phagocytosis, Engulfment (GO:0006911)",0.023740518864614188,45.87356321839081,171.59336767032013,GSN,0.05593105291832834,0,0
60,Actin Filament Polymerization (GO:0030041),0.024522696784534302,44.34222222222222,164.42788585185278,GSN,0.05681091421750447,0,0
61,Supramolecular Fiber Organization (GO:0097435),0.025804710950284797,8.949044585987261,32.72842982990293,MARCKSL1;GSN,0.058481538541933914,0,0
62,Cardiac Muscle Contraction (GO:0060048),0.026085290572661173,41.56666666666667,151.56801592617538,GSN,0.058481538541933914,0,0
63,Protein-Containing Complex Assembly (GO:0065003),0.027650822267022798,8.614373356704645,30.9092314307044,MAGI1;FN1,0.05986431416832689,0,0
64,Protein Destabilization (GO:0031648),0.028424782266975358,37.99809523809524,135.29198627979454,GSN,0.05986431416832689,0,0
65,Substrate Adhesion-Dependent Cell Spreading (GO:0034446),0.028424782266975358,37.99809523809524,135.29198627979454,FN1,0.05986431416832689,0,0
66,Neural Crest Cell Migration (GO:0001755),0.028424782266975358,37.99809523809524,135.29198627979454,FN1,0.05986431416832689,0,0
67,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),0.03350071976145449,7.743488555643252,26.298345659483243,GSN;FN1,0.06618063636901111,0,0
68,Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518),0.03386312482285649,31.653968253968255,107.16225006283427,DDX17,0.06618063636901111,0,0
69,Regulation Of Cell-Cell Adhesion (GO:0022407),0.03386312482285649,31.653968253968255,107.16225006283427,MAGI1,0.06618063636901111,0,0
70,Extracellular Matrix Disassembly (GO:0022617),0.034637697307908354,30.91627906976744,103.96565504057872,GSN,0.06618063636901111,0,0
71,Regulation Of Viral Entry Into Host Cell (GO:0046596),0.034637697307908354,30.91627906976744,103.96565504057872,GSN,0.06618063636901111,0,0
72,Organic Hydroxy Compound Transport (GO:0015850),0.03541168760944945,30.21212121212121,100.93003681239617,ABCC3,0.06618063636901111,0,0
73,Regulation Of Protein Modification Process (GO:0031399),0.03541168760944945,30.21212121212121,100.93003681239617,FN1,0.06618063636901111,0,0
74,Cellular Component Disassembly (GO:0022411),0.036185096144207514,29.53925925925926,98.04399035231516,GSN,0.06618063636901111,0,0
75,Positive Regulation Of Cell-Cell Adhesion (GO:0022409),0.036185096144207514,29.53925925925926,98.04399035231516,MAGI1,0.06618063636901111,0,0
76,Regulation Of Fibroblast Proliferation (GO:0048145),0.036185096144207514,29.53925925925926,98.04399035231516,FN1,0.06618063636901111,0,0
77,Epithelial To Mesenchymal Transition (GO:0001837),0.036957923317090566,28.895652173913042,95.29714486695593,DDX17,0.06671625118279985,0,0
78,Cellular Defense Response (GO:0006968),0.037730169536142964,28.279432624113475,92.68005025728142,LGALS3BP,0.0672370969938958,0,0
79,Actin Polymerization Or Depolymerization (GO:0008154),0.04158270052170735,25.553846153846155,81.26304639681278,GSN,0.07224994215646652,0,0
80,"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",0.04158270052170735,25.553846153846155,81.26304639681278,DDX17,0.07224994215646652,0,0
81,Mesenchymal Cell Differentiation (GO:0048762),0.04235146953793646,25.07044025157233,79.26651858378708,DDX17,0.07267721315769343,0,0
82,Glycosaminoglycan Biosynthetic Process (GO:0006024),0.0454207685297007,23.30643274853801,72.05849833180837,GALNT5,0.07699374177595607,0,0
83,Protein Polymerization (GO:0051258),0.04924442416326195,21.421505376344086,64.49927724978124,GSN,0.08246957781558326,0,0
84,Endocytic Recycling (GO:0032456),0.050007430250175754,21.08042328042328,63.14817193770837,ARL4C,0.08275039053302892,0,0
85,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),0.05381385761215394,19.525490196078433,57.05786130626521,FN1,0.08697821172196973,0,0
86,Phagocytosis (GO:0006909),0.05381385761215394,19.525490196078433,57.05786130626521,GSN,0.08697821172196973,0,0
87,Positive Regulation Of Gene Expression (GO:0010628),0.055250886697591484,5.8296473401075914,16.881906030529827,GSN;FN1,0.08740007457906476,0,0
88,Positive Regulation Of Cell-Substrate Adhesion (GO:0010811),0.05533242131624244,18.965714285714284,54.89429252839914,FN1,0.08740007457906476,0,0
89,Regulation Of Cellular Localization (GO:0060341),0.056090846072530835,18.697652582159623,53.86387318021709,GSN,0.08760255734923356,0,0
90,Monocarboxylic Acid Transport (GO:0015718),0.056848699968537475,18.437037037037037,52.8656580429068,ABCC3,0.08779965884029677,0,0
91,Positive Regulation Of Cytoskeleton Organization (GO:0051495),0.06138385776429799,17.013675213675214,47.4785046472436,GSN,0.09376215636524637,0,0
92,Regulation Of Organelle Assembly (GO:1902115),0.062137726863596726,16.79746835443038,46.67011894145101,GSN,0.0938820003699994,0,0
93,Regulation Of Phosphorylation (GO:0042325),0.06364376247100487,16.381069958847736,45.12090295320282,FN1,0.09422141304706506,0,0
94,Vesicle-Mediated Transport To The Plasma Membrane (GO:0098876),0.0643959297803682,16.180487804878048,44.37830237840948,ARL4C,0.09422141304706506,0,0
95,Vascular Transport (GO:0010232),0.0643959297803682,16.180487804878048,44.37830237840948,ABCC3,0.09422141304706506,0,0
96,Integrin-Mediated Signaling Pathway (GO:0007229),0.06589856541156783,15.793650793650794,42.953022442034516,FN1,0.09443196486812297,0,0
97,Transport Across Blood-Brain Barrier (GO:0150104),0.06589856541156783,15.793650793650794,42.953022442034516,ABCC3,0.09443196486812297,0,0
98,Positive Regulation Of Cell Adhesion (GO:0045785),0.06814827732621923,15.246743295019158,40.953810596681016,MAGI1,0.09665929130963746,0,0
99,Organic Anion Transport (GO:0015711),0.0688970518062023,15.072727272727272,40.321684143986595,SLCO4A1,0.09673424445517292,0,0
100,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),0.06964526221805012,14.902621722846442,39.70566015899566,FN1,0.09680691448308966,0,0
101,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",0.07263247095886631,14.258781362007168,37.3914183271943,DDX17,0.09995953924041996,0,0
102,Cell Junction Assembly (GO:0034329),0.0733778669070871,14.106382978723405,36.84774749640788,FN1,0.09999532843220693,0,0
103,Positive Regulation Of Supramolecular Fiber Organization (GO:1902905),0.0741227011346479,13.95719298245614,36.31708280615695,GSN,0.10002966463801999,0,0
104,Lipid Transport (GO:0006869),0.08301704241712896,12.38442367601246,30.821231144674936,ABCC3,0.10982915883184192,0,0
105,Cell-Matrix Adhesion (GO:0007160),0.083754610332196,12.269135802469135,30.425788936678295,FN1,0.10982915883184192,0,0
106,Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280),0.083754610332196,12.269135802469135,30.425788936678295,GSN,0.10982915883184192,0,0
107,RNA Metabolic Process (GO:0016070),0.08522807793285649,12.044848484848485,29.659528155803326,DDX17,0.11071684890343039,0,0
108,Regulation Of Protein-Containing Complex Assembly (GO:0043254),0.09109976286035101,11.223728813559323,26.889810364611485,GSN,0.11724876886656287,0,0
109,Protein-Containing Complex Organization (GO:0043933),0.09620848468042024,10.591466666666667,24.79714134276482,MAGI1,0.12268788413374691,0,0
110,Circulatory System Development (GO:0072359),0.1005659503466767,10.103307888040712,23.206707623377085,FN1,0.12707879180170967,0,0
111,Heart Development (GO:0007507),0.12841295309899406,7.770196078431373,15.948358624860344,FN1,0.16080540973657817,0,0
112,Extracellular Matrix Organization (GO:0030198),0.13192404474240352,7.546285714285714,15.285220108554107,GSN,0.1637271626713758,0,0
113,Negative Regulation Of Cytokine Production (GO:0001818),0.13332476504352744,7.460263653483993,15.032187197608867,FN1,0.1640012596553125,0,0
114,Endosomal Transport (GO:0016197),0.13472336622480083,7.376163873370578,14.785754618197105,ARL4C,0.1642679640811168,0,0
115,RNA Processing (GO:0006396),0.13681730111853627,7.2534798534798535,14.427960691505726,DDX17,0.1653704770041438,0,0
116,Regulation Of Cell Differentiation (GO:0045595),0.14376282615636643,6.872222222222222,13.329296096665297,DDX17,0.1722675244459908,0,0
117,Regulation Of MAPK Cascade (GO:0043408),0.15134237294018343,6.496223316912972,12.266237975819138,FN1,0.1797999131511581,0,0
118,"mRNA Splicing, Via Spliceosome (GO:0000398)",0.15613292137411863,6.277460317460317,11.657542456178176,DDX17,0.18391928873730923,0,0
119,Cilium Organization (GO:0044782),0.16766177531311538,5.802349486049927,10.361873839767965,GSN,0.19584022494557177,0,0
120,Cilium Assembly (GO:0060271),0.1777115048485645,5.438567493112948,9.395635497314764,GSN,0.20491291046882087,0,0
121,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),0.17837742565990883,5.4159122085048015,9.336239782955902,FN1,0.20491291046882087,0,0
122,Regulation Of Protein Phosphorylation (GO:0001932),0.1922455173648442,4.97979797979798,8.211597170404632,FN1,0.2190338271615848,0,0
123,Positive Regulation Of Cell Migration (GO:0030335),0.19681923528001458,4.849446494464945,7.882627654249016,FN1,0.2224217374302604,0,0
124,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),0.19877195807143577,4.795620437956204,7.747790235779637,GSN,0.22281695299943202,0,0
125,Gene Expression (GO:0010467),0.21231690521032653,4.449491525423729,6.895267045841094,DDX17,0.23609639859388312,0,0
126,Protein Transport (GO:0015031),0.22312431773445093,4.203418803418804,6.305238268394771,ARL4C,0.246145080675307,0,0
127,Regulation Of Gene Expression (GO:0010468),0.2269051517094316,2.394793650793651,3.5520134606322222,GSN;FN1,0.2483450085638661,0,0
128,Organelle Assembly (GO:0070925),0.22878945434598497,4.083696780893042,6.023261274151695,GSN,0.24845104807884305,0,0
129,Intracellular Protein Transport (GO:0006886),0.23066921052572625,4.045267489711934,5.933479357522725,ARL4C,0.24855054467500734,0,0
130,Protein Localization (GO:0008104),0.2467814523675069,3.739809523809524,5.232936487822606,ARL4C,0.26386632214679584,0,0
131,Positive Regulation Of Cell Population Proliferation (GO:0008284),0.3238160184062051,2.6973720608575382,3.041502165018535,FN1,0.3435910424310116,0,0
132,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),0.34673467342533587,2.475826972010178,2.6223845929614855,FN1,0.36512211822819457,0,0
133,Positive Regulation Of Cellular Process (GO:0048522),0.3828125310943147,2.179988757729061,2.0932467534513224,FN1,0.400082269339171,0,0
134,Protein Modification Process (GO:0036211),0.439752594092326,1.8097652582159625,1.4867999729534274,FN1,0.456161272976368,0,0
135,Regulation Of Cell Population Proliferation (GO:0042127),0.4647822089855812,1.6748583877995642,1.2832536363992422,FN1,0.47855353369626513,0,0
136,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),0.5364592982312396,1.3551760939167556,0.8439556779402075,DDX17,0.5482929592216346,0,0
137,Positive Regulation Of DNA-templated Transcription (GO:0045893),0.6419346239584479,1.0060118089103596,0.44593365971339033,DDX17,0.6513059323374033,0,0
138,Regulation Of DNA-templated Transcription (GO:0006355),0.8015499230660874,0.6268610098906819,0.1386666839589485,DDX17,0.8073582558419287,0,0
139,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.8193778457974561,0.5905936523598092,0.11765213274730488,DDX17,0.8193778457974561,0,0
