gene,real_logfc,null_mean,null_std,z_score
MARCKSL1,2.518145320748852,0.01270411710165865,0.6105430944392333,4.10362712553218
DDX17,1.872288701457982,0.08813792015609867,0.5220665477851031,3.4174776929708375
SLCO4A1,2.0256935070782216,0.052415796274732626,0.5911973433346251,3.3377648479834066
GALNT10,2.085543151830364,0.047981832364208846,0.6145127611807738,3.315734754720183
COL6A1,1.6832311914976605,0.04892429124807696,0.5053264724465589,3.2341604672658835
GSN,2.0594093013261494,0.0718700603396793,0.6295111196924333,3.157274238392393
ESYT2,1.4975214357327649,0.021742351256324764,0.4734902312499669,3.1168099932717315
GALNT5,1.8248426574795271,0.033266548866206586,0.5794813166745593,3.091689165915736
ARL4C,1.6290184301611266,0.0680572537921038,0.532680780458587,2.930387642342164
NET1,1.6154789411233987,0.07938547922121543,0.5357155354071831,2.8673677733363467
MAGI1,1.6456102704675568,0.04399621026545189,0.559991766305465,2.860067159145434
LGALS3BP,1.8751044471600768,0.05521706462560962,0.6761483923160455,2.6915502620670506
FN1,1.6594196490150193,0.0273805911973288,0.6093287098911268,2.678421402643737
TMEM131,0.8751061112456906,0.017764652138137813,0.5366657921367821,1.5975332724188964
ABCC3,0.836083839291782,0.015074015197931851,0.5321537713065453,1.5428056106378891
ABR,0.9293883414008599,0.04366542563974769,0.6101287901245445,1.4516982809159213
