cell_id,population_label,group_order,total_counts,detected_genes,zero_fraction,pc1,pc2,pc3,pc4,pc5,H,S,M,R,glycolysis_score,oxphos_score,metabolic_balance_score,R_adjusted_raw,R_adjusted,R_minus_R_adjusted,S_refined,S_refined_raw
G1-2015-05-07-A-B1_S96_L000,G1,0,1297470,5635,0.9058290718272668,-1.3100244894363653,-11.076359998634263,-27.846523581971663,10.069212595490573,-3.229790225281852,-1.036341447738032,0.0056614780881348,-0.6744907594765952,1.47140719715079,0.2624993847322273,-0.0534381612236182,0.3159375459558455,1.3104480148542472,1.7709873161994156,-0.2995801190486256,-0.1872690438921296,-0.3768725631797206
G1-2015-05-07-A-B2_S97_L000,G1,0,848066,5250,0.9122631103980748,-14.99915126865976,-23.921401413054912,-11.696362565803028,6.607170564606283,-0.530517885537932,-1.6743228024989365,-0.4889083935551479,-0.6744907594765952,1.1725074178752648,-0.620156288718412,-0.8732657419416093,0.2531094532231973,1.270673968585881,1.7209198028641117,-0.5484123849888469,0.9700999118992096,0.8531594841969409
G1-2015-05-07-A-B3_S98_L000,G1,0,1142762,4287,0.9283565627193422,-29.78665039959149,-19.542363788370565,-17.496308345475896,10.903976317362355,20.604280024277728,-1.764411666258031,-1.7266256390530346,-0.6744907594765952,0.2576104764438779,-0.6690346625921773,-1.1540734131255757,0.4850387505333984,0.5906372626070365,0.8648905566727,-0.6072800802288221,-0.3134138149559856,-0.510937081016597
G1-2015-05-07-A-B4_S99_L000,G1,0,1885261,5893,0.9015174303954008,34.783275767501856,-31.608198663967578,1.658623250925946,-7.507152657033408,8.449489370617206,-0.5128419006605266,-0.4106554170677267,-0.6744907594765952,1.4568327664828644,0.0815756156442703,0.6046018983973998,-0.5230262827531295,0.5751812611339548,0.8454345638214155,0.611398202661449,1.927058336541994,1.8701986266654596
G1-2015-05-07-A-C1_S108_L000,G1,0,1035852,5214,0.9128647347839166,0.9398469610965412,-32.63408333655274,2.7835021850686403,-5.206898740549244,1.3270709559997709,-1.4598149031956953,0.6778701136821926,-0.6744907594765952,2.1217820376681344,-0.428895031578187,0.0458077913106332,-0.4747028228888202,1.4692935291930187,1.9709418255734077,0.15084021209472676,1.8811898336441093,1.8214503616914688
G1-2015-05-07-A-C2_S109_L000,G1,0,1521557,7192,0.8798088171396102,46.65851979806447,-35.872653687543504,1.1812260414721478,16.014459791360945,-1.95699489269268,-0.3339107140083087,-1.4266724688995491,-0.6744907594765952,0.7202607727162293,0.2311280421576104,0.4719329284619964,-0.240804886304386,0.04909395012357898,0.1831965988473766,0.5370641738688527,2.1048258291122988,2.0591268951740624
G1-2015-05-07-A-C3_S110_L000,G1,0,1542431,6640,0.8890337243891842,37.58058211950039,-32.19197580833326,-5.23394923129135,16.48073625182698,2.8216577596704404,-0.4884745903739257,-0.6423434894706176,-0.6744907594765952,1.287626095192988,0.4047961553423936,0.559382594554704,-0.1545864392123103,0.634657270956788,0.9203028810864791,0.36732321410650903,2.1869327731200854,2.146388759194499
G1-2015-05-07-A-C4_S111_L000,G1,0,1078047,6090,0.8982252080617668,16.29742758796493,-37.23230970792617,0.2180944594176599,5.834380484402342,-2.751887760213497,-1.0831362104783706,0.6200262900789516,-0.6744907594765952,2.27766563404726,-0.6384468852565763,-0.1571151283615888,-0.4813317568949875,1.694459009917281,2.2543798150791,0.023285818968159955,2.2997530420013965,2.26629222266936
G1-2015-05-07-A-D1_S120_L000,G1,0,1071734,4911,0.9179284066980848,-2.560811299625964,-37.65946788375686,11.90381040036667,-1.1133372964513857,12.751159468801209,-1.5483736654085023,0.2079147426314219,-0.6744907594765952,1.8100223100555723,-0.7863491360413802,-0.3476644271370648,-0.4386847089043154,1.3200457969129058,1.78306899071573,0.026953319339842352,1.207009038216459,1.1049424754617938
G1-2015-05-07-A-D2_S121_L000,G1,0,1049816,3834,0.9359270029078512,-40.06973540493164,-15.971691771802757,-18.19481202591397,5.716526574332504,17.72999209406322,-2.099569106144136,-2.60038781622181,-0.6744907594765952,-0.3870423237169432,-1.4105501529747355,-0.993098885527826,-0.4174512674469098,-0.6322599738332568,-0.6744907594765952,0.287448435759652,-1.3268632408404264,-1.588013899083665
G1-2015-05-07-A-D3_S122_L000,G1,0,1431834,6190,0.8965540292122063,25.61337337810557,-29.184363154673644,-13.30874988546278,5.938798706229314,4.134306985663263,-0.7232655082157241,0.3562977206197151,-0.6744907594765952,2.0095936462514645,-0.1733030771748959,0.203128959842371,-0.3764320370172669,1.3570795844227046,1.829687070191299,0.17990657606016547,2.2525227754587505,2.2160966984478945
G1-2015-05-07-A-D4_S123_L000,G1,0,1502745,5811,0.9028877970520404,24.704973892403043,-36.68220250889137,-1.499490304817815,-0.1312755210774267,0.6270276448736732,-0.8025221083118538,0.1890226316869061,-0.6744907594765952,1.943213254959576,0.2525470700654173,0.356445157211007,-0.1038980871455897,1.3925729073777755,1.8743660150584351,0.06884723990114083,2.212683163354084,2.1737558360992155
G1-2015-05-07-A-E1_S132_L000,G1,0,1403806,6366,0.8936127544369799,22.289883611606125,-33.655154775906134,-9.83196463234336,13.0180172228299,-5.10171849164704,-0.6861714027943465,0.4871293091701797,-0.6744907594765952,2.153237025589171,-0.6139880349435699,-0.363865003898207,-0.2501230310453629,1.7777958427835712,2.3592841027319627,-0.20604707714279158,2.3362786725677083,2.305111041786972
G1-2015-05-07-A-E2_S133_L000,G1,0,1813073,7003,0.8829673451652796,49.79584514071727,-30.49109931617534,3.1183704903988634,19.083210276154905,-5.936081558295105,-0.1898266962268687,-1.6025955915018009,-0.6744907594765952,0.5697765679449144,0.5912457413397321,0.6392253406164371,-0.047979599276705,-0.05050067763264565,0.05782702192114597,0.5119495460237684,2.001418054609528,1.949226870683308
