cell_id,population_label,branch_sector,gene_log1p_expr,H,S,M,R,candidate_core_score
Low-2015-09-08-2-C8_S77_L000,PKH26_Low,unstable_committed_malignant,6.902742737158593,0.241592224384722,-0.6744907594765952,0.0,-0.3411858103799746,0.6001720272487379
High-2015-09-08-2-A6_S67_L000,PKH26_High,mixed_sector,6.799055862058796,1.1730018665234916,-1.2010843346100235,0.6744907594765952,0.3844256197909927,-0.5343986547424961
High-2015-09-08-2-G4_S54_L000,PKH26_High,unstable_committed_malignant,6.668228248417403,1.1663054311301109,-0.700990143753861,0.6744907594765952,-0.6512913341117372,0.6460935996867844
Low-2015-09-08-4-E11_S10_L000,PKH26_Low,transitional_intermediate,6.648984550024776,-0.0952246962780982,-0.6790896481585007,0.0,-0.7746873462967618,0.1560189847532353
High-2015-09-08-4-C6_S17_L000,PKH26_High,mixed_sector,6.601230118728877,1.0321636343615372,-0.5587002969056946,0.6744907594765952,0.5819980343834407,-0.2440904224398855
High-2015-09-08-4-D3_S24_L000,PKH26_High,malignant_reservoir,6.5722825426940075,1.2866698726745431,0.1851823753548246,0.6744907594765952,-0.7744736963364429,0.6776560339584989
High-2015-09-08-2-D4_S85_L000,PKH26_High,malignant_reservoir,6.56244409369372,1.5159355735235218,0.0,0.6744907594765952,-1.2608409736042494,0.7991855381238125
Low-2015-09-08-2-G10_S60_L000,PKH26_Low,transitional_intermediate,6.502790045915623,-0.1255267067565262,-0.7192873506840577,0.0,-0.8733039523856235,0.3793237326659835
High-2015-09-08-4-E5_S4_L000,PKH26_High,unstable_committed_malignant,6.476972362889683,1.2213122924378763,-0.8000014324000958,0.6744907594765952,-0.149327803152115,-0.5019725362186257
High-2015-09-08-2-A4_S65_L000,PKH26_High,unstable_committed_malignant,6.349138991379798,1.2410362994832982,-0.4676201710389709,0.6744907594765952,-0.332373922251945,0.3634524436029349
Low-2015-09-08-2-C9_S78_L000,PKH26_Low,unstable_committed_malignant,6.342121418721152,0.5941082675079636,-0.3058926987292025,0.0,-1.9653369120373565,0.6491918643502114
High-2015-09-08-4-D5_S26_L000,PKH26_High,malignant_reservoir,6.272877006546167,0.7273598591448389,0.3021156526586883,0.6744907594765952,-0.6242542790678399,0.3706806429733525
High-2015-09-08-2-A1_S62_L000,PKH26_High,malignant_reservoir,5.963579343618446,0.473892124604551,1.108305391206395,0.6744907594765952,-0.3970726178856875,0.5226488938533865
High-2015-09-08-2-C1_S72_L000,PKH26_High,unstable_committed_malignant,5.929589143389895,1.854214793682443,-1.1270943927119594,0.6744907594765952,-2.570014926661815,-0.2720507361308669
Low-2015-09-08-4-G8_S46_L000,PKH26_Low,mixed_sector,5.918893854273146,-0.9008819416625516,-0.784107787129308,0.0,0.2336037942337875,-0.0481193617688541
High-2015-09-08-2-E2_S91_L000,PKH26_High,unstable_committed_malignant,5.902633333401366,1.1845175683066782,-0.3303138065016214,0.6744907594765952,-1.206669314539868,0.6099671755286129
Low-2015-09-08-2-D8_S87_L000,PKH26_Low,transitional_intermediate,5.869296913133774,0.0063431331294728,1.0306462405701415,0.0,0.7672166420546737,-0.1832710576160295
High-2015-09-08-4-C5_S16_L000,PKH26_High,unstable_committed_malignant,5.814130531825066,0.687768494840729,-0.3861823450819309,0.6744907594765952,-1.1192493927700096,0.2725059474937257
High-2015-09-08-2-E1_S90_L000,PKH26_High,malignant_reservoir,5.793013608384144,0.2194155141150248,0.9851299838346276,0.6744907594765952,-1.6430332031166162,0.26364332459497
G1-2015-05-07-A-D2_S121_L000,G1,mixed_sector,5.6937321388027,-2.099569106144136,-1.3268632408404264,-0.6744907594765952,-0.6744907594765952,-0.4736920410181706
High-2015-09-08-4-C2_S13_L000,PKH26_High,malignant_reservoir,5.662960480135946,0.1793463487622359,0.5614192223944365,0.6744907594765952,-0.4956190725571007,0.2492155289110649
High-2015-09-08-4-F4_S33_L000,PKH26_High,unstable_committed_malignant,5.655991810819852,0.1535164071089219,-0.4495327281224774,0.6744907594765952,-1.4035606173033446,0.3153821732448094
Low-2015-09-08-2-E10_S95_L000,PKH26_Low,transitional_intermediate,5.655991810819852,-0.2232701179257089,-0.4379467283477234,0.0,1.70574671217184,-0.5427991538980018
Low-2015-09-08-2-E11_S92_L000,PKH26_Low,transitional_intermediate,5.645446897643238,-0.1559715389740924,0.7658886361421957,0.0,1.1396401852866374,-0.3026370250533377
Low-2015-09-08-4-F11_S38_L000,PKH26_Low,transitional_intermediate,5.60947179518496,-0.2965528119293619,-0.2220509097672822,0.0,-0.4100174032405786,0.1196691822599478
