gene_symbol,n_lists_present,present_in_lists,mean_rank_across_present_lists,priority_score,corr_H,corr_S,corr_M,corr_R,malignant_reservoir_logfc,unstable_committed_logfc,stable_recoverable_logfc,PKH26_High_vs_G1_logfc,interpretation_tags
SYNJ2,2,negative_R;PKH26_High_vs_G1,12.0,1988.0,0.401524490436669,-0.4344861197539399,0.5114152064850225,-0.4458390258669335,1.4939674485117551,1.1468226434193207,-3.653899304483631,2.9837380221957868,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
LTBP1,2,negative_R;PKH26_High_vs_G1,12.5,1987.5,0.4169875071769918,-0.3983999992476337,0.482436105347664,-0.43578415333128,1.039665696274179,1.621152987961064,-3.277870194256161,3.276292145081566,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
CLU,2,malignant_reservoir;PKH26_High_vs_G1,14.5,1985.5,0.4123219104528283,-0.2264369229865019,0.3902742450528665,-0.3018817942291318,1.932719203407374,0.5818648554317614,-2.574346418600648,2.688838513630044,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
NDRG1,2,negative_R;PKH26_High_vs_G1,17.0,1983.0,0.4092054239471961,-0.3595418011296066,0.4859816540304441,-0.4294828019893745,1.1969142308167724,1.4766754238969586,-2.659554487725068,2.7839470504028547,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
MLPH,2,negative_R;PKH26_High_vs_G1,18.0,1982.0,0.2909933852352047,-0.2909877193717258,0.3524660355626236,-0.4493554590274226,1.5292821776836756,0.8805309028448827,-3.4424560778145663,2.57097897225586,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
S100A4,2,negative_R;PKH26_High_vs_G1,21.0,1979.0,0.2678653649478625,-0.2822816789424556,0.3618805912886174,-0.4250931015991675,1.3215091408700097,0.7907858322236248,-3.711851539753777,2.6483523415312127,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
CSF1,2,unstable_committed_malignant;PKH26_High_vs_G1,21.5,1978.5,0.3829759115961917,-0.1742157534794094,0.3945033222848481,-0.3522687111218233,1.4618542941573476,1.855636118583205,-1.921644738691324,2.615061092800782,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
MORC4,2,malignant_reservoir;PKH26_High_vs_G1,23.0,1977.0,0.3814411905900431,-0.1637672288807782,0.339250068636331,-0.345413863177938,1.7952642261678275,0.676076822058322,-2.68012368123318,2.590928195039492,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
TNFRSF21,2,negative_R;PKH26_High_vs_G1,24.0,1976.0,0.3654932177197527,-0.2077548761429674,0.3921838792283528,-0.4005942096787344,1.1326097187099515,1.2805447575817808,-2.690826485059892,2.77215881636232,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
NINJ1,2,malignant_reservoir;unstable_committed_malignant,25.5,1974.5,0.3731010229294138,-0.1045472964837909,0.2280731647635804,-0.2556688384778969,1.8432341186533407,1.769194686726853,-1.2445297668115431,1.5148140337505596,reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
COL18A1,2,negative_R;PKH26_High_vs_G1,28.0,1972.0,0.3199676945613647,-0.2807935973359747,0.4352777791418018,-0.4133942940257004,1.3683134603899785,1.0882298524787863,-2.3245124077342227,2.4076990471963025,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
DSTN,2,positive_H;negative_R,28.0,1972.0,0.5830883648010802,-0.099216229182312,0.4984329075745422,-0.3821519351220569,0.8123278825015445,0.7973755056969587,-0.9742093018969316,1.5621668466702203,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
TBC1D9B,2,unstable_committed_malignant;PKH26_High_vs_G1,28.5,1971.5,0.4462411508935975,-0.0800526856010458,0.365884600672552,-0.3211510563830323,0.1175582282917795,1.9214786791859044,-1.3781031378615076,2.2089835899180623,high_H;high_M;low_R;unstable_committed_enriched;stable_recoverable_depleted
ETV1,2,negative_R;PKH26_High_vs_G1,29.0,1971.0,0.3528202791876015,-0.381033035533363,0.5055890117676776,-0.3603921823185042,1.2855785336041423,0.794586022831818,-3.0950178832792847,2.9907461470713503,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
TCF25,2,negative_R;malignant_reservoir,31.5,1968.5,0.3198803052641884,-0.1197079407931624,0.2342882660693443,-0.384213917155057,1.761486433999349,1.0969729201810523,-1.5758436954689694,1.4292581817736796,low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
S100A6,2,positive_H;negative_R,32.5,1967.5,0.5349105788928991,-0.2454979222816318,0.4036955315987044,-0.412719241305811,0.6420643296456046,0.4708654676410972,-0.9017217544505272,0.7790377469614391,high_H;high_M;low_R;reservoir_enriched;stable_recoverable_depleted
CAVIN3,2,negative_R;PKH26_High_vs_G1,34.0,1966.0,0.4502496849507198,-0.2507248314189343,0.4416362992936564,-0.3771482125027649,1.0486351510036585,1.03848009630795,-2.629894850273721,2.4196411315285813,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
TRIB2,2,unstable_committed_malignant;PKH26_High_vs_G1,34.5,1965.5,0.2832277163686184,-0.2687344310079537,0.3378725376460395,-0.3160284808133274,0.7243171725204149,1.8556655859387408,-2.1941026983773657,2.2044544950265075,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
PHC2,2,negative_R;PKH26_High_vs_G1,35.0,1965.0,0.438902783784765,-0.1481860273157894,0.423346655963241,-0.3680750555119681,1.4658260934758327,1.4683210118751615,-1.811646062328683,2.43311527453725,high_H;high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
NDUFA13,2,positive_H;negative_R,35.5,1964.5,0.5793202776224486,-0.1456189706514163,0.2596376461693493,-0.3600997332988345,0.4004546068589416,0.5613689990210311,-0.838647712238,0.6293262254833873,high_H;low_R;unstable_committed_enriched;stable_recoverable_depleted
PXDN,2,negative_R;PKH26_High_vs_G1,36.0,1964.0,0.373587982057945,-0.3960234676335145,0.4128806943362137,-0.384137114418103,0.9695825891480904,0.8901262903746616,-2.931957251176837,2.3032710484996053,high_M;low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
H2BC12,2,malignant_reservoir;PKH26_High_vs_G1,38.5,1961.5,0.2687716796763236,-0.0883066555542572,0.3604956264564122,-0.2643706838644431,1.7034907262523205,0.5484665112414429,-1.3423051917052735,2.232761517633303,high_M;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
TANC2,2,negative_R;unstable_committed_malignant,38.5,1961.5,0.3698425306049196,-0.1867156516121273,0.2920961567061988,-0.3659767504875889,1.0972877967701804,1.7617234490538458,-1.1535688815902003,1.6473518875276183,low_R;reservoir_enriched;unstable_committed_enriched;stable_recoverable_depleted
