group,n_genes_used,slope_logvar_vs_logmean,intercept,r_value,r_squared,p_value,stderr,mean_log_mean,mean_log_var
D2_1_treated,39348,1.668900846649812,1.909691358702663,0.9875000279863806,0.9751563052731025,0.0,0.001342923323586068,-0.1523099279883552,1.655501190929725
D2_1_untreated,51107,1.5711016971748655,2.1162604350995524,0.9848256347426978,0.9698815308463576,0.0,0.0012246999604313736,-0.3055291638133908,1.6362430472959169
D2_2_all,51361,1.656048337017292,2.4034280887765287,0.9865357767070629,0.9732528387230079,0.0,0.0012114088385109414,-0.8919985750519402,0.926235331939969
