mean_expr,variance_expr,used_in_fit
5.674085850556438,22951.56115767575,True
0.15023847376788554,22.09435555167829,True
50.128775834658185,33880.610293011094,True
21.34658187599364,8131.64112195873,True
20.844197138314787,9595.616119840302,True
327.197933227345,2358814.6250713407,True
37.929252782193956,42770.40310540832,True
38.33704292527822,36162.18702768478,True
32.253577106518286,19753.322282341378,True
89.83783783783784,81776.05960136658,True
12.578696343402227,6013.998973000808,True
161.8155802861685,260069.55705220992,True
170.1073131955485,248696.34408331002,True
32.067567567567565,331137.1434023751,True
0.5357710651828299,223.38813866511714,True
1.8235294117647058,257.9513313678748,True
126.05007949125596,152496.64108591332,True
4.074721780604134,283.52026742452483,True
57.818759936407,39843.16521659965,True
63.75755166931638,34128.49725796234,True
1.554054054054054,345.7683566621653,True
7.4324324324324325,629.7285256616952,True
161.02066772655007,186849.1658413995,True
1030.214626391097,3091618.044590992,True
0.9419713831478538,129.1891518782584,True
9.15818759936407,6886.959045877185,True
0.32909379968203495,20.8828601168911,True
1.0039745627980923,164.3555927821681,True
63.62480127186009,76026.08663977555,True
196.47774244833067,183470.5886052428,True
50.55723370429253,142249.8348282988,True
5.63751987281399,2126.84861500555,True
177.97138314785374,151486.6372074719,True
13.848966613672497,8562.653383975317,True
0.05405405405405406,2.157775914339342,True
19.97933227344992,8719.654305997723,True
1.7376788553259142,960.5071074162771,True
85.33465818759936,73432.08600549259,True
129.89109697933227,103162.17985702853,True
332.57551669316376,266468.8141017611,True
82.70270270270271,71671.95609451835,True
35.94753577106518,25763.734715481885,True
389.49443561208267,932997.3018783196,True
8.697933227344992,1729.7225255580233,True
0.8791732909379968,244.54863511551687,True
79.12877583465819,60400.0454560968,True
1.7885532591414945,245.14379885992875,True
75.8529411764706,58685.25361504985,True
229.65739268680446,238433.36462708496,True
254.37201907790143,269288.21630475245,True
195.52384737678855,333631.42862735066,True
234.95548489666137,473245.1070064722,True
108.08108108108108,77035.51768474895,True
387.647853736089,620493.3627678644,True
6.47456279809221,3535.460370731537,True
65.61128775834658,58981.658647345386,True
27.75993640699523,18461.282021316456,True
0.0,0.0,False
54.908585055643876,25186.638414702255,True
58.83227344992051,38040.20971336334,True
10.848171701112877,18023.12331009964,True
29.11128775834658,24345.57710398875,True
3.707472178060413,1723.4895383942107,True
1.2829888712241653,512.2078408606765,True
0.11049284578696343,7.764233488015522,True
54.493640699523056,36695.414836217795,True
4.321939586645469,2528.197783983699,True
81.94515103338632,80207.19269325488,True
0.007154213036565978,0.023019580018034672,True
0.9062003179650239,230.21553829556376,True
34.06438791732909,36549.29815797823,True
27.455484896661368,11906.049329478044,True
0.003179650238473768,0.012718600953895005,True
33.205882352941174,46446.316369504864,True
147.14387917329094,141906.570372213,True
507.8879173290938,1243379.6254545297,True
52.98012718600954,62580.541370868705,True
0.5365659777424483,80.27272710025902,True
35.404610492845784,49113.55055947565,True
40.5214626391097,22708.89572037284,True
1.1931637519872813,542.6476222818279,True
0.6287758346581876,69.81196365535794,True
99.64149443561209,75476.38927127243,True
57.13593004769476,37105.03719646879,True
13.717011128775834,7638.1346507252165,True
26.573926868044516,20951.293257598692,True
103.59618441971384,225456.28230842017,True
142.38632750397457,120808.82756152142,True
28.09856915739269,67815.76115945207,True
0.36804451510333863,33.667935870729494,True
7.542925278219396,3223.891950703935,True
73.91732909379968,56765.23898347252,True
118.77106518282989,95139.13290912649,True
39.60015898251192,17179.395290348682,True
77.48728139904611,886763.483131635,True
0.8473767885532592,173.01566932649195,True
14.95945945945946,4962.2012191187405,True
56.3966613672496,109050.48294827247,True
20.251192368839426,11416.41258807583,True
1.8227344992050873,504.00116928665545,True
742.2726550079491,1263002.074367012,True
75.65182829888712,113506.89856865011,True
0.0047694753577106515,0.020661402663367783,True
143.96025437201908,148455.6833832273,True
120.97535771065183,87608.94688630785,True
347.67488076311605,1338752.330967563,True
34.73529411764706,29050.565515465536,True
248.3402225755167,426829.3606879373,True
29.444356120826708,15007.173114501702,True
1.3529411764705883,424.4894941270048,True
99.60731319554849,297866.7430490974,True
281.8887122416534,329277.6964357305,True
256.29888712241655,342458.726824537,True
6.250397456279809,3614.173528083859,True
0.3847376788553259,49.872543328107824,True
112.16613672496025,123372.52687146072,True
119.03100158982512,94275.74366820697,True
0.6232114467408585,76.398888007758,True
