trajectory_group,H,S,M,R
Donor,0.367491660709819,-0.02671046983159495,0.067678415,1.42352065
D2_2,-0.2118077978007737,-0.4255966447201293,-0.09125189,0.5915098999999999
D2_1,1.7218732666408707,-0.08353138260042925,0.7265244799999999,-0.28073679
D1,-2.7899089714320784,1.969231041968876,-2.6390033,-1.0403926
