program,n_genes,n_patients,median_patient_delta,mean_patient_delta,p_value,genes
antigen_presentation,11,3,-0.12300656896689789,-0.1805639867210518,0.25,B2M; HLA-A; HLA-B; HLA-C; HLA-E; HLA-F; NLRC5; PSMB8; PSMB9; TAP1; TAP2
immune_leaning,13,3,-0.026232653838866728,-0.019369269195854428,0.25,BTLA; CRTAM; FCMR; FCRL3; FOXO1; GZMM; IGHM; KLRB1; MAL; MS4A1; P2RY10; SKAP1; THEMIS
mitochondrial_encoded,8,3,-0.33791178862788585,-0.2329388324774215,0.5,MT-CO1; MT-CO2; MT-CYB; MT-ND1; MT-ND2; MT-ND4; MT-RNR1; MT-RNR2
ribosomal_translation,12,3,0.4815364463572351,0.2027906515263677,0.5,RPL13; RPL29; RPL3; RPL4; RPL5; RPL6; RPL7; RPS23; RPS3; RPS4X; RPS6; RPS7
malignant_output_core,14,3,-0.015165033447073904,0.07743681942812634,1.0,ACTB; ACTG1; DDX5; EEF1A1; ENO1; FTL; GAPDH; HSP90AB1; HSPA8; RACK1; RPL3; RPL4; RPLP0; RPS6
