feature,observed_count,observed_rate,null_mean_count,null_median_count,null_mean_rate,empirical_p_enrichment,fold_vs_null_mean_rate
has_tfbs,2,0.15384615384615385,0.929,1.0,0.07146153846153847,0.2128935532233883,2.1528525296017222
has_openchromatin,1,0.07692307692307693,0.662,1.0,0.050923076923076925,0.52023988005997,1.5105740181268883
has_unclassified_cell_type_specific,2,0.15384615384615385,1.811,2.0,0.1393076923076923,0.6256871564217891,1.1043622308117065
has_dnase,8,0.6153846153846154,10.6665,11.0,0.8204999999999999,0.999000499750125,0.7500117189331085
has_enhancer_like,0,0.0,0.0,0.0,0.0,1.0,
has_phantom4,0,0.0,1.5895,2.0,0.12226923076923077,1.0,0.0
