gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc
ENSG00000244734,30.13327948303714,18.15294117647058,11.98033830656656,0.0888529886914378,0.0655462184873946,0.0233067702040432,2639020.0,0.0045126898189625,0.0045228393462426,11.98033830656656,False
ENSG00000225972,9.990306946688207,6.279231692677056,3.7110752540111527,0.2205169628432963,0.2669867947178906,-0.0464698318745943,2477068.0,0.0062495523316259,0.006263122511175,3.7110752540111527,False
ENSG00000188171,6.958804523424879,4.859303721488594,2.0995008019362853,0.0072697899838449,0.0914765906362538,-0.0842068006524089,2360856.5,9.14586208955638e-24,1.1653714827779249e-23,2.0995008019362853,False
ENSG00000112394,3.5557350565428107,1.879711884753901,1.6760231717889098,0.0145395799676898,0.0552220888355339,-0.0406825088678441,2473392.5,2.034618875676236e-09,2.044904318740395e-09,1.6760231717889098,False
ENSG00000250731,3.1970920840064623,1.5262905162064817,1.6708015677999808,0.0024232633279483,0.0708283313325326,-0.0684050680045843,2402072.5,2.556726155692928e-20,3.037654878185134e-20,1.6708015677999808,False
ENSG00000213406,1.9466882067851372,0.2777911164465795,1.6688970903385578,0.0032310177705977,0.0883553421368541,-0.0851243243662563,2359148.5,3.932068345172591e-25,5.1452125581880705e-25,1.6688970903385578,False
ENSG00000213343,1.806138933764136,0.195438175270109,1.6107007584940267,0.0040387722132471,0.0931572629051614,-0.0891184906919142,2348836.5,4.012992458125588e-26,5.361859133204815e-26,1.6107007584940267,False
ENSG00000231312,5.099353796445881,3.504921968787515,1.5944318276583656,0.0129240710823909,0.0660264105642253,-0.0531023394818343,2441509.5,4.235548661854271e-13,4.3129773348942363e-13,1.5944318276583656,False
ENSG00000226783,1.5113085621970923,0.3548619447779115,1.1564466174191808,0.0024232633279483,0.0720288115246094,-0.0696055481966611,2398899.0,1.067785096470932e-20,1.277092716491796e-20,1.1564466174191808,False
ENSG00000186940,1.855411954765752,0.7973589435774261,1.0580530111883255,0.0072697899838449,0.2509003601440622,-0.2436305701602173,1950873.0,4.1890221749244913e-79,1.2901509429587509e-78,1.0580530111883255,False
ENSG00000178878,2.991922455573506,2.0422569027611064,0.9496655528123994,0.0032310177705977,0.0607442977190873,-0.0575132799484896,2429807.0,7.04876362932586e-17,7.72089950684676e-17,0.9496655528123994,False
ENSG00000187068,1.2633279483037156,0.6569027611044393,0.6064251871992763,0.0096930533117932,0.0708283313325326,-0.0611352780207393,2421105.0,4.527954249403688e-16,4.856399100758892e-16,0.6064251871992763,False
ENSG00000258033,0.7059773828756059,0.1279711884753899,0.578006194400216,0.0016155088852988,0.053301320528211,-0.0516858116429122,2444946.5,1.2139906025805933e-15,1.2847760672466637e-15,0.578006194400216,False
ENSG00000213750,0.691437802907916,0.1572629051620651,0.5341748977458508,0.0032310177705977,0.0753901560624245,-0.0721591382918267,2392282.0,3.141493933323078e-21,3.803046941483291e-21,0.5341748977458508,False
ENSG00000236582,0.7027463651050081,0.2196878751500602,0.4830584899549478,0.0016155088852988,0.0710684273709479,-0.0694529184856491,2399372.0,6.745146574373056e-21,8.10408415587793e-21,0.4830584899549478,False
ENSG00000202198,1.1542810985460423,0.7190876350540215,0.4351934634920208,0.0072697899838449,0.074429771908763,-0.0671599819249181,2404832.0,1.3159677742235806e-18,1.5079137742765857e-18,0.4351934634920208,False
ENSG00000230783,0.8126009693053313,0.4081632653061213,0.40443770399921,0.0040387722132471,0.0595438175270105,-0.0555050453137633,2435178.0,5.253087752034126e-16,5.62293158448911e-16,0.40443770399921,False
ENSG00000184612,0.5686591276252021,0.1805522208883557,0.3881069067368464,0.0048465266558966,0.0948379351740689,-0.0899914085181723,2346489.5,3.631438568486919e-26,4.857580024899747e-26,0.3881069067368464,False
ENSG00000188536,2.0032310177705983,1.6194477791116455,0.3837832386589526,0.0662358642972535,0.042016806722689,0.0242190575745645,2640434.0,0.0004558334820329,0.0004568941354465,0.3837832386589526,False
ENSG00000231531,0.6405492730210017,0.3356542617046813,0.3048950113163204,0.005654281098546,0.1150060024009594,-0.1093517213024134,2296479.5,4.8548102369690707e-32,7.202240006009793e-32,0.3048950113163204,False
ENSG00000240854,0.6276252019386107,0.3416566626650666,0.285968539273544,0.0016155088852988,0.1001200480192069,-0.098504539133908,2324594.0,7.742960585565832e-30,1.1059049474720077e-29,0.285968539273544,False
ENSG00000185607,0.388529886914378,0.1454981992797115,0.2430316876346665,0.0024232633279483,0.0993997599039608,-0.0969764965760125,2328230.5,3.52189581496076e-29,4.9746922742089734e-29,0.2430316876346665,False
ENSG00000224822,0.6898222940226165,0.4573829531812717,0.2324393408413448,0.0525040387722131,0.0583433373349337,-0.0058392985627205,2563535.0,0.4507997580919437,0.451463520909965,0.2324393408413448,False
ENSG00000236523,0.3788368336025848,0.1783913565426168,0.2004454770599679,0.0008077544426494,0.0813925570228085,-0.0805848025801591,2370546.0,1.3574808436085048e-24,1.7584928771003117e-24,0.2004454770599679,False
ENSG00000240616,4.968497576736672,4.784153661464528,0.1843439152721435,0.0105008077544426,0.4297719087634976,-0.4192711010090549,1495291.5,2.2890552899099046e-158,1.984001442756921e-157,0.1843439152721435,False
ENSG00000176183,0.2633279483037157,0.1243697478991589,0.1389582004045567,0.0032310177705977,0.0869147659063619,-0.0836837481357642,2362668.0,9.782004143503543e-25,1.2699702586547751e-24,0.1389582004045567,False
ENSG00000169218,0.3626817447495961,0.2355342136854746,0.1271475310641215,0.0105008077544426,0.0617046818727488,-0.0512038741183061,2446553.0,4.733444778307208e-13,4.817697634879425e-13,0.1271475310641215,False
ENSG00000257616,0.3392568659127625,0.2129651860744297,0.1262916798383327,0.0016155088852988,0.0528211284513803,-0.0512056195660814,2446336.0,1.8135449649812146e-15,1.911774335790214e-15,0.1262916798383327,False
ENSG00000230362,0.2536348949919225,0.1298919567827129,0.1237429382092095,0.0016155088852988,0.0590636254501798,-0.0574481165648809,2430269.0,2.5788183740864328e-17,2.8581535032863614e-17,0.1237429382092095,False
ENSG00000256293,0.258481421647819,0.1351740696278508,0.1233073520199682,0.0024232633279483,0.0554621848739493,-0.053038921546001,2441570.0,9.27073401240633e-16,9.845964467646861e-16,0.1233073520199682,False
ENSG00000254252,0.284329563812601,0.1654261704681873,0.1189033933444136,0.0008077544426494,0.0547418967587032,-0.0539341423160538,2439199.5,1.4394140225020135e-16,1.5631552447725648e-16,0.1189033933444136,False
ENSG00000220744,1.3497576736672052,1.2434573829531772,0.106300290714028,0.005654281098546,0.190876350540218,-0.185222069441672,2100616.0,7.037172800062881e-58,1.5840687004914234e-57,0.106300290714028,False
ENSG00000213594,0.1825525040387722,0.0981992797118843,0.0843532243268878,0.0024232633279483,0.0689075630252097,-0.0664842996972614,2407151.0,1.0163234000818622e-19,1.1923692509539637e-19,0.0843532243268878,False
ENSG00000135248,0.4353796445880452,0.3980792316926765,0.0373004128953687,0.0169628432956381,0.077070828331332,-0.0601079850356939,2423718.0,3.118727049584437e-14,3.212442982765797e-14,0.0373004128953687,False
ENSG00000214821,0.2261712439418417,0.1894357743097238,0.0367354696321179,0.0016155088852988,0.0674669867947175,-0.0658514779094186,2408455.5,7.368454272850728e-20,8.669993131935715e-20,0.0367354696321179,False
ENSG00000214297,0.1575121163166397,0.1282112845138052,0.0293008318028345,0.0008077544426494,0.0621848739495795,-0.06137711950693,2420026.0,8.817542195293928e-19,1.0139624291669642e-18,0.0293008318028345,False
ENSG00000204434,0.2867528271405493,0.2600240096038431,0.0267288175367061,0.0032310177705977,0.1135654261704672,-0.1103344083998695,2294274.0,4.6585462890238976e-33,7.019868667567142e-33,0.0267288175367061,False
ENSG00000230360,0.9951534733441036,0.985594237695076,0.0095592356490273,0.0048465266558966,0.1169267707082823,-0.1120802440523857,2289013.0,3.083478348912123e-33,4.665471338601026e-33,0.0095592356490273,False
ENSG00000243824,0.2746365105008077,0.2732292917166871,0.0014072187841205,0.0080775444264943,0.1111644657863136,-0.1030869213598193,2313132.5,3.186682523706105e-29,4.5066205136631633e-29,0.0014072187841205,False
ENSG00000236680,0.1066235864297253,0.1082833133253297,-0.0016597268956044,0.0024232633279483,0.0552220888355339,-0.0527988255075856,2442028.5,1.0095903706488344e-15,1.070386115341282e-15,0.0016597268956044,False
ENSG00000209082,0.198707592891761,0.2067226890756309,-0.0080150961838698,0.0444264943457188,0.0590636254501798,-0.0146371311044609,2541889.5,0.0584281092565472,0.0585413595846146,0.0080150961838698,False
ENSG00000258012,0.6163166397415186,0.6252100840336121,-0.0088934442920934,0.0016155088852988,0.0535414165666264,-0.0519259076813275,2444476.0,1.1067143605849005e-15,1.1722047112399532e-15,0.0088934442920934,False
ENSG00000183793,0.5735056542810986,0.5870348139255676,-0.0135291596444689,0.0024232633279483,0.1224489795918357,-0.1200257162638874,2268720.5,1.458957253488784e-36,2.335452073186616e-36,0.0135291596444689,False
ENSG00000259051,0.1058158319870759,0.1231692677070825,-0.0173534357200066,0.0016155088852988,0.053301320528211,-0.0516858116429122,2444952.0,1.2160043179710133e-15,1.2866964546908545e-15,0.0173534357200066,False
ENSG00000236229,0.345718901453958,0.3649459783913567,-0.0192270769373986,0.0024232633279483,0.0888355342136848,-0.0864122708857365,2355610.5,7.904923415219853e-26,1.0487149706897256e-25,0.0192270769373986,False
ENSG00000248930,0.1082390953150242,0.1495798319327733,-0.041340736617749,0.0024232633279483,0.0523409363745496,-0.0499176730466013,2449683.5,7.938664882152949e-15,8.258844491391286e-15,0.041340736617749,False
ENSG00000215003,0.0266558966074313,0.0693877551020405,-0.0427318584946091,0.0016155088852988,0.05594237695078,-0.0543268680654812,2438174.0,2.0263115967413023e-16,2.19111578651894e-16,0.0427318584946091,False
ENSG00000270442,0.1308562197092084,0.1757503001200487,-0.0448940804108403,0.0048465266558966,0.0734693877551016,-0.068622861099205,2401909.5,1.4603976375579336e-19,1.709330556123646e-19,0.0448940804108403,False
ENSG00000234851,0.0686591276252019,0.1142857142857137,-0.0456265866605117,0.0024232633279483,0.0693877551020404,-0.0669644917740921,2405872.0,7.138028669371044e-20,8.400395637399325e-20,0.0456265866605117,False
ENSG00000250728,0.1841680129240711,0.2340936374549827,-0.0499256245309116,0.0145395799676898,0.0542617046818725,-0.0397221247141827,2475552.5,3.275818104653495e-09,3.29212204420539e-09,0.0499256245309116,False
ENSG00000249271,0.0436187399030694,0.0967587034813921,-0.0531399635783226,0.0032310177705977,0.0542617046818725,-0.0510306869112748,2446757.0,6.394338010833485e-15,6.664034686612994e-15,0.0531399635783226,False
ENSG00000213650,0.0403877221324717,0.0950780312124845,-0.0546903090800128,0.0016155088852988,0.0537815126050418,-0.0521660037197429,2443857.5,9.382441731923022e-16,9.95478608387859e-16,0.0546903090800128,False
ENSG00000219773,0.0226171243941841,0.0775510204081629,-0.0549338960139788,0.0016155088852988,0.0547418967587032,-0.0531263878734043,2441257.0,4.584600547326013e-16,4.91674629652233e-16,0.0549338960139788,False
