gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc
ENSG00000251562,321.4563812600964,13292.80048019209,-12971.344098931992,0.4814216478190571,0.9980792316926296,-0.5166575838735725,157444.5,0.0,0.0,12971.344098931992,False
ENSG00000166710,37.29725363489499,4224.631932773099,-4187.334679138204,0.197899838449112,0.9851140456182008,-0.7872142071690887,133381.0,0.0,0.0,4187.334679138204,False
ENSG00000075624,12.84168012924068,3808.96206482592,-3796.120384696679,0.1672051696284334,0.977671068427325,-0.8104658987988915,106110.5,0.0,0.0,3796.120384696679,False
ENSG00000100316,23.09854604200323,2845.775990396155,-2822.677444354152,0.1219709208400648,0.9471788715485756,-0.8252079507085108,215755.0,0.0,0.0,2822.677444354152,False
ENSG00000156508,12.40710823909532,2419.3627851140404,-2406.9556768749453,0.1680129240710828,0.987995198079185,-0.8199822740081022,89199.0,0.0,0.0,2406.9556768749453,False
ENSG00000108654,4.973344103392569,1954.60600240096,-1949.6326582975676,0.1017770597738288,0.955102040816282,-0.8533249810424532,160924.0,0.0,0.0,1949.6326582975676,False
ENSG00000184009,1.6890145395799685,1824.1815126050376,-1822.4924980654573,0.0557350565428109,0.799759903961551,-0.7440248474187401,558005.0,0.0,0.0,1822.4924980654573,False
ENSG00000198727,361.5218093699513,2121.7719087634964,-1760.250099393545,0.3877221324717254,0.9731092436974332,-0.5853871112257079,760555.0,0.0,0.0,1760.250099393545,False
ENSG00000198034,15.047657512116311,1695.260264105641,-1680.2126065935247,0.0880452342487884,0.9327731092436546,-0.8447278749948662,262985.5,0.0,0.0,1680.2126065935247,False
ENSG00000204628,11.466882067851364,1664.9819927971182,-1653.5151107292668,0.0953150242326333,0.9332533013204852,-0.837938277087852,243873.5,0.0,0.0,1653.5151107292668,False
ENSG00000132475,8.377221324717286,1610.4098439375698,-1602.0326226128525,0.1074313408723749,0.9334933973589008,-0.8260620564865258,244566.0,0.0,0.0,1602.0326226128525,False
ENSG00000109971,2.976575121163165,1490.2739495798266,-1487.2973744586634,0.0444264943457188,0.8360144057622688,-0.7915879114165499,458186.5,0.0,0.0,1487.2973744586634,False
ENSG00000070756,12.851373182552503,1412.7200480192078,-1399.8686748366551,0.1235864297253637,0.9656662665065576,-0.8420798367811938,181798.5,0.0,0.0,1399.8686748366551,False
ENSG00000234745,15.316639741518568,1414.1716686674674,-1398.8550289259488,0.1639741518578356,0.9663865546218036,-0.8024124027639679,178338.0,0.0,0.0,1398.8550289259488,False
ENSG00000174444,10.899030694668816,1329.3075630252083,-1318.4085323305396,0.0993537964458805,0.9402160864345304,-0.84086228998865,229667.5,0.0,0.0,1318.4085323305396,False
ENSG00000137154,9.503231017770592,1299.7310924369688,-1290.2278614191982,0.0864297253634895,0.9457382953180836,-0.8593085699545939,223160.0,0.0,0.0,1290.2278614191982,False
ENSG00000096384,1.9709208400646212,1236.675390156058,-1234.7044693159935,0.04281098546042,0.7973589435773976,-0.7545479581169775,560605.0,0.0,0.0,1234.7044693159935,False
ENSG00000204592,5.898222940226175,1210.3858343337315,-1204.4876113935056,0.1042003231017771,0.9469387755101604,-0.8427384524083831,200504.0,0.0,0.0,1204.4876113935056,False
ENSG00000122406,23.380452342487903,1207.295078031207,-1183.914625688719,0.1203554119547659,0.9483793517406524,-0.8280239397858864,236157.0,0.0,0.0,1183.914625688719,False
ENSG00000108298,15.021001615508885,1143.2004801920734,-1128.1794785765646,0.1066235864297255,0.942617046818684,-0.8359934603889585,263458.5,0.0,0.0,1128.1794785765646,False
ENSG00000087086,12.780290791599354,1138.9025210083978,-1126.1222302167985,0.1114701130856221,0.9114045618246884,-0.7999344487390664,355801.0,0.0,0.0,1126.1222302167985,False
ENSG00000089157,9.235864297253633,1119.4036014405783,-1110.167737143325,0.08562197092084,0.9162064825929956,-0.8305845116721554,291470.0,0.0,0.0,1110.167737143325,False
ENSG00000149273,14.103392568659126,1096.7563025210047,-1082.6529099523457,0.1219709208400648,0.9575030012004356,-0.8355320803603707,218752.5,0.0,0.0,1082.6529099523457,False
ENSG00000117289,7.075928917609049,1013.6701080432154,-1006.5941791256064,0.0638126009693052,0.8698679471788331,-0.8060553462095279,387126.5,0.0,0.0,1006.5941791256064,False
ENSG00000142541,8.231017770597738,981.5899159663868,-973.358898195789,0.1219709208400648,0.9644657863144808,-0.842494865474416,171704.5,0.0,0.0,973.358898195789,False
ENSG00000074800,6.619547657512119,967.61032412965,-960.9907764721378,0.0395799676898222,0.768787515005971,-0.7292075473161487,639462.5,0.0,0.0,960.9907764721378,False
ENSG00000083845,10.604200323101775,948.7318127250884,-938.1276124019868,0.067043618739903,0.8518607442976819,-0.7848171255577789,481796.0,0.0,0.0,938.1276124019868,False
ENSG00000167526,10.870759289176087,937.5913565426148,-926.7205972534388,0.126009693053312,0.9656662665065576,-0.8396565734532455,212328.0,0.0,0.0,926.7205972534388,False
ENSG00000111348,4.6453957996769,927.3351740696272,-922.6897782699502,0.0508885298869143,0.9092436974789504,-0.8583551675920361,276871.0,0.0,0.0,922.6897782699502,False
ENSG00000080824,4.52827140549273,926.090756302518,-921.5624848970252,0.0783521809369951,0.8869147659063229,-0.8085625849693278,359431.5,0.0,0.0,921.5624848970252,False
ENSG00000112308,6.1793214862681785,925.2367346938752,-919.057413207607,0.0533117932148626,0.8314525810323772,-0.7781407878175146,490203.0,0.0,0.0,919.057413207607,False
ENSG00000173812,4.70113085621971,918.0405762304896,-913.3394453742698,0.0751211631663973,0.9459783913564987,-0.8708572281901015,192118.0,0.0,0.0,913.3394453742698,False
ENSG00000174748,4.894991922455569,916.2813925570196,-911.386400634564,0.0896607431340872,0.9358943577430542,-0.8462336146089668,239209.5,0.0,0.0,911.386400634564,False
ENSG00000111640,1.9903069466882075,885.9291716686639,-883.9388647219757,0.0411954765751211,0.8741896758703094,-0.8329941992951883,356551.5,0.0,0.0,883.9388647219757,False
ENSG00000067082,7.420840064620358,818.6463385354112,-811.2254984707909,0.079967689822294,0.8266506602640702,-0.7466829704417761,546134.5,0.0,0.0,811.2254984707909,False
ENSG00000136167,4.432956381260096,805.9699879951959,-801.5370316139358,0.0444264943457188,0.8357743097238535,-0.7913478153781346,468547.5,0.0,0.0,801.5370316139358,False
ENSG00000204525,5.283521809369949,805.3452581032419,-800.061736293872,0.146203554119548,0.9685474189675416,-0.8223438648479937,150195.5,0.0,0.0,800.061736293872,False
ENSG00000162511,3.503231017770595,785.4669867947179,-781.9637557769472,0.0436187399030694,0.8569027611044042,-0.8132840212013348,409099.0,0.0,0.0,781.9637557769472,False
ENSG00000122566,3.2172859450726965,774.4156062424977,-771.198320297425,0.072697899838449,0.8960384153661062,-0.8233405155276571,325960.5,0.0,0.0,771.198320297425,False
ENSG00000137818,14.511308562197074,779.731572629046,-765.2202640668489,0.151857835218094,0.9558223289315282,-0.8039644937134341,299755.0,0.0,0.0,765.2202640668489,False
ENSG00000147403,5.726171243941845,744.4040816326501,-738.6779103887083,0.1033925686591277,0.9637454981992348,-0.860352929540107,177084.0,0.0,0.0,738.6779103887083,False
ENSG00000137642,2.2479806138933767,737.31932773109,-735.0713471171966,0.0630048465266558,0.7274909963985309,-0.664486149871875,783397.5,0.0,0.0,735.0713471171966,False
ENSG00000102879,4.106623586429724,728.5726290516194,-724.4660054651897,0.0525040387722131,0.8213685474189325,-0.7688645086467193,512525.5,0.0,0.0,724.4660054651897,False
