state_domain,H,S,M,R
D1,-0.138106645,-0.1083345244270017,0.16407383,0.378936455
D2,0.43090698,-0.0396210785461308,-1.943247,-1.6535225
D3,-0.16711575,6.757056991147017,0.5070857799999999,0.1553634525
