cell_id,treatment_state,total_counts,mito_counts,non_mito_counts,mito_fraction,antigen_presentation_score,ribosomal_translation_score,housekeeping_output_score,mitochondrial_encoded_score,immune_leaning_score
GSM4916507_ND1_untreated_070218_plate1_A4_S23_rep1_NA,untreated,2517334.0,274551.0,2242783.0,0.10906419251477953,2.2604744949713136,2.0094306360986747,1.194923429572015,1.1375068340212593,7.341373015138639
GSM4916516_ND1_untreated_070218_plate1_B1_S2_rep1_NA,untreated,1553414.0,186626.0,1366788.0,0.12013925457089997,1.6991449526094962,1.2644270433179963,0.547042355748631,0.8069178021565625,4.625708181213548
GSM4916517_ND1_untreated_070218_plate1_B2_S10_rep1_NA,untreated,1958213.0,217873.0,1740340.0,0.11126113451396759,1.617785517855414,1.5285012833791738,0.5226855462052642,0.9394745348220328,7.473337298475733
GSM4916519_ND1_untreated_070218_plate1_B4_S24_rep1_NA,untreated,1525725.0,130870.0,1394855.0,0.08577561487161842,1.764069570497259,1.2913953373260552,0.629661911306384,0.502984364347554,3.806781000003052
GSM4916541_ND1_untreated_070218_plate1_D2_S12_rep1_NA,untreated,2633454.0,248097.0,2385357.0,0.09420973368055793,2.014618561337635,1.2818194389386923,0.9773209985079176,1.0505439155795917,8.640527366197214
GSM4916543_ND1_untreated_070218_plate1_D4_S26_rep1_NA,untreated,3159508.0,433945.0,2725563.0,0.13734575130051893,2.322706937964103,1.8349072475237094,1.369912603384583,1.529563906438501,7.404899070282387
GSM4916549_ND1_untreated_070218_plate1_E10_S75_rep1_NA,untreated,5797830.0,836747.0,4961083.0,0.1443207199935148,2.7689815415669643,1.8724876466017173,2.4939771453140347,2.0918716438861678,-0.6745
GSM4916552_ND1_untreated_070218_plate1_E1_S5_rep1_NA,untreated,1502158.0,172198.0,1329960.0,0.11463374691610337,1.8030818837267852,0.39772926904382716,0.7408324918217144,0.7380001060814466,5.0877749627621585
GSM4916553_ND1_untreated_070218_plate1_E2_S13_rep1_NA,untreated,1245650.0,233017.0,1012633.0,0.18706458475494722,1.2333981007792907,0.20365975847721896,0.8887972454345423,0.996819602896197,-0.6745
GSM4916554_ND1_untreated_070218_plate1_E3_S20_rep1_NA,untreated,1502842.0,160148.0,1342694.0,0.10656343115244317,1.4702113323965866,0.3532602528305685,0.8060947621935916,0.6758861369876322,-0.6745
GSM4916557_ND1_untreated_070218_plate1_E6_S43_rep1_NA,untreated,1545891.0,212089.0,1333802.0,0.13719531325300424,1.4561251604361274,0.38782201150272894,0.6564933882977596,0.9164232098490529,-0.6745
GSM4916558_ND1_untreated_070218_plate1_E7_S51_rep1_NA,untreated,3378244.0,478191.0,2900053.0,0.14155016629941472,2.2692906816454355,1.112782728406288,1.5845105479935453,1.6126819361318743,-0.6745
GSM4916559_ND1_untreated_070218_plate1_E8_S59_rep1_NA,untreated,1107853.0,130240.0,977613.0,0.11756072330895886,1.4109706630463816,0.2684225412378731,0.9079502458603288,0.4988517606576529,-0.6745
GSM4916560_ND1_untreated_070218_plate1_E9_S67_rep1_NA,untreated,2012513.0,244516.0,1767997.0,0.1214978487095487,1.7586664126712916,0.5835624741819037,1.2914300747955694,1.0382892794224068,5.656264189232666
GSM4916561_ND1_untreated_070218_plate1_F10_S76_rep1_NA,untreated,7683400.0,508432.0,7174968.0,0.0661727880886066,3.21705970719073,2.201347697361943,2.6690246331564906,1.6651962005220797,-0.6745
GSM4916562_ND1_untreated_070218_plate1_F11_S84_rep1_NA,untreated,3068773.0,458541.0,2610232.0,0.14942160922296957,2.2858565936755113,1.0529809778725125,1.629687750955444,1.5767435599251385,5.773944496676291
GSM4916563_ND1_untreated_070218_plate1_F12_S92_rep1_NA,untreated,3104575.0,429775.0,2674800.0,0.1384327967596209,2.358715293205986,1.0117815623992332,1.8039399698656664,1.5212885160825251,3.5005366649645717
GSM4916567_ND1_untreated_070218_plate1_F5_S36_rep1_NA,untreated,1871268.0,221159.0,1650109.0,0.11818670548526454,1.9114677875778199,0.15835754084300158,0.7830327879511763,0.9522948465047718,-0.6745
GSM4916569_ND1_untreated_070218_plate1_F7_S52_rep1_NA,untreated,1410968.0,179509.0,1231459.0,0.12722400508020026,1.0340840375207863,0.15828658435561782,0.7646091690665011,0.773605376413596,-0.6745
