program,n_requested_genes,n_present_genes,present_genes
antigen_presentation,12,12,B2M; HLA-A; HLA-B; HLA-C; HLA-E; HLA-F; HLA-G; NLRC5; PSMB8; PSMB9; TAP1; TAP2
ribosomal_translation,11,11,EEF1A1; PABPC1; RACK1; RPL19; RPL3; RPL4; RPL5; RPLP0; RPS3; RPS4X; RPS6
housekeeping_output,10,10,ACTB; ACTG1; DDX5; EEF1A1; ENO1; FTL; GAPDH; HSPA8; PABPC1; RACK1
mitochondrial_encoded,15,15,MT-ATP6; MT-ATP8; MT-CO1; MT-CO2; MT-CO3; MT-CYB; MT-ND1; MT-ND2; MT-ND3; MT-ND4; MT-ND4L; MT-ND5; MT-ND6; MT-RNR1; MT-RNR2
immune_leaning,12,12,BTLA; CRTAM; FCMR; FCRL3; FOXO1; GZMM; IGHM; KLRB1; MAL; MS4A1; SKAP1; THEMIS
