state_domain,n,H_source_col,H_median,H_mean,S_source_col,S_median,S_mean,M_source_col,M_median,M_mean,R_source_col,R_median,R_mean,phi_source_col,phi_median,phi_mean
D1,256,H_dom,-0.138106645,-0.11840522758203126,S_dom,-0.1083345244270017,0.3337147621191829,M_dom,0.16407383,0.09043522133710938,R_dom,0.378936455,0.28275552658593756,phi_dom,1.4934236730677983,1.6797118593838922
D2,91,H_dom,0.43090698,0.6364162749956044,S_dom,-0.0396210785461308,0.2998736954459288,M_dom,-1.943247,-1.5938147058131866,R_dom,-1.6535225,-1.7327207064370551,phi_dom,2.838798306585341,3.209598319230786
D3,16,H_dom,-0.16711575,-0.17503191499999998,S_dom,6.757056991147017,7.9803380311165935,M_dom,0.5070857799999999,0.316890401625,R_dom,0.1553634525,-0.03946008281250001,phi_dom,7.2126147687166995,8.174629225346626
