gene_id,mean_a,mean_b,delta_mean_a_minus_b,detected_frac_a,detected_frac_b,delta_detected_frac_a_minus_b,u_statistic,p_value,group_a,group_b,q_value_bh,abs_delta_mean,is_ercc
ENSG00000075624,7369.246200607915,1484.887698412697,5884.358502195218,0.9987841945288941,0.9638888888888856,0.034895305640008534,3504302.0,0.0,D2_1,D2_2,0.0,5884.358502195218,False
ENSG00000156508,4528.144072948326,1042.7972222222227,3485.346850726103,1.0000000000000187,0.9801587301587268,0.019841269841291864,3521237.5,0.0,D2_1,D2_2,0.0,3485.346850726103,False
ENSG00000096384,2519.7799392097318,399.09325396825415,2120.686685241478,0.9556231003039689,0.6940476190476167,0.2615754812563522,3527355.0,0.0,D2_1,D2_2,0.0,2120.686685241478,False
ENSG00000111640,1817.0097264437682,278.1404761904755,1538.8692502532926,0.9872340425532099,0.8003968253968227,0.18683721715638724,3652945.0,0.0,D2_1,D2_2,0.0,1538.8692502532926,False
ENSG00000167460,1686.3203647416403,185.41269841269815,1500.9076663289422,0.9258358662614149,0.5091269841269824,0.41670888213443247,3583222.5,0.0,D2_1,D2_2,0.0,1500.9076663289422,False
ENSG00000080824,1790.0857142857162,362.0940476190472,1427.991666666669,0.9896656534954592,0.819841269841267,0.16982438365419217,3505665.0,0.0,D2_1,D2_2,0.0,1427.991666666669,False
ENSG00000167658,1399.4346504559267,257.1507936507936,1142.283856805133,0.9872340425532099,0.8273809523809496,0.15985309017226035,3509578.5,0.0,D2_1,D2_2,0.0,1142.283856805133,False
ENSG00000196776,1207.662613981764,183.67579365079328,1023.9868203309708,0.9598784194529052,0.7369047619047594,0.2229736575481458,3507995.5,0.0,D2_1,D2_2,0.0,1023.9868203309708,False
ENSG00000169045,1237.2255319148946,234.36706349206253,1002.8584684228322,0.9945288753799578,0.9039682539682509,0.09056062141170695,3513566.5,0.0,D2_1,D2_2,0.0,1002.8584684228322,False
ENSG00000135486,1205.1854103343444,203.50396825396828,1001.6814420803761,0.9920972644377085,0.8694444444444415,0.12265281999326705,3595519.5,0.0,D2_1,D2_2,0.0,1001.6814420803761,False
ENSG00000143549,1204.1744680851048,233.0039682539681,971.1704998311367,0.9811550151975866,0.7809523809523783,0.20020263424520834,3529907.5,0.0,D2_1,D2_2,0.0,971.1704998311367,False
ENSG00000165119,1132.2680851063824,172.35753968253954,959.9105454238429,0.9823708206687113,0.7742063492063466,0.20816447146236472,3569631.0,0.0,D2_1,D2_2,0.0,959.9105454238429,False
ENSG00000124766,1024.1775075987832,103.49801587301592,920.6794917257673,0.8249240121580687,0.3119047619047609,0.5130192502533077,3422381.0,0.0,D2_1,D2_2,0.0,920.6794917257673,False
ENSG00000119335,920.2127659574468,124.45238095238071,795.760385005066,0.9598784194529052,0.6718253968253945,0.28805302262751065,3519765.0,0.0,D2_1,D2_2,0.0,795.760385005066,False
ENSG00000113648,890.4431610942252,118.1944444444441,772.248716649781,0.9355623100304121,0.5218253968253951,0.41373691320501704,3509823.0,0.0,D2_1,D2_2,0.0,772.248716649781,False
ENSG00000147140,613.6012158054698,80.02936507936518,533.5718507261046,0.9319148936170382,0.5956349206349186,0.33627997298211953,3498486.5,0.0,D2_1,D2_2,0.0,533.5718507261046,False
