cell_id,total_counts,detected_genes,mito_counts,mito_fraction,ribo_counts,ribo_fraction,log10_total_counts,log10_detected_genes,state_domain
GSM4916530_ND1_untreated_070218_plate1_C3_S18_rep1_NA,66700.0,455.0,7832.0,0.11742128935532234,6141.0,0.09206896551724138,4.824125833916549,2.6580113966571126,D1
GSM4916531_ND1_untreated_070218_plate1_C4_S25_rep1_NA,950259.0,2497.0,134920.0,0.14198234376101673,79759.0,0.08393395905747801,5.977841991541995,3.397418542351348,D2
GSM4916532_ND1_untreated_070218_plate1_C5_S33_rep1_NA,658582.0,2221.0,58686.0,0.0891096325134911,32545.0,0.049416777257805404,5.818609856640841,3.346548558548474,D2
GSM4916533_ND1_untreated_070218_plate1_C6_S41_rep1_NA,368738.0,1646.0,39635.0,0.10748824368521823,51260.0,0.13901469335951272,5.566717895783284,3.216429830876251,D2
GSM4916534_ND1_untreated_070218_plate1_C7_S49_rep1_NA,654051.0,2377.0,58554.0,0.08952512877436163,57268.0,0.08755892124620251,5.815611614004716,3.3760291817281805,D2
GSM4916535_ND1_untreated_070218_plate1_C8_S57_rep1_NA,316956.0,1054.0,39830.0,0.12566413003697674,28885.0,0.09113252312623835,5.500998977411757,3.022840610876528,D2
GSM4916536_ND1_untreated_070218_plate1_C9_S65_rep1_NA,2281919.0,2546.0,352147.0,0.1543205521317803,235887.0,0.10337220558661372,6.35830022444794,3.4058583993176366,D2
GSM4916537_ND1_untreated_070218_plate1_D10_S74_rep1_NA,63.0,51.0,9.0,0.14285714285714285,13.0,0.20634920634920634,1.7993405494535817,1.7075701760979363,D1
GSM4916538_ND1_untreated_070218_plate1_D11_S82_rep1_NA,3058818.0,2547.0,555217.0,0.1815135781206989,344613.0,0.11266214596618694,6.4855536371850215,3.406028944963615,D2
GSM4916539_ND1_untreated_070218_plate1_D12_S90_rep1_NA,4346559.0,1375.0,935150.0,0.21514720034859758,261587.0,0.060182549000255145,6.638145579095333,3.1383026981662816,D2
GSM4916540_ND1_untreated_070218_plate1_D1_S4_rep1_NA,1487728.0,2579.0,83950.0,0.056428325607906824,189499.0,0.12737476205327855,6.172523536789801,3.4114513421379375,D2
GSM4916541_ND1_untreated_070218_plate1_D2_S12_rep1_NA,2633454.0,3483.0,248097.0,0.09420973368055793,248799.0,0.09447630374405629,6.4205257366974315,3.541953474458236,D2
GSM4916542_ND1_untreated_070218_plate1_D3_S19_rep1_NA,732081.0,3033.0,82103.0,0.11215015824751633,65737.0,0.08979470850903111,5.864559135575963,3.4818724103106633,D2
GSM4916543_ND1_untreated_070218_plate1_D4_S26_rep1_NA,3159508.0,3330.0,433945.0,0.13734575130051893,536733.0,0.169878664652851,6.499619459352312,3.5224442335063197,D2
