regulatory_feature_name,n,fraction
1:1956963-1957903,1,0.1
20:61715683-61715992,1,0.1
7:155790781-155791132,1,0.1
16:1014509-1015309,1,0.1
17:43034671-43034793,1,0.1
9:140197669-140198896,1,0.1
6:30593987-30595136,1,0.1
17:77395801-77396208,1,0.1
1:156551641-156552343,1,0.1
2:112938965-112940681,1,0.1
