relation_to_cpg_island,n,fraction
S_Shore,15,0.24193548387096775
N_Shelf,15,0.24193548387096775
Island,14,0.22580645161290322
S_Shelf,10,0.16129032258064516
N_Shore,8,0.12903225806451613
