ucsc_refgene_name,n,fraction
PRDM16;PRDM16,3,0.04838709677419355
GRIN2B,2,0.03225806451612903
SYT16,2,0.03225806451612903
CARD11,2,0.03225806451612903
CDC42BPG,2,0.03225806451612903
NR3C1;NR3C1;NR3C1,2,0.03225806451612903
APOD;APOD,1,0.016129032258064516
ACCN1;ACCN1,1,0.016129032258064516
CCDC64B,1,0.016129032258064516
C6orf134,1,0.016129032258064516
C7orf58;C7orf58,1,0.016129032258064516
CPVL;CPVL,1,0.016129032258064516
MCF2L;MCF2L,1,0.016129032258064516
HRNBP3,1,0.016129032258064516
PTPRN2;PTPRN2;PTPRN2,1,0.016129032258064516
CREB3L2,1,0.016129032258064516
FOXP1;FOXP1,1,0.016129032258064516
SIM2;SIM2,1,0.016129032258064516
GNAT3,1,0.016129032258064516
SH3PXD2B,1,0.016129032258064516
TP73;TP73;TP73;TP73,1,0.016129032258064516
BTD,1,0.016129032258064516
TTC24,1,0.016129032258064516
FBLN7;FBLN7,1,0.016129032258064516
RNF220,1,0.016129032258064516
HDAC4,1,0.016129032258064516
SASH1,1,0.016129032258064516
PPBPL2,1,0.016129032258064516
MBP;MBP,1,0.016129032258064516
TP73,1,0.016129032258064516
LOC728606,1,0.016129032258064516
ADCY9,1,0.016129032258064516
LMF1,1,0.016129032258064516
FHIT;FHIT,1,0.016129032258064516
GABRD,1,0.016129032258064516
IL12RB2,1,0.016129032258064516
ASB5,1,0.016129032258064516
PTPRE,1,0.016129032258064516
TSGA13,1,0.016129032258064516
TAAR6,1,0.016129032258064516
CRISPLD2,1,0.016129032258064516
PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1,1,0.016129032258064516
DNAH17,1,0.016129032258064516
CUL1,1,0.016129032258064516
SLC35B4,1,0.016129032258064516
BRI3BP,1,0.016129032258064516
SLC1A6,1,0.016129032258064516
CPLX1,1,0.016129032258064516
MYT1,1,0.016129032258064516
WWTR1,1,0.016129032258064516
IGF1R,1,0.016129032258064516
NTM,1,0.016129032258064516
ARHGEF10,1,0.016129032258064516
UBE2E2,1,0.016129032258064516
SSPN;SSPN,1,0.016129032258064516
