hmm_island,n,fraction
11:64355587-64355697,2,0.03773584905660377
1:3267346-3267496,2,0.03773584905660377
4:80190432-80190505,2,0.03773584905660377
14:61620680-61620750,2,0.03773584905660377
7:2934769-2935086,1,0.018867924528301886
7:157504569-157504680,1,0.018867924528301886
16:83891543-83891791,1,0.018867924528301886
9:139318534-139318609,1,0.018867924528301886
1:3564564-3565010,1,0.018867924528301886
5:2920312-2920370,1,0.018867924528301886
2:242516922-242517081,1,0.018867924528301886
18:10579022-10579386,1,0.018867924528301886
13:112746409-112746433,1,0.018867924528301886
17:74907432-74907542,1,0.018867924528301886
10:133098868-133098975,1,0.018867924528301886
16:954751-955111,1,0.018867924528301886
21:37003057-37003703,1,0.018867924528301886
5:171740396-171740447,1,0.018867924528301886
14:100227816-100228074,1,0.018867924528301886
7:2938399-2938928,1,0.018867924528301886
14:103756911-103757099,1,0.018867924528301886
2:239897967-239898178,1,0.018867924528301886
6:148911154-148911229,1,0.018867924528301886
18:72899159-72899784,1,0.018867924528301886
12:14000764-14000894,1,0.018867924528301886
16:3996344-3996497,1,0.018867924528301886
8:1815777-1815981,1,0.018867924528301886
1:45226930-45227012,1,0.018867924528301886
1:3123589-3123768,1,0.018867924528301886
12:14000452-14000498,1,0.018867924528301886
1:1947452-1947735,1,0.018867924528301886
16:84179617-84179823,1,0.018867924528301886
10:129686883-129687012,1,0.018867924528301886
17:1255363-1255454,1,0.018867924528301886
6:168980063-168980193,1,0.018867924528301886
6:168531586-168531713,1,0.018867924528301886
2:10485201-10485327,1,0.018867924528301886
16:83498315-83498673,1,0.018867924528301886
9:97261614-97261897,1,0.018867924528301886
17:73966444-73966914,1,0.018867924528301886
7:148128804-148128938,1,0.018867924528301886
14:103959901-103960169,1,0.018867924528301886
20:61185393-61187580,1,0.018867924528301886
12:124066461-124066676,1,0.018867924528301886
4:802387-802941,1,0.018867924528301886
14:100598237-100598428,1,0.018867924528301886
17:69769759-69769827,1,0.018867924528301886
7:155483458-155483718,1,0.018867924528301886
15:38151816-38152291,1,0.018867924528301886
