ucsc_refgene_name,n,fraction
SIM2;SIM2,9,0.07692307692307693
APOD;APOD,2,0.017094017094017096
SYT16,2,0.017094017094017096
ISL2,2,0.017094017094017096
PPBPL2,2,0.017094017094017096
COL4A1,2,0.017094017094017096
TTC24,2,0.017094017094017096
MCF2L;MCF2L,1,0.008547008547008548
MECOM,1,0.008547008547008548
OR51B4,1,0.008547008547008548
SH3BP4,1,0.008547008547008548
HGF;HGF;HGF;HGF;HGF,1,0.008547008547008548
NOTCH4,1,0.008547008547008548
C7orf10,1,0.008547008547008548
CRMP1;CRMP1,1,0.008547008547008548
NXN,1,0.008547008547008548
MCC;MCC,1,0.008547008547008548
ASB5,1,0.008547008547008548
CDC42BPG,1,0.008547008547008548
TP73;TP73;TP73;TP73,1,0.008547008547008548
ZRANB3,1,0.008547008547008548
TBC1D16,1,0.008547008547008548
TP73,1,0.008547008547008548
P2RX7,1,0.008547008547008548
RASSF8;RASSF8;RASSF8,1,0.008547008547008548
STMN1;STMN1;STMN1;STMN1,1,0.008547008547008548
DTL,1,0.008547008547008548
TSGA13,1,0.008547008547008548
PLEKHA6,1,0.008547008547008548
SPRED2,1,0.008547008547008548
TRIO,1,0.008547008547008548
TBX5;TBX5;TBX5;TBX5,1,0.008547008547008548
KIRREL3;KIRREL3,1,0.008547008547008548
KIF25;KIF25,1,0.008547008547008548
UNC5D,1,0.008547008547008548
CRISPLD2,1,0.008547008547008548
FHIT;FHIT,1,0.008547008547008548
SNTG2,1,0.008547008547008548
LOC146336,1,0.008547008547008548
ZNF804B;MGC26647,1,0.008547008547008548
CIT,1,0.008547008547008548
PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1;PTCH1,1,0.008547008547008548
SASH1,1,0.008547008547008548
GABRA4,1,0.008547008547008548
WSCD2,1,0.008547008547008548
LOC152225,1,0.008547008547008548
SSPN;SSPN,1,0.008547008547008548
PKIA;PKIA,1,0.008547008547008548
ADCY9,1,0.008547008547008548
UBE2E2,1,0.008547008547008548
AMH,1,0.008547008547008548
SULT1E1,1,0.008547008547008548
C6orf134,1,0.008547008547008548
BTNL3,1,0.008547008547008548
PNMAL1;PNMAL1,1,0.008547008547008548
TIGD6,1,0.008547008547008548
PLD5,1,0.008547008547008548
POLR3B;POLR3B,1,0.008547008547008548
TAF8,1,0.008547008547008548
HEATR7B2,1,0.008547008547008548
WWP2;WWP2,1,0.008547008547008548
NTM,1,0.008547008547008548
DIP2C,1,0.008547008547008548
TPO;TPO;TPO;TPO,1,0.008547008547008548
C7orf58;C7orf58,1,0.008547008547008548
NEK7,1,0.008547008547008548
MYOM2,1,0.008547008547008548
OR51B6,1,0.008547008547008548
PLAC1L,1,0.008547008547008548
CPVL;CPVL,1,0.008547008547008548
MEGF6,1,0.008547008547008548
PHACTR2;PHACTR2;PHACTR2;PHACTR2,1,0.008547008547008548
C6orf191;C6orf191,1,0.008547008547008548
ZACN,1,0.008547008547008548
THSD4,1,0.008547008547008548
JPH4;JPH4,1,0.008547008547008548
PAX6;PAX6;PAX6,1,0.008547008547008548
LIPE;LIPE,1,0.008547008547008548
PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,1,0.008547008547008548
HOXD3,1,0.008547008547008548
DPYSL3,1,0.008547008547008548
SLC1A6,1,0.008547008547008548
ZW10,1,0.008547008547008548
BOLL;BOLL,1,0.008547008547008548
OBP2A,1,0.008547008547008548
TOM1L1,1,0.008547008547008548
ODZ2,1,0.008547008547008548
C6orf191,1,0.008547008547008548
IL12RB2,1,0.008547008547008548
INSL5,1,0.008547008547008548
KIAA0513,1,0.008547008547008548
C9orf130,1,0.008547008547008548
SH3PXD2B,1,0.008547008547008548
MYADML2,1,0.008547008547008548
PTPRN2;PTPRN2;PTPRN2,1,0.008547008547008548
CHD5,1,0.008547008547008548
LOC728606,1,0.008547008547008548
MNX1;MNX1,1,0.008547008547008548
MAD1L1;MAD1L1;MAD1L1,1,0.008547008547008548
LOC154822,1,0.008547008547008548
SPRR2C,1,0.008547008547008548
ZPLD1,1,0.008547008547008548
LOC402644,1,0.008547008547008548
