relation_to_cpg_island,n,fraction
Island,20,0.28169014084507044
S_Shore,18,0.2535211267605634
N_Shore,12,0.16901408450704225
S_Shelf,11,0.15492957746478872
N_Shelf,10,0.14084507042253522
