relation_to_cpg_island,n,fraction
Island,40,0.43010752688172044
N_Shore,20,0.21505376344086022
S_Shore,14,0.15053763440860216
N_Shelf,10,0.10752688172043011
S_Shelf,9,0.0967741935483871
