chromosome,n,fraction
7,13,0.13
1,10,0.1
4,7,0.07
3,7,0.07
14,7,0.07
16,7,0.07
2,6,0.06
6,6,0.06
17,6,0.06
9,4,0.04
12,4,0.04
5,4,0.04
10,3,0.03
15,3,0.03
20,3,0.03
11,3,0.03
18,3,0.03
19,1,0.01
8,1,0.01
13,1,0.01
21,1,0.01
