chromosome,n,fraction
7,23,0.115
4,22,0.11
5,18,0.09
1,15,0.075
11,14,0.07
6,14,0.07
10,12,0.06
21,11,0.055
2,10,0.05
12,9,0.045
17,8,0.04
19,8,0.04
3,8,0.04
15,7,0.035
8,6,0.03
16,5,0.025
14,4,0.02
9,2,0.01
13,2,0.01
18,1,0.005
20,1,0.005
