gene_token,n
PTCH1,7
NR3C1,6
PRDM16,6
TP73,5
PTPRN2,3
ACCN1,2
APOD,2
C7ORF58,2
CARD11,2
CDC42BPG,2
CPVL,2
FBLN7,2
FHIT,2
FOXP1,2
GRIN2B,2
MBP,2
MCF2L,2
SIM2,2
SSPN,2
SYT16,2
ADCY9,1
ARHGEF10,1
ASB5,1
BRI3BP,1
BTD,1
C6ORF134,1
CCDC64B,1
CPLX1,1
CREB3L2,1
CRISPLD2,1
CUL1,1
DNAH17,1
GABRD,1
GNAT3,1
HDAC4,1
HRNBP3,1
IGF1R,1
IL12RB2,1
LMF1,1
LOC728606,1
MYT1,1
NTM,1
PPBPL2,1
PTPRE,1
RNF220,1
SASH1,1
SH3PXD2B,1
SLC1A6,1
SLC35B4,1
TAAR6,1
TSGA13,1
TTC24,1
UBE2E2,1
WWTR1,1
