regulatory_feature_group,n,fraction
Unclassified_Cell_type_specific,8,0.5714285714285714
Unclassified,3,0.21428571428571427
Promoter_Associated,2,0.14285714285714285
NonGene_Associated_Cell_type_specific,1,0.07142857142857142
