regulatory_feature_name,n,fraction
1:156551641-156552343,2,0.14285714285714285
21:38081703-38082098,1,0.07142857142857142
14:24045445-24045742,1,0.07142857142857142
17:43034671-43034793,1,0.07142857142857142
7:156798906-156799194,1,0.07142857142857142
8:126963359-126963692,1,0.07142857142857142
2:177025621-177025878,1,0.07142857142857142
19:46969722-46970016,1,0.07142857142857142
1:204226882-204228330,1,0.07142857142857142
6:30593987-30595136,1,0.07142857142857142
8:79429493-79429836,1,0.07142857142857142
13:113636766-113636979,1,0.07142857142857142
21:38080446-38080862,1,0.07142857142857142
