gene_token,n_probes
HTR4,7
NR3C1,6
PRKAR1B,6
TP63,6
TP73,5
APOD,4
PHACTR2,4
STMN1,4
C6ORF191,3
CACNA1D,3
PAX6,3
RASSF8,3
SLC25A13,3
SPINK5,3
SSH1,3
SYNPO2,3
BOLL,2
C7ORF58,2
CDC42BPG,2
COL23A1,2
CPVL,2
CRMP1,2
FHIT,2
FOXP1,2
HOXD3,2
IGFL2,2
IQCE,2
JAKMIP3,2
JPH4,2
LIPE,2
MCF2L,2
MNX1,2
PKIA,2
POLR3B,2
SASH1,2
SDK1,2
SIM2,2
SYT16,2
TTC24,2
ALCAM,1
AMH,1
ARHGEF10,1
ASB5,1
BRI3BP,1
BRUNOL5,1
C10ORF47,1
C4ORF52,1
C6ORF134,1
C9ORF130,1
CAMK4,1
CARD11,1
CCDC64B,1
CIT,1
CLN8,1
COL14A1,1
COL4A1,1
CREB3L2,1
CRISPLD2,1
DIP2C,1
DPYSL3,1
DTL,1
FAM163A,1
GNAT3,1
IGF1R,1
IL12RB2,1
KCNIP3,1
KIAA0513,1
KIAA1244,1
LOC146336,1
LOC402644,1
LOC728606,1
MECOM,1
MIR96,1
MUC13,1
MYADML2,1
NEK7,1
NOTCH4,1
NTM,1
ODZ2,1
OR51B4,1
OR51B6,1
P2RX7,1
PEBP4,1
PLEKHA6,1
PPP4R4,1
PROX1,1
RBKS,1
RIMKLA,1
RNF144A,1
RNF220,1
SH3PXD2B,1
TAAR6,1
TAF8,1
THSD4,1
TIGD6,1
TOM1L1,1
TRIO,1
TRPV6,1
TSGA13,1
UBE2E2,1
WWTR1,1
ZACN,1
ZC3H7A,1
ZPLD1,1
ZRANB3,1
ZW10,1
