chromosome,n,fraction
7,21,0.105
4,17,0.085
1,17,0.085
2,16,0.08
5,13,0.065
6,12,0.06
11,12,0.06
3,11,0.055
21,11,0.055
12,10,0.05
8,9,0.045
16,8,0.04
10,8,0.04
17,7,0.035
13,7,0.035
14,6,0.03
9,5,0.025
19,4,0.02
15,3,0.015
20,2,0.01
18,1,0.005
