ucsc_refgene_name,n,fraction
SIM2;SIM2,10,0.08403361344537816
ISL2,4,0.03361344537815126
SLC1A6,2,0.01680672268907563
PPBPL2,2,0.01680672268907563
MIDN,2,0.01680672268907563
DIP2C,2,0.01680672268907563
ANKH,1,0.008403361344537815
SPRED2,1,0.008403361344537815
ANXA2;ANXA2;ANXA2;ANXA2,1,0.008403361344537815
NTM,1,0.008403361344537815
MIXL1,1,0.008403361344537815
MAD1L1;MAD1L1;MAD1L1,1,0.008403361344537815
PTPRN2;PTPRN2;PTPRN2,1,0.008403361344537815
DPYSL3,1,0.008403361344537815
OR52E4,1,0.008403361344537815
POM121L12,1,0.008403361344537815
NELL1;NELL1,1,0.008403361344537815
NBLA00301;HAND2,1,0.008403361344537815
PROX1,1,0.008403361344537815
NPR3,1,0.008403361344537815
OR2W1,1,0.008403361344537815
POM121L12;POM121L12,1,0.008403361344537815
HOXA9,1,0.008403361344537815
CHD5,1,0.008403361344537815
IRF6,1,0.008403361344537815
ADARB2,1,0.008403361344537815
ARPP-21,1,0.008403361344537815
OR10K2,1,0.008403361344537815
KCND2;KCND2,1,0.008403361344537815
TSGA13,1,0.008403361344537815
ARPM1,1,0.008403361344537815
PLEKHA6,1,0.008403361344537815
SYT16,1,0.008403361344537815
PPARG;PPARG;PPARG,1,0.008403361344537815
NR3C1;NR3C1;NR3C1;NR3C1;NR3C1;NR3C1;NR3C1,1,0.008403361344537815
FHIT;FHIT,1,0.008403361344537815
HLA-DRB1,1,0.008403361344537815
TXNRD1,1,0.008403361344537815
SLC22A18;SLC22A18;SLC22A18AS,1,0.008403361344537815
CPVL;CPVL,1,0.008403361344537815
ZC3H12D,1,0.008403361344537815
MAPT;MAPT;LOC100128977;LOC100130148;MAPT;MAPT;MAPT;MAPT,1,0.008403361344537815
COL4A1,1,0.008403361344537815
LOC646999,1,0.008403361344537815
CYP4B1;CYP4B1,1,0.008403361344537815
FPR3,1,0.008403361344537815
LOC100130872-SPON2;LOC100130872,1,0.008403361344537815
IRF6;IRF6,1,0.008403361344537815
MYADML2,1,0.008403361344537815
ZPLD1,1,0.008403361344537815
NEU2,1,0.008403361344537815
PHACTR2;PHACTR2;PHACTR2;PHACTR2,1,0.008403361344537815
SLC8A3;SLC8A3;SLC8A3;SLC8A3,1,0.008403361344537815
SH3PXD2B,1,0.008403361344537815
KIF25;KIF25,1,0.008403361344537815
WDR69,1,0.008403361344537815
C7orf10,1,0.008403361344537815
HRNBP3,1,0.008403361344537815
ZACN,1,0.008403361344537815
BTNL3,1,0.008403361344537815
GABRA4,1,0.008403361344537815
SULT1E1,1,0.008403361344537815
ANXA7;ANXA7,1,0.008403361344537815
WWP2;WWP2,1,0.008403361344537815
PLAC1L,1,0.008403361344537815
COX7B2,1,0.008403361344537815
HEATR7B2,1,0.008403361344537815
CYP2C9,1,0.008403361344537815
S100A14,1,0.008403361344537815
SH3BP4,1,0.008403361344537815
ZW10,1,0.008403361344537815
GRIN2A;GRIN2A;GRIN2A,1,0.008403361344537815
TPO;TPO;TPO;TPO,1,0.008403361344537815
CSN1S1;CSN1S1,1,0.008403361344537815
IKZF1,1,0.008403361344537815
PITX1,1,0.008403361344537815
MEGF6,1,0.008403361344537815
WSCD2,1,0.008403361344537815
MYO3A,1,0.008403361344537815
SMOC2;SMOC2,1,0.008403361344537815
CDC42BPG,1,0.008403361344537815
LOC154822,1,0.008403361344537815
SPRR2C,1,0.008403361344537815
FRK,1,0.008403361344537815
WIT1,1,0.008403361344537815
OR51B6,1,0.008403361344537815
HGF;HGF;HGF;HGF;HGF,1,0.008403361344537815
CSN2,1,0.008403361344537815
PNMAL1;PNMAL1,1,0.008403361344537815
PAX6;PAX6;PAX6,1,0.008403361344537815
MCC;MCC,1,0.008403361344537815
BTNL8;BTNL8;BTNL8;BTNL8;BTNL8;BTNL8,1,0.008403361344537815
SLC6A18,1,0.008403361344537815
KIRREL3;KIRREL3,1,0.008403361344537815
LIPE;LIPE,1,0.008403361344537815
AGAP3;AGAP3,1,0.008403361344537815
HLA-A,1,0.008403361344537815
MYOM2,1,0.008403361344537815
C9orf130,1,0.008403361344537815
PLD6,1,0.008403361344537815
OBP2A,1,0.008403361344537815
JPH4;JPH4,1,0.008403361344537815
SBNO2;SBNO2,1,0.008403361344537815
