refgene_group,n,fraction
Body,50,0.42735042735042733
Body;Body,10,0.08547008547008547
3'UTR,9,0.07692307692307693
TSS1500,9,0.07692307692307693
5'UTR,7,0.05982905982905983
TSS200,5,0.042735042735042736
Body;Body;Body,4,0.03418803418803419
1stExon;5'UTR,3,0.02564102564102564
5'UTR;5'UTR,3,0.02564102564102564
TSS1500;TSS1500;TSS1500,3,0.02564102564102564
1stExon,3,0.02564102564102564
Body;Body;Body;Body,2,0.017094017094017096
Body;Body;Body;Body;Body;Body,2,0.017094017094017096
TSS1500;TSS1500,1,0.008547008547008548
5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,1,0.008547008547008548
5'UTR;5'UTR;5'UTR,1,0.008547008547008548
3'UTR;3'UTR,1,0.008547008547008548
3'UTR;3'UTR;3'UTR;3'UTR,1,0.008547008547008548
5'UTR;1stExon,1,0.008547008547008548
Body;Body;TSS1500,1,0.008547008547008548
