ucsc_refgene_accession,n,fraction
NM_009586;NM_005069,9,0.07692307692307693
NM_001647;NM_001647,2,0.017094017094017096
NM_031914,2,0.017094017094017096
NM_145805,2,0.017094017094017096
NR_026769,2,0.017094017094017096
NM_001845,2,0.017094017094017096
NM_001105669,2,0.017094017094017096
NM_001112732;NM_024979,1,0.008547008547008548
NM_004991,1,0.008547008547008548
NM_033179,1,0.008547008547008548
NM_014521,1,0.008547008547008548
NM_001010934;NM_001010933;NM_000601;NM_001010931;NM_001010932,1,0.008547008547008548
NM_004557,1,0.008547008547008548
NM_024728,1,0.008547008547008548
NM_001014809;NM_001313,1,0.008547008547008548
NM_022463,1,0.008547008547008548
NM_002387;NM_001085377,1,0.008547008547008548
NM_080874,1,0.008547008547008548
NM_017525,1,0.008547008547008548
NM_001126240;NM_005427;NM_001126242;NM_001126241,1,0.008547008547008548
NM_032143,1,0.008547008547008548
NM_019020,1,0.008547008547008548
NM_005427,1,0.008547008547008548
NM_002562,1,0.008547008547008548
NM_007211;NM_001164747;NM_001164748,1,0.008547008547008548
NM_203401;NM_203399;NM_005563;NM_001145454,1,0.008547008547008548
NM_016448,1,0.008547008547008548
NM_052933,1,0.008547008547008548
NM_014935,1,0.008547008547008548
NM_181784,1,0.008547008547008548
NM_007118,1,0.008547008547008548
NM_000192;NM_181486;NM_080717;NM_080718,1,0.008547008547008548
NM_001161707;NM_032531,1,0.008547008547008548
NM_005355;NM_030615,1,0.008547008547008548
NM_080872,1,0.008547008547008548
NM_031476,1,0.008547008547008548
NM_001166243;NM_002012,1,0.008547008547008548
NM_018968,1,0.008547008547008548
NR_027242,1,0.008547008547008548
NM_181646;NM_152706,1,0.008547008547008548
NM_007174,1,0.008547008547008548
NM_001083606;NM_000264;NM_001083605;NM_001083602;NM_001083607;NM_001083603;NM_001083604,1,0.008547008547008548
NM_015278,1,0.008547008547008548
NM_000809,1,0.008547008547008548
NM_014653,1,0.008547008547008548
NR_026934,1,0.008547008547008548
NM_005086;NM_001135823,1,0.008547008547008548
NM_006823;NM_181839,1,0.008547008547008548
NM_001116,1,0.008547008547008548
NM_152653,1,0.008547008547008548
NM_000479,1,0.008547008547008548
NM_005420,1,0.008547008547008548
NM_024909,1,0.008547008547008548
NM_197975,1,0.008547008547008548
NM_018215;NM_001103149,1,0.008547008547008548
NM_030953,1,0.008547008547008548
NM_152666,1,0.008547008547008548
NM_001160708;NM_018082,1,0.008547008547008548
NM_138572,1,0.008547008547008548
NM_173489,1,0.008547008547008548
NM_199424;NM_007014,1,0.008547008547008548
NM_001048209,1,0.008547008547008548
NM_014974,1,0.008547008547008548
NM_175719;NM_000547;NM_175721;NM_175722,1,0.008547008547008548
NM_001105533;NM_024913,1,0.008547008547008548
NM_133494,1,0.008547008547008548
NM_003970,1,0.008547008547008548
NM_001004750,1,0.008547008547008548
NM_173801,1,0.008547008547008548
NM_031311;NM_019029,1,0.008547008547008548
NM_001409,1,0.008547008547008548
NM_014721;NM_001100166;NM_001100164;NM_001100165,1,0.008547008547008548
NM_001010876;NM_001010876,1,0.008547008547008548
NM_180990,1,0.008547008547008548
NM_024817,1,0.008547008547008548
NM_001146028;NM_032452,1,0.008547008547008548
NM_001604;NM_001127612;NM_000280,1,0.008547008547008548
NM_005357;NM_005357,1,0.008547008547008548
NM_001164759;NM_001164762;NM_001164758;NM_001164760;NM_001164761;NM_002735,1,0.008547008547008548
NM_006898,1,0.008547008547008548
NM_001387,1,0.008547008547008548
NM_005071,1,0.008547008547008548
NM_004724,1,0.008547008547008548
NM_033030;NM_197970,1,0.008547008547008548
NM_014582,1,0.008547008547008548
NM_005486,1,0.008547008547008548
NM_001122679,1,0.008547008547008548
NM_001010876,1,0.008547008547008548
NM_001559,1,0.008547008547008548
NM_005478,1,0.008547008547008548
NM_014732,1,0.008547008547008548
NR_023390,1,0.008547008547008548
NM_001017995,1,0.008547008547008548
NM_001145113,1,0.008547008547008548
NM_002847;NM_130842;NM_130843,1,0.008547008547008548
NM_015557,1,0.008547008547008548
NR_024259,1,0.008547008547008548
NM_001165255;NM_005515,1,0.008547008547008548
NM_003550;NM_001013837;NM_001013836,1,0.008547008547008548
NR_024394,1,0.008547008547008548
NR_003062,1,0.008547008547008548
NM_175056,1,0.008547008547008548
NM_001126493,1,0.008547008547008548
