cell_id,treatment_state,total_counts,mito_counts,non_mito_counts,mito_fraction,antigen_presentation_score,ribosomal_translation_score,housekeeping_output_score,mitochondrial_encoded_score,immune_leaning_score
GSM4918469_P3_treated_10d_TALL_011118_plate1_E4_rep_1_NA,treated,890586.0,10167.0,880419.0,0.011416078851452864,0.04962411478457206,0.014432998421108349,0.1976507059179979,-1.9788120434287224,-0.6745
GSM4918470_P3_treated_10d_TALL_011118_plate1_E5_rep_1_NA,treated,1754525.0,86398.0,1668127.0,0.049242957495618474,0.6540493674667801,1.0072620508044048,0.9092148100805904,0.662377670463256,-0.6745
GSM4918471_P3_treated_10d_TALL_011118_plate1_E6_rep_1_NA,treated,977012.0,27946.0,949066.0,0.028603538134639082,-0.31914127638008744,0.7043453022370357,0.5071946301200356,-0.7307917638942353,4.888727107817698
GSM4918473_P3_treated_10d_TALL_011118_plate1_E8_rep_1_NA,treated,1182143.0,22539.0,1159604.0,0.019066221260879607,0.13371263219939836,0.4787636349762125,0.6928613641158166,-0.996257200426122,-0.6745
GSM4918474_P3_treated_10d_TALL_011118_plate1_E9_rep_1_NA,treated,1440946.0,38747.0,1402199.0,0.026889973670075076,1.0033043562728112,0.7103301672227379,0.9317456686145287,-0.327439889319625,-0.6745
GSM4918475_P3_treated_10d_TALL_011118_plate1_F10_rep_1_NA,treated,1152934.0,31887.0,1121047.0,0.027657263989092178,0.23327296053180457,0.7760856173674265,0.7993391339705844,-0.567993440095852,-0.6745
GSM4918476_P3_treated_10d_TALL_011118_plate1_F11_rep_1_NA,treated,1039845.0,61933.0,977912.0,0.05955983824512307,0.3636380867810612,0.9322783699929237,0.7254728672725888,0.2514442284653227,-0.6745
GSM4918478_P3_treated_10d_TALL_011118_plate1_F1_rep_1_NA,treated,1233364.0,26740.0,1206624.0,0.02168054199733412,0.06412430026540845,0.6868799049484345,0.731160924385561,-0.785334168565924,-0.6745
GSM4918479_P3_treated_10d_TALL_011118_plate1_F3_rep_1_NA,treated,2031447.0,63986.0,1967461.0,0.03149774520329598,0.16067398171267486,1.2438828377562772,1.0867007972128415,0.2917175174827095,4.808701394929379
GSM4918480_P3_treated_10d_TALL_011118_plate1_F4_rep_1_NA,treated,1706503.0,39730.0,1666773.0,0.023281529537305237,0.18898930229788818,0.8260066435320507,0.8994460076517533,-0.29651589232354597,-0.6745
GSM4918481_P3_treated_10d_TALL_011118_plate1_F5_rep_1_NA,treated,1781245.0,63838.0,1717407.0,0.03583897779362188,0.011085354273973483,1.0394919912597067,1.2473378331263405,0.28885916646040155,2.5326716202092596
GSM4918482_P3_treated_10d_TALL_011118_plate1_F6_rep_1_NA,treated,1150158.0,31467.0,1118691.0,0.027358849827588905,1.0751770659061695,0.6276385196272188,0.7423411050755674,-0.5843206625825358,-0.6745
GSM4918483_P3_treated_10d_TALL_011118_plate1_F7_rep_1_NA,treated,1015627.0,40621.0,975006.0,0.03999598277714161,0.3557542996391671,0.4460815572147567,-0.014742790981341344,-0.26914012758416495,5.41854381453701
GSM4918484_P3_treated_10d_TALL_011118_plate1_F8_rep_1_NA,treated,1205454.0,34797.0,1170657.0,0.02886630265443559,0.2383960016658381,0.5014163442574429,0.5005131183201323,-0.460157633615768,0.39455720673641975
GSM4918486_P3_treated_10d_TALL_011118_plate1_G10_rep_1_NA,treated,969769.0,14298.0,955471.0,0.014743717318247954,-0.11384904779093723,0.22695864726433929,0.26969329853080143,-1.558395036940626,3.029754913474365
GSM4918487_P3_treated_10d_TALL_011118_plate1_G11_rep_1_NA,treated,1995683.0,109870.0,1885813.0,0.05505383370004154,0.5309458385327948,1.163934913349569,0.9709384017672947,0.9590474374818975,1.8935608949278542
GSM4918488_P3_treated_10d_TALL_011118_plate1_G12_rep_1_NA,treated,1016885.0,28684.0,988201.0,0.028207712769880565,0.5563091193137095,0.6501836548816139,0.5650177007788058,-0.6986187386729605,-0.6745
GSM4918489_P3_treated_10d_TALL_011118_plate1_G1_rep_1_NA,treated,414410.0,17280.0,397130.0,0.041697835476943126,-1.1762725711901882,0.061474664598833426,-0.1740826517367737,-1.324152752832881,-0.6745
GSM4918491_P3_treated_10d_TALL_011118_plate1_G3_rep_1_NA,treated,1961142.0,207915.0,1753227.0,0.10601731032225102,1.5225759353362076,1.1221951882033725,0.9931389075274013,1.7463576634187228,-0.6745
GSM4918492_P3_treated_10d_TALL_011118_plate1_G4_rep_1_NA,treated,1002634.0,16414.0,986220.0,0.016370879104438907,-0.4579577707162852,0.29298416172643615,0.4034354964086455,-1.3876139177014908,-0.6745
GSM4918494_P3_treated_10d_TALL_011118_plate1_G6_rep_1_NA,treated,1203474.0,26017.0,1177457.0,0.0216182485039145,1.6366891084258122,0.0,0.8468955357145723,-0.8191223879482594,6.059029166131313
GSM4918496_P3_treated_10d_TALL_011118_plate1_G8_rep_1_NA,treated,2139932.0,100826.0,2039106.0,0.047116450429265974,0.09387054519989613,1.1978406968384736,1.2643941574939397,0.8530147108146222,2.6671054113559474
GSM4918497_P3_treated_10d_TALL_011118_plate1_G9_rep_1_NA,treated,1268524.0,43587.0,1224937.0,0.03436040626744153,-0.3309539539218478,0.7164969868035278,0.8330906944615668,-0.18226527414429167,2.41805720673642
GSM4918498_P3_treated_10d_TALL_011118_plate1_H2_rep_1_NA,treated,1153978.0,72012.0,1081966.0,0.06240326938641811,1.5905792062239776,0.171214143422609,-0.026765967359228808,0.4363262162526053,5.246313023871599
GSM4918500_P3_treated_10d_TALL_011118_plate1_H4_rep_1_NA,treated,1624873.0,51509.0,1573364.0,0.0317003236560642,-0.6364665508663094,0.799442046287033,0.8370118150145702,0.023979301780351035,-0.6745
GSM4918501_P3_treated_10d_TALL_011118_plate1_H5_rep_1_NA,treated,789763.0,91582.0,698181.0,0.11596137068968793,-0.004146437580717421,-1.2951523845288686,-0.4762824551920539,0.7343177436497993,-0.6745
GSM4918502_P3_treated_10d_TALL_011118_plate1_H6_rep_1_NA,treated,1603747.0,40129.0,1563618.0,0.02502202654159291,0.2934513241949015,0.7487536887809751,0.6125444057390369,-0.2841815892242306,-0.6745
GSM4918504_P3_treated_10d_TALL_011118_plate2_A10_rep_1_NA,treated,1694163.0,84445.0,1609718.0,0.049844672561022756,2.139300781505047,0.6276556469134527,0.6702892832368178,0.6341550832098539,7.528820646717475
GSM4918505_P3_treated_10d_TALL_011118_plate2_A11_rep_1_NA,treated,572232.0,19203.0,553029.0,0.03355806735729564,-0.8656884617519006,-0.012008596496571962,-0.30117011765876617,-1.1939139413840296,4.490963645116086
GSM4918507_P3_treated_10d_TALL_011118_plate2_A1_rep_1_NA,treated,2381896.0,138433.0,2243463.0,0.05811882634674226,1.3792561959511178,1.5246864870791215,1.4445115128516817,1.2442923174496991,5.629723513020221
GSM4918508_P3_treated_10d_TALL_011118_plate2_A2_rep_1_NA,treated,871095.0,63168.0,807927.0,0.07251562688340536,0.43862712802430304,1.0017185134524926,0.3827567842158023,0.275835879645609,4.674782334186167
GSM4918510_P3_treated_10d_TALL_011118_plate2_A4_rep_1_NA,treated,1835475.0,86808.0,1748667.0,0.04729456952559964,0.44487729140137466,1.0560903471794223,1.0587819667864458,0.6680792574815202,3.225027126772383
GSM4918511_P3_treated_10d_TALL_011118_plate2_A5_rep_1_NA,treated,681553.0,27696.0,653857.0,0.04063660493021086,-0.5490755968221422,0.128550708169461,0.08196060642786927,-0.74268590739919,-0.6745
GSM4918512_P3_treated_10d_TALL_011118_plate2_A6_rep_1_NA,treated,346010.0,18048.0,327962.0,0.052160342186642006,-0.8678116131540247,-0.47596190286160445,-0.6565009176533895,-1.2704793840551247,3.3875870898876923
GSM4918513_P3_treated_10d_TALL_011118_plate2_A7_rep_1_NA,treated,776462.0,21671.0,754791.0,0.027909929912861158,0.04673116936341815,-0.027726129146526453,0.1477791892381877,-1.0446763650336437,3.242560894927854
GSM4918514_P3_treated_10d_TALL_011118_plate2_A8_rep_1_NA,treated,1314957.0,48598.0,1266359.0,0.03695786250044678,0.08389815255282412,1.0234508497932095,0.7811467714351221,-0.04782730156396647,4.384146050837622
GSM4918515_P3_treated_10d_TALL_011118_plate2_A9_rep_1_NA,treated,1100747.0,48340.0,1052407.0,0.04391563183910563,0.3166419179610451,0.5592275989730394,0.3154801154357668,-0.054627514588530934,1.3489999999999998
GSM4918517_P3_treated_10d_TALL_011118_plate2_B11_rep_1_NA,treated,861309.0,42835.0,818474.0,0.04973244213168561,0.07368453303319686,0.5846746498556945,0.4782965510902887,-0.2036912596901473,5.339260641024729
GSM4918518_P3_treated_10d_TALL_011118_plate2_B12_rep_1_NA,treated,1857523.0,46401.0,1811122.0,0.024980040623992273,0.6523058073964766,1.1869850699235378,1.0299311426629334,-0.10492941358201316,3.9170608949278534
GSM4918519_P3_treated_10d_TALL_011118_plate2_B1_rep_1_NA,treated,1808634.0,83673.0,1724961.0,0.046263091371720313,1.2562917885775196,1.1740113490679114,1.0265606576131403,0.6228185832902879,-0.6745
GSM4918520_P3_treated_10d_TALL_011118_plate2_B2_rep_1_NA,treated,1020849.0,39989.0,980860.0,0.039172296784343225,-0.43466120058349333,0.43124108197874855,0.19169839532804214,-0.28849539301962657,3.029754913474365
GSM4918521_P3_treated_10d_TALL_011118_plate2_B3_rep_1_NA,treated,561248.0,24569.0,536679.0,0.043775657107018646,-0.33875612113203035,0.09712786047189335,-0.23432520937876536,-0.8897575500088835,2.915140500001526
GSM4918522_P3_treated_10d_TALL_011118_plate2_B5_rep_1_NA,treated,1577459.0,72603.0,1504856.0,0.0460252849677868,0.2851609993993958,0.7408536512378194,0.6217599165071417,0.44741197617816364,3.112621789855708
GSM4918523_P3_treated_10d_TALL_011118_plate2_B7_rep_1_NA,treated,1119882.0,60728.0,1059154.0,0.05422714178815268,0.5675932897698263,0.8501809172821562,0.683383750717765,0.2272114481847424,-0.6745
GSM4918524_P3_treated_10d_TALL_011118_plate2_B8_rep_1_NA,treated,1516606.0,30848.0,1485758.0,0.02034015426551128,0.15033007172777338,0.881738006168059,0.6525240195128151,-0.608963574803019,-0.6745
GSM4918525_P3_treated_10d_TALL_011118_plate2_B9_rep_1_NA,treated,742535.0,18726.0,723809.0,0.025219013245166896,0.18644550272632107,0.29672329738500813,0.19401250240463616,-1.2249609550445493,-0.6745
GSM4918526_P3_treated_10d_TALL_011118_plate2_C10_rep_1_NA,treated,1060110.0,44518.0,1015592.0,0.041993755365009294,0.4404317182690497,0.7090230689161361,0.49864433415886344,-0.15606474451920235,-0.6745
GSM4918528_P3_treated_10d_TALL_011118_plate2_C12_rep_1_NA,treated,1353312.0,30798.0,1322514.0,0.02275750159608427,0.2137124721208439,0.47669895379570776,0.6188600768582507,-0.6108458058655131,0.0
GSM4918529_P3_treated_10d_TALL_011118_plate2_C1_rep_1_NA,treated,910788.0,34852.0,875936.0,0.03826576546902243,-1.1847781636932408,0.11584160803339079,0.12910136714112874,-0.458208200789586,4.519446589886167
GSM4918530_P3_treated_10d_TALL_011118_plate2_C2_rep_1_NA,treated,2179857.0,105652.0,2074205.0,0.04846739946702926,1.1794302936979857,1.1166204853527675,1.3541848941777934,0.9107260668050463,-0.6745
GSM4918534_P3_treated_10d_TALL_011118_plate2_C6_rep_1_NA,treated,544829.0,21088.0,523741.0,0.03870572234591037,0.3225698641930603,-0.053058207864550205,-0.42032242037909723,-1.0783368574171428,-0.6745
GSM4918535_P3_treated_10d_TALL_011118_plate2_C7_rep_1_NA,treated,679212.0,35433.0,643779.0,0.0521678062225049,-0.8806385214225095,0.33351611687843985,-0.08249214130065918,-0.43780097976110993,1.658886626770857
GSM4918536_P3_treated_10d_TALL_011118_plate2_C8_rep_1_NA,treated,754852.0,34016.0,720836.0,0.0450631382045752,-0.1725081992582179,-0.07476725678904399,0.11722053430161719,-0.48817707150226103,-0.6745
GSM4918538_P3_treated_10d_TALL_011118_plate2_D10_rep_1_NA,treated,1077188.0,36274.0,1040914.0,0.033674716019859115,0.05886019474039043,0.6082274744926006,0.1628414809768968,-0.4088465448400268,-0.6745
GSM4918539_P3_treated_10d_TALL_011118_plate2_D11_rep_1_NA,treated,507875.0,23557.0,484318.0,0.04638346049716958,1.2750787104407704,-0.20369114133030652,-0.23553896000149752,-0.9417281408742237,4.461621789855709
GSM4918541_P3_treated_10d_TALL_011118_plate2_D1_rep_1_NA,treated,1110047.0,57275.0,1052772.0,0.05159691436488725,0.4628952746474714,0.9911890693423931,0.6984665490400284,0.15495226985841865,4.595895413475891
