metadata_column,n_categories,chi2,p_value,dof
patient_or_donor_id,10,174.64500682368637,6.640036064418175e-33,9
characteristics_ch1,2,89.14542212151346,3.668309260819883e-21,1
source_class,2,89.14542212151345,3.66830926081991e-21,1
treatment_state,2,22.87317053804371,1.7305055549960237e-06,1
source_name_ch1,2,5.638978140937343,0.01756544196093392,1
