Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),2/17,0.0078024856073765,0.134726836518259,0,0,16.946153846153845,82.24498754883699,RPL5;RPS7
GO_Biological_Process_2023,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),2/17,0.0078024856073765,0.134726836518259,0,0,16.946153846153845,82.24498754883699,RPL5;RPS7
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),4/100,0.0081768195013075,0.134726836518259,0,0,5.342532467532467,25.67862595978233,RPL5;RPS7;RPS6;RPL7
GO_Biological_Process_2023,rRNA Processing (GO:0006364),4/101,0.0084627409873278,0.134726836518259,0,0,5.287187039764359,25.230890970533423,RPL5;RPS7;RPS6;RPL7
GO_Biological_Process_2023,Modulation By Host Of Viral Genome Replication (GO:0044827),2/21,0.0118018350491819,0.1806588595990154,0,0,13.375843454790823,59.38206032082638,EEF1A1;IFI27
GO_Biological_Process_2023,Negative Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903051),2/25,0.0165162091658715,0.2434611573339589,0,0,11.047380156075809,45.33196342129251,RPL5;RPS7
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),4/134,0.0218255157996252,0.3102341174375307,0,0,3.9384615384615382,15.0633375275521,TRBC2;CD3G;CD3E;CD3D
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),4/150,0.0312985998089606,0.3968205694278248,0,0,3.5040028464686,12.138503297764217,RPL5;RPLP0P6;RPLP0;RPL6
GO_Biological_Process_2023,Type I Interferon-Mediated Signaling Pathway (GO:0060337),2/37,0.0344808373642949,0.3968205694278248,0,0,7.255311355311355,24.431183923342044,IFITM1;IFI27
GO_Biological_Process_2023,Cellular Response To Type I Interferon (GO:0071357),2/38,0.0362113333297527,0.3968205694278248,0,0,7.053418803418803,23.405945992474862,IFITM1;IFI27
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),2/39,0.0379747105557805,0.3968205694278248,0,0,6.862439362439362,22.44590583981357,RPL5;RPS7
GO_Biological_Process_2023,Retina Homeostasis (GO:0001895),2/39,0.0379747105557805,0.3968205694278248,0,0,6.862439362439362,22.44590583981357,ACTG1;JCHAIN
GO_Biological_Process_2023,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255),1/5,0.0388844276575004,0.3968205694278248,0,0,31.58917197452229,102.57514070844168,RPS7
GO_Biological_Process_2023,Negative Regulation Of Mast Cell Activation (GO:0033004),1/5,0.0388844276575004,0.3968205694278248,0,0,31.58917197452229,102.57514070844168,CD84
GO_Biological_Process_2023,Negative Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002887),1/5,0.0388844276575004,0.3968205694278248,0,0,31.58917197452229,102.57514070844168,CD84
GO_Biological_Process_2023,"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:2000623)",1/5,0.0388844276575004,0.3968205694278248,0,0,31.58917197452229,102.57514070844168,PABPC1
GO_Biological_Process_2023,Glyoxylate Metabolic Process (GO:0046487),1/5,0.0388844276575004,0.3968205694278248,0,0,31.58917197452229,102.57514070844168,MGAT4A
GO_Biological_Process_2023,Positive Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033634),1/5,0.0388844276575004,0.3968205694278248,0,0,31.58917197452229,102.57514070844168,CD3E
GO_Biological_Process_2023,Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000058),2/42,0.0434559648014007,0.4302020799046214,0,0,6.346794871794872,19.90359414214195,RPL5;RPS7
GO_Biological_Process_2023,Positive Regulation Of Gastrulation (GO:2000543),1/6,0.0464791191856751,0.4302020799046214,0,0,25.27006369426752,77.54756145881895,RACK1
GO_Biological_Process_2023,Positive Regulation Of Membrane Depolarization (GO:1904181),1/6,0.0464791191856751,0.4302020799046214,0,0,25.27006369426752,77.54756145881895,RACK1
GO_Biological_Process_2023,Receptor-Mediated Virion Attachment To Host Cell (GO:0046813),1/6,0.0464791191856751,0.4302020799046214,0,0,25.27006369426752,77.54756145881895,DPP4
GO_Biological_Process_2023,Regulation Of Chaperone-Mediated Autophagy (GO:1904714),1/7,0.0540141765073125,0.4370186723946854,0,0,21.05732484076433,61.45598656687102,EEF1A1
GO_Biological_Process_2023,Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342),1/7,0.0540141765073125,0.4370186723946854,0,0,21.05732484076433,61.45598656687102,RACK1
GO_Biological_Process_2023,Regulation Of Endodeoxyribonuclease Activity (GO:0032071),1/7,0.0540141765073125,0.4370186723946854,0,0,21.05732484076433,61.45598656687102,RPS3
