Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Histone Demethylase Activity (GO:0032452),8/29,5.01879403794822e-05,0.0013527931202287,0,0,7.552311435523114,74.76588782764284,KDM5A;KDM5C;KDM2A;KDM4C;KDM1A;JMJD1C;JARID2;KDM6A
GO_Molecular_Function_2023,Peroxisome Proliferator Activated Receptor Binding (GO:0042975),4/6,7.533421840167242e-05,0.0019423126744431,0,0,39.52440290758048,375.22792676015234,MED1;PRMT2;HMGA1;TACC1
GO_Molecular_Function_2023,GTPase Activator Activity (GO:0005096),24/211,9.067734728501325e-05,0.0022404861225005,0,0,2.564939520587952,23.874977705309863,VAV3;RAP1GAP2;ARFGEF1;JUN;RALBP1;TBC1D9B;ARHGAP1;MYO9B;ARHGAP17;IQGAP1;ARAP1;ARFGAP3;MYO9A;ARHGAP45;ARFGAP2;BCR;PREX1;ACAP2;ARHGAP30;TBC1D5;BNIP2;NCKAP1L;RAB3GAP1;TBC1D15
GO_Molecular_Function_2023,Signal Sequence Binding (GO:0005048),9/41,0.00012028592603861716,0.0028531821656359,0,0,5.578320720250522,50.34790866989895,NUP214;NFKBIA;SEC61A1;POM121;SRP54;KPNA6;TOMM20;NUP58;KPNA1
GO_Molecular_Function_2023,Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),23/203,0.00013364414975057198,0.0029974399634236,0,0,2.5519008945386066,22.763797823950053,VAV3;ARFGEF1;DOCK5;DENND4B;GBF1;DENND3;GAPVD1;RASGRP2;VAV1;BCR;PREX1;CCDC88A;AKAP13;DOCK11;HERC2;CYTH4;RAB3GAP2;ARHGEF1;DENND5A;ARHGEF7;DOCK2;FNIP1;RAB3GAP1
GO_Molecular_Function_2023,NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),8/33,0.00013668538069196233,0.0029974399634236,0,0,6.342606882168926,56.43542995754517,NDUFA6;NDUFS8;NDUFA5;NDUFS6;NDUFB4;NDUFS5;NDUFB2;NDUFV1
GO_Molecular_Function_2023,Protein Phosphatase Regulator Activity (GO:0019888),11/61,0.00014456852424405735,0.0029974399634236,0,0,4.36847280334728,38.624974755006775,PPP1R15A;PTPA;PPP1R2;PPP6R1;PPP6R2;ENSA;PPP4R3A;SHOC2;CALM3;ARPP19;PHACTR4
GO_Molecular_Function_2023,Transcription Corepressor Binding (GO:0001222),9/42,0.00014658644003252383,0.0029974399634236,0,0,5.408996014423989,47.75005032662413,SUZ12;PER1;CTBP1;CNOT2;EHMT1;CTNNB1;LCOR;ELOC;ZNF644
GO_Molecular_Function_2023,NADH Dehydrogenase (Quinone) Activity (GO:0050136),8/34,0.00017122869427080317,0.0033324347186933,0,0,6.098339616587792,52.88791436705341,NDUFA6;NDUFS8;NDUFA5;NDUFS6;NDUFB4;NDUFS5;NDUFB2;NDUFV1
GO_Molecular_Function_2023,Cysteine-Type Endopeptidase Activity (GO:0004197),15/106,0.00017420822306828644,0.0033324347186933,0,0,3.2797349709114414,28.38695657540815,USP24;USP8;USP36;USP47;USP14;USP16;USP20;USP10;USP9X;USP33;USP34;CFLAR;CAPNS1;CTSD;CTSC
