state_domain,meth_in_domain,nonmeth_in_domain,meth_outside_domain,nonmeth_outside_domain,frac_meth_in_domain,frac_meth_outside_domain,fisher_odds_ratio,fisher_p_value
D2,40,20,68,102,0.6666666666666666,0.4,3.0,0.0004936482605198
D1,65,96,43,26,0.4037267080745341,0.6231884057971014,0.4093992248062015,0.002522043870975
D3,3,6,105,116,0.3333333333333333,0.4751131221719457,0.5523809523809524,0.5066231250112135
