relation_to_cpg_island,n,fraction
Island,8,0.25806451612903225
S_Shelf,8,0.25806451612903225
S_Shore,7,0.22580645161290322
N_Shelf,7,0.22580645161290322
N_Shore,1,0.03225806451612903
