gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean
ERCC-00130,13834.156704361867,2904.194237695075,10929.962466666791,0.14539579967689856,0.15342136854741922,-0.008025568870520666,2579021.0,0.9765042369009616,0.9765798060262441,10929.962466666791
ERCC-00002,13354.60904684976,3181.220168067224,10173.388878782536,0.14458804523424912,0.15342136854741922,-0.008833323313170105,2574094.0,0.8930415782476282,0.89338723608098,10173.388878782536
ERCC-00096,12929.640549273032,3051.8703481392567,9877.770201133775,0.14297253634895024,0.15390156062424998,-0.010929024275299737,2570877.0,0.8091604127965082,0.8095362711596559,9877.770201133775
ERCC-00074,5037.0234248788365,1272.497719087635,3764.5257057912013,0.14378029079159968,0.1536614645858346,-0.009881173794234921,2567095.5,0.713360172360293,0.7138573259572608,3764.5257057912013
ERCC-00113,2367.4628432956365,572.5896758703483,1794.873167425288,0.14054927302100192,0.15222088835534234,-0.011671615334340413,2566501.5,0.6971846801001236,0.6977786261565906,1794.873167425288
ERCC-00046,1656.3457189014537,403.74981992797086,1252.5958989734827,0.14135702746365136,0.15294117647058847,-0.011584149006937106,2564584.0,0.6510371050140182,0.6516926807200741,1252.5958989734827
ERCC-00004,1470.7447495961235,343.66098439375764,1127.0837652023658,0.14135702746365136,0.15246098439375771,-0.011103956930106351,2566570.0,0.6991785939250612,0.6997200471845091,1127.0837652023658
ERCC-00136,1190.6841680129244,238.26578631452574,952.4183816983987,0.1316639741518581,0.13733493397358895,-0.005670959821730853,2579235.0,0.9694567899457696,0.9696068490418064,952.4183816983987
ERCC-00108,1199.2552504038772,274.37382953181304,924.8814208720642,0.12600969305331203,0.13109243697478914,-0.0050827439214771175,2577040.0,0.9689885285523646,0.9692135258887158,924.8814208720642
ERCC-00009,764.9644588045236,185.56854741896765,579.3959113855559,0.11227786752827157,0.10900360144057537,0.0032742660876961954,2595920.0,0.496410139396226,0.49706401917072907,579.3959113855559
ERCC-00171,549.9741518578352,135.41872749099636,414.5554243668388,0.13974151857835249,0.15222088835534234,-0.012479369776989852,2561698.5,0.5822706504182523,0.5829472896928319,414.5554243668388
ERCC-00003,491.8739903069466,121.75030012004815,370.12369018689844,0.12358642972536371,0.1306122448979584,-0.007025815172594679,2576853.5,0.9635953409139315,0.9638936907369562,370.12369018689844
ERCC-00043,325.75040387722123,74.99663865546214,250.7537652217591,0.09289176090468504,0.0996398559423762,-0.006748095037691165,2569188.5,0.7190585344110795,0.7195039442659219,250.7537652217591
ERCC-00116,303.4919224555735,56.88955582232896,246.60236663324454,0.054119547657512056,0.051140456182472815,0.0029790914750392403,2589582.0,0.5363149041695863,0.5369797401862217,246.60236663324454
ERCC-00042,299.615508885299,76.15390156062429,223.4616073246747,0.08562197092084009,0.08811524609843877,-0.002493275177598675,2577551.5,0.9803101292140831,0.9803101292140831,223.4616073246747
ERCC-00111,261.126817447496,54.74021608643464,206.38660136106137,0.0920840064620356,0.08691476590636195,0.0051692405556736515,2599074.0,0.376781008897897,0.37739427825046684,206.38660136106137
ERCC-00145,250.753634894992,57.76206482593044,192.99157006906154,0.09369951534733448,0.08739495798319268,0.006304557364141802,2601846.0,0.31873840782926754,0.3192819505757402,192.99157006906154
ERCC-00092,180.2011308562197,41.46434573829537,138.7367851179243,0.07512116316639739,0.06218487394957953,0.012936289216817859,2615077.5,0.0731108442171158,0.07324687493742055,138.7367851179243
ERCC-00022,129.72213247172857,37.60528211284516,92.11685035888341,0.07512116316639739,0.07274909963985551,0.0023720635265418732,2588813.0,0.6238484576106695,0.6245250304208445,92.11685035888341
