cell_id,H,S,M,R,phi,treatment_state,d2_subdomain,H_rank,M_rank,phi_rank,inv_R_rank,ripeness_proxy
GSM4916507_ND1_untreated_070218_plate1_A4_S23_rep1_NA,1.4575165035493842,-1.343115275243944,-0.2920816,0.7316499,2.132823536521718,untreated,D2_1,0.3750759878419453,0.02492401215805471,0.49969604863221884,0.06626139817629184,0.24148936170212768
GSM4916516_ND1_untreated_070218_plate1_B1_S2_rep1_NA,1.4390524323236416,-1.2179686240328096,0.3433748,1.185296,2.253253721398459,untreated,D2_1,0.36534954407294834,0.17082066869300913,0.556838905775076,0.03282674772036476,0.2814589665653495
GSM4916517_ND1_untreated_070218_plate1_B2_S10_rep1_NA,1.7027711779091144,-0.7802812757438877,0.30417952,1.3837639,2.3485306608441676,untreated,D2_1,0.4990881458966565,0.1519756838905775,0.6,0.018844984802431575,0.3174772036474164
GSM4916519_ND1_untreated_070218_plate1_B4_S24_rep1_NA,1.4465344933236215,-0.4765481097325797,0.42336705,1.5059454,2.1832707912834777,untreated,D2_1,0.36717325227963526,0.22066869300911854,0.5252279635258359,0.011550151975683876,0.28115501519756836
GSM4916541_ND1_untreated_070218_plate1_D2_S12_rep1_NA,1.805842217503772,-2.009721051090552,0.117255434,1.4747639,3.0803769599289614,untreated,D2_1,0.5477203647416413,0.08875379939209727,0.8285714285714286,0.012158054711246202,0.3693009118541033
GSM4916543_ND1_untreated_070218_plate1_D4_S26_rep1_NA,1.822090267194844,-2.21369893303653,0.10271987,1.2571409,3.1323203096233434,untreated,D2_1,0.5556231003039513,0.08267477203647416,0.8395136778115502,0.027355623100303927,0.37629179331306994
GSM4916549_ND1_untreated_070218_plate1_E10_S75_rep1_NA,1.9610712012564089,-1.0866714440436362,-0.065672144,0.14318454,2.247547491531537,untreated,D2_1,0.6121580547112462,0.052279635258358666,0.5544072948328268,0.23039513677811552,0.36231003039513676
GSM4916552_ND1_untreated_070218_plate1_E1_S5_rep1_NA,1.9535206428165632,-1.4267663503861403,0.62872297,-0.59387803,2.5690248749334694,untreated,D2_1,0.609726443768997,0.41033434650455924,0.6875379939209726,0.7592705167173253,0.6167173252279635
GSM4916553_ND1_untreated_070218_plate1_E2_S13_rep1_NA,1.48309947463838,-2.4673096398759764,0.07238862,0.09423186,2.881201254067845,untreated,D2_1,0.3884498480243161,0.07416413373860183,0.7811550151975684,0.2571428571428571,0.3752279635258359
GSM4916554_ND1_untreated_070218_plate1_E3_S20_rep1_NA,1.58349157609506,0.2264922226600678,0.43249443,-0.45073736,1.7172535916894482,untreated,D2_1,0.4389057750759878,0.23221884498480244,0.30334346504559273,0.6486322188449848,0.40577507598784196
GSM4916557_ND1_untreated_070218_plate1_E6_S43_rep1_NA,1.8123987702332192,-0.0687561465830454,0.45806092,-0.4073038,1.914479799308815,untreated,D2_1,0.5513677811550152,0.2589665653495441,0.39209726443769,0.6048632218844985,0.45182370820668694
GSM4916558_ND1_untreated_070218_plate1_E7_S51_rep1_NA,2.337104893730589,-0.6643741704273601,0.39696836,-0.32775936,2.483638943071076,untreated,D2_1,0.7513677811550152,0.2048632218844985,0.6656534954407295,0.5556231003039513,0.5443768996960486
GSM4916559_ND1_untreated_070218_plate1_E8_S59_rep1_NA,1.495248037617979,-0.9464829725327804,0.43390405,-0.32451192,1.8507234861327595,untreated,D2_1,0.3951367781155015,0.23404255319148937,0.3586626139817629,0.5513677811550153,0.3848024316109423
GSM4916560_ND1_untreated_070218_plate1_E9_S67_rep1_NA,2.0261974461993595,-0.1500807924437695,0.46098897,-0.6137633,2.1719154113670975,untreated,D2_1,0.6364741641337386,0.2613981762917933,0.5203647416413374,0.7738601823708207,0.5480243161094225
GSM4916561_ND1_untreated_070218_plate1_F10_S76_rep1_NA,1.9676821988784436,-1.3908424103291972,-0.4119735,-0.012258848,2.4446039127453707,untreated,D2_1,0.6139817629179332,0.02006079027355623,0.6492401215805471,0.3270516717325228,0.4025835866261398
GSM4916562_ND1_untreated_070218_plate1_F11_S84_rep1_NA,1.932002411996756,-1.0539122318968717,0.078088954,-0.10347552,2.204579184442966,untreated,D2_1,0.5987841945288754,0.07477203647416414,0.5349544072948328,0.3854103343465045,0.3984802431610942
GSM4916563_ND1_untreated_070218_plate1_F12_S92_rep1_NA,1.6982545502053588,-1.6270696731569736,0.19787268,-0.27137244,2.375756897765906,untreated,D2_1,0.49544072948328266,0.11428571428571428,0.6170212765957447,0.5106382978723405,0.43434650455927054
GSM4916567_ND1_untreated_070218_plate1_F5_S36_rep1_NA,1.3705333054358166,-0.4661897350609668,0.035485633,-0.13414957,1.4542866800138257,untreated,D2_1,0.3209726443768997,0.0668693009118541,0.17446808510638298,0.4042553191489362,0.24164133738601826
GSM4916569_ND1_untreated_070218_plate1_F7_S52_rep1_NA,1.2878512495405985,-1.355827034394193,0.06878475,0.16515218,1.8785191967421433,untreated,D2_1,0.2778115501519757,0.07234042553191489,0.3677811550151976,0.22188449848024316,0.23495440729483283
GSM4916570_ND1_untreated_070218_plate1_F8_S60_rep1_NA,2.2769303059030594,-2.407782895169172,-0.20074515,-0.17164542,3.3243933061033166,untreated,D2_1,0.7343465045592705,0.03343465045592705,0.8674772036474164,0.4303951367781155,0.5164133738601824
GSM4916571_ND1_untreated_070218_plate1_F9_S68_rep1_NA,2.124635028012077,-0.9116149676101084,-0.11398651,-0.18312176,2.3219910324706547,untreated,D2_1,0.6778115501519757,0.04802431610942249,0.5860182370820669,0.4407294832826748,0.438145896656535
GSM4916581_ND1_untreated_070218_plate1_G7_S53_rep1_NA,1.3806207232663077,-1.4069759018140195,0.3141857,0.2653388,2.0136564013425144,untreated,D2_1,0.331306990881459,0.15927051671732523,0.44072948328267475,0.16838905775075985,0.27492401215805473
GSM4916583_ND1_untreated_070218_plate1_G9_S69_rep1_NA,1.700401688835657,-2.980011474695847,0.43119356,0.93418455,3.5819635610036915,untreated,D2_1,0.4978723404255319,0.23100303951367782,0.9057750759878419,0.051063829787234005,0.4214285714285714
