metadata_column,n_categories,chi2,p_value,dof
patient_or_donor_id,10,303.9453462157492,3.799204165437484e-60,9
source_class,2,61.35181669426144,4.7735061284274354e-15,1
characteristics_ch1,2,61.35181669426144,4.7735061284274354e-15,1
treatment_state,2,11.799932195244939,0.0005923287832640973,1
source_name_ch1,2,10.868535842636089,0.0009781182760712718,1
title,21,9.02533571909255,0.9826119584391017,20
